20 4 [30, 30, 30, 30]
capacities = [100000, 29, 23, 28, 34, 28, 20, 47, 31, 50, 36, 48, 47, 20, 39, 35, 46, 23, 26, 33, 44]
initial     = [50000, 7, 1, 9, 21, 7, 12, 28, 24, 25, 19, 32, 23, 10, 24, 26, 32, 6, 12, 6, 12]
target      = [0, 10, 21, 3, 5, 17, 16, 15, 17, 20, 25, 14, 29, 12, 14, 6, 14, 10, 16, 7, 31]
weights    = [0.000000, 0.135500, 0.321429, 0.620000, 0.962000, 0.217647, 0.121250, 0.297000, 0.167353, 0.121250, 0.118400, 0.416429, 0.108966, 0.097500, 0.253571, 1.000000, 0.416429, 0.164000, 0.121250, 0.090714, 0.224677]
min_ratio  = [0.0000, 0.4900, 0.0333, 0.7000, 0.7000, 0.2882, 0.5250, 0.7000, 0.7000, 0.7000, 0.5320, 0.7000, 0.5552, 0.5833, 0.7000, 0.7000, 0.7000, 0.4200, 0.5250, 0.6000, 0.2710]
points = [(584400.000, 4511800.000), (584173.601, 4511472.945), (584673.981, 4511761.213), (584241.082, 4512145.893), (584098.464, 4511476.120), (584650.175, 4511719.782), (584337.637, 4512296.458), (584198.645, 4511465.972), (584638.751, 4511837.562), (584255.408, 4512285.749), (584066.001, 4511565.385), (584763.318, 4511776.859), (584249.413, 4512147.717), (584113.545, 4511487.560), (584711.869, 4511758.990), (584352.330, 4512151.903), (584195.958, 4511441.875), (584621.116, 4511712.436), (584399.299, 4512151.567), (584114.480, 4511537.530), (584634.494, 4511781.631)]
distances = [
{0.0000, 397.7709, 276.7131, 380.6530, 442.5181, 262.7214, 500.3592, 390.0241, 241.6874, 506.8125, 408.1660, 364.0542, 378.9241, 423.8812, 314.5540, 355.1173, 412.1730, 237.8230, 351.5675, 387.8297, 235.2125}
{397.7709, 0.0000, 577.4763, 676.3228, 75.2038, 536.7043, 839.6913, 25.9964, 591.0244, 816.9106, 141.8552, 663.4227, 679.0176, 61.8085, 609.5529, 702.0886, 38.2770, 507.5689, 715.1695, 87.5587, 554.7160}
{276.7131, 577.4763, 0.0000, 579.1204, 642.2599, 47.7834, 632.1506, 559.5641, 84.0853, 671.0752, 638.7396, 90.6965, 574.1459, 623.6781, 37.9532, 506.0620, 574.8764, 71.9294, 477.3120, 602.5571, 44.4538}
{380.6530, 676.3228, 579.1204, 0.0000, 684.7887, 590.7011, 178.8652, 681.2439, 503.1984, 140.5880, 606.3353, 639.4659, 8.5285, 670.5727, 609.3720, 111.4099, 705.4620, 576.4638, 158.3186, 621.3958, 536.1526}
{442.5181, 75.2038, 642.2599, 684.7887, 0.0000, 603.1220, 854.4929, 100.6932, 650.0383, 824.7004, 94.9849, 729.7084, 688.3518, 18.9291, 675.4861, 721.8939, 103.3328, 573.5946, 739.4120, 63.4647, 616.9808}
{262.7214, 536.7043, 47.7834, 590.7011, 603.1220, 0.0000, 655.9229, 517.9761, 118.3326, 690.0435, 604.2331, 126.7243, 586.2923, 584.7211, 73.0990, 524.8245, 532.4899, 29.9729, 499.3768, 565.8485, 63.8062}
{500.3592, 839.6913, 632.1506, 178.8652, 854.4929, 655.9229, 0.0000, 842.0366, 548.8669, 82.9239, 779.9061, 671.7047, 172.9374, 839.3646, 654.9204, 145.2992, 866.2471, 649.1851, 157.4659, 791.0561, 594.2813}
{390.0241, 25.9964, 559.5641, 681.2439, 100.6932, 517.9761, 842.0366, 0.0000, 575.9968, 821.7399, 165.7627, 644.5979, 683.6327, 87.7950, 590.9816, 702.9373, 24.2458, 489.1083, 714.3546, 110.4729, 538.1501}
{241.6874, 591.0244, 84.0853, 503.1984, 650.0383, 118.3326, 548.8669, 575.9968, 0.0000, 589.7659, 634.1311, 138.5707, 497.7752, 631.1435, 107.3302, 425.2619, 593.8294, 126.3618, 394.8880, 604.0516, 56.0922}
{506.8125, 816.9106, 671.0752, 140.5880, 824.7004, 690.0435, 82.9239, 821.7399, 589.7659, 0.0000, 744.8484, 718.9869, 138.1622, 810.6978, 697.0164, 165.2529, 845.9651, 680.0221, 196.7472, 761.3749, 630.7465}
{408.1660, 141.8552, 638.7396, 606.3353, 94.9849, 604.2331, 779.9061, 165.7627, 634.1311, 744.8484, 0.0000, 728.6781, 610.5329, 91.1986, 674.2615, 652.6772, 179.2856, 574.2620, 674.3118, 55.9117, 608.2324}
