selection_id,generated_local_station_index,source_station_row_index,legacy_internal_index,station_id,station_name,original_capacity,original_utm_easting_m,original_utm_northing_m,selected_utm_easting_m,selected_utm_northing_m,is_depot,geographic_selection_seed,geographic_regime,replicate,anchor_source_station_row_index,distance_from_anchor_m,selection_order
cb443_V20_compact_r2,0,,,,ARTIFICIAL_CENTROID_DEPOT,,,,589999.518,4501567.636,True,661254785,compact,2,1,,0
cb443_V20_compact_r2,1,1,2,1898751402035634700,E 51 St & Linden Blvd,21,590486.293,4500898.484,590486.293,4500898.484,False,661254785,compact,2,1,0.000000,1
cb443_V20_compact_r2,2,6,7,eb8fcff2-6f58-4724-b564-ebc9a8d374d8,Clarkson Ave & Utica Ave,20,590362.640,4501193.409,590362.640,4501193.409,False,661254785,compact,2,1,319.798093,2
cb443_V20_compact_r2,3,0,1,1817432104157364846,Troy Ave & Linden Blvd,23,589914.869,4500814.946,589914.869,4500814.946,False,661254785,compact,2,1,577.498039,3
cb443_V20_compact_r2,4,10,11,1838999521825487230,Winthrop St & Schenectady Ave,21,590131.467,4501361.577,590131.467,4501361.577,False,661254785,compact,2,1,583.400906,4
cb443_V20_compact_r2,5,5,6,1823008749757202820,Clarkson Ave & Troy Ave,23,589907.856,4501148.004,589907.856,4501148.004,False,661254785,compact,2,1,629.959993,5
cb443_V20_compact_r2,6,2,3,1814901062206225038,Lenox Rd & E 43 St,21,589810.346,4500997.979,589810.346,4500997.979,False,661254785,compact,2,1,683.230270,6
cb443_V20_compact_r2,7,14,15,cd2d9dab-7708-4685-a56f-9412c738de7e,Rutland Rd & E 45 St,23,589927.396,4501596.693,589927.396,4501596.693,False,661254785,compact,2,1,894.349856,7
cb443_V20_compact_r2,8,8,9,1838999304404452058,Winthrop St & Albany Ave,21,589624.916,4501299.941,589624.916,4501299.941,False,661254785,compact,2,1,950.335761,8
cb443_V20_compact_r2,9,18,19,55fda28d-56a8-4db2-b42a-072714f18471,Schenectady Ave & Maple St,19,590071.702,4501758.312,590071.702,4501758.312,False,661254785,compact,2,1,954.562668,9
cb443_V20_compact_r2,10,4,5,1815967051912860522,Clarkson Ave & E 40 St,30,589552.904,4501101.454,589552.904,4501101.454,False,661254785,compact,2,1,955.202516,10
cb443_V20_compact_r2,11,23,24,2053867202510006310,E New York Ave & Utica Ave,22,590298.295,4501861.648,590298.295,4501861.648,False,661254785,compact,2,1,981.339971,11
cb443_V20_compact_r2,12,29,30,8b830188-101e-44bf-a755-5e6c611e3edc,Lefferts Ave & Schenectady Ave,27,590046.659,4501941.195,590046.659,4501941.195,False,661254785,compact,2,1,1131.602529,12
cb443_V20_compact_r2,13,20,21,2c8b263e-952c-4941-a671-ef0ebb062632,E New York Ave & Troy Ave,21,589803.078,4501809.462,589803.078,4501809.462,False,661254785,compact,2,1,1138.711400,13
cb443_V20_compact_r2,14,3,4,1814900898997467540,Clarkson Ave & E 37 St,22,589340.064,4501082.240,589340.064,4501082.240,False,661254785,compact,2,1,1160.864845,14
cb443_V20_compact_r2,15,17,18,f42b3158-3f78-4a62-964a-8cc554d69c35,Maple St & Albany Ave,19,589624.835,4501727.375,589624.835,4501727.375,False,661254785,compact,2,1,1195.479057,15
cb443_V20_compact_r2,16,24,25,c606bae0-889c-47c3-8202-9463ef147655,Lefferts Ave & Albany Ave,24,589585.016,4501874.554,589585.016,4501874.554,False,661254785,compact,2,1,1328.537871,16
cb443_V20_compact_r2,17,37,38,b16e9f3f-9b07-486f-a1ca-c76030f5ea64,Carroll St & Rochester Ave,21,590577.440,4502230.753,590577.440,4502230.753,False,661254785,compact,2,1,1335.383265,17
cb443_V20_compact_r2,18,36,37,c4377169-c19e-47e1-90a4-c4e14bb41601,Buffalo Ave & E New York Ave,24,590778.709,4502225.437,590778.709,4502225.437,False,661254785,compact,2,1,1358.790411,18
cb443_V20_compact_r2,19,40,41,922763d6-d73c-4678-8bcd-f42ee3a236db,Carroll St & Utica Ave,20,590304.980,4502250.751,590304.980,4502250.751,False,661254785,compact,2,1,1364.368148,19
cb443_V20_compact_r2,20,34,35,c45aa693-fedd-478f-ade9-bf176c4e32ff,Crown St & Troy Ave,20,589840.888,4502178.512,589840.888,4502178.512,False,661254785,compact,2,1,1433.533849,20
