10 2 [30, 30]
capacities = [100000, 26, 25, 30, 33, 21, 24, 44, 48, 48, 22]
initial     = [50000, 12, 12, 21, 18, 8, 5, 28, 19, 22, 9]
target      = [0, 12, 12, 17, 21, 8, 11, 23, 19, 22, 12]
weights    = [0.000000, 0.150000, 0.150000, 0.516667, 0.372619, 0.150000, 1.000000, 0.488768, 0.150000, 0.150000, 0.539583]
min_ratio  = [0.000000, 0.650000, 0.650000, 0.650000, 0.557143, 0.650000, 0.295455, 0.650000, 0.650000, 0.650000, 0.487500]
points = [(584400.000, 4511800.000), (584191.567, 4511425.501), (584461.150, 4511928.309), (584136.035, 4511481.106), (584614.791, 4512025.938), (584201.321, 4511443.039), (584724.575, 4511830.698), (584174.118, 4511530.263), (584550.279, 4511840.287), (584263.275, 4511564.294), (584577.309, 4512036.401)]
distances = [
{0.0000, 428.5949, 142.1353, 413.9698, 311.7422, 408.5270, 326.0234, 351.8249, 155.5851, 272.4906, 295.5065}
{428.5949, 0.0000, 570.5176, 78.5859, 734.6039, 20.0680, 669.5385, 106.2050, 548.3806, 156.2223, 722.4928}
{142.1353, 570.5176, 0.0000, 552.8925, 182.0359, 550.4521, 280.9282, 490.7421, 125.2669, 414.3204, 158.6724}
{413.9698, 78.5859, 552.8925, 0.0000, 725.2927, 75.5743, 684.5393, 62.1830, 548.2782, 152.0205, 709.2784}
{311.7422, 734.6039, 182.0359, 725.2927, 0.0000, 714.6526, 223.9894, 663.2395, 196.5405, 580.2405, 38.9153}
{408.5270, 20.0680, 550.4521, 75.5743, 714.6526, 0.0000, 651.2093, 91.3678, 528.7505, 136.1652, 702.4568}
{326.0234, 669.5385, 280.9282, 684.5393, 223.9894, 651.2093, 0.0000, 627.1078, 174.5598, 532.6997, 252.9848}
{351.8249, 106.2050, 490.7421, 62.1830, 663.2395, 91.3678, 627.1078, 0.0000, 487.4545, 95.4309, 647.1006}
{155.5851, 548.3806, 125.2669, 548.2782, 196.5405, 528.7505, 174.5598, 487.4545, 0.0000, 398.1751, 197.9685}
{272.4906, 156.2223, 414.3204, 152.0205, 580.2405, 136.1652, 532.6997, 95.4309, 398.1751, 0.0000, 567.0123}
{295.5065, 722.4928, 158.6724, 709.2784, 38.9153, 702.4568, 252.9848, 647.1006, 197.9685, 567.0123, 0.0000}
]
