10 3 [20, 20, 20]
capacities = [100000, 48, 20, 45, 29, 27, 28, 28, 27, 48, 49]
initial     = [50000, 27, 14, 25, 18, 7, 17, 5, 16, 20, 22]
target      = [0, 21, 9, 25, 18, 12, 17, 10, 16, 20, 26]
weights    = [0.000000, 0.587143, 1.000000, 0.150000, 0.150000, 0.787500, 0.150000, 0.915000, 0.150000, 0.150000, 0.385385]
min_ratio  = [0.000000, 0.650000, 0.650000, 0.650000, 0.650000, 0.379167, 0.650000, 0.325000, 0.650000, 0.650000, 0.550000]
points = [(584400.000, 4511800.000), (584377.012, 4512107.997), (584556.839, 4511510.069), (584322.621, 4512096.887), (584588.064, 4511556.018), (584300.810, 4511861.671), (584535.834, 4511437.845), (584291.532, 4511942.776), (584472.077, 4511456.389), (584204.609, 4512079.714), (584638.907, 4511570.592)]
distances = [
{0.0000, 308.8539, 329.6342, 306.8047, 308.0506, 116.7991, 386.7908, 179.3047, 351.0889, 341.1998, 331.2164}
{308.8539, 0.0000, 624.3848, 55.5139, 590.9518, 257.8438, 688.7151, 186.0240, 658.5061, 174.7071, 597.8236}
{329.6342, 624.3848, 0.0000, 631.8333, 55.5543, 434.9428, 75.2166, 507.5659, 100.3298, 669.7473, 101.9712}
{306.8047, 55.5139, 631.8333, 0.0000, 602.4937, 236.2248, 692.6727, 157.2154, 657.7035, 119.2548, 614.0214}
{308.0506, 590.9518, 55.5543, 602.4937, 0.0000, 419.4504, 129.2008, 487.3525, 152.9008, 649.0721, 52.8906}
{116.7991, 257.8438, 434.9428, 236.2248, 419.4504, 0.0000, 484.6285, 81.6337, 439.9839, 238.3216, 446.1349}
{386.7908, 688.7151, 75.2166, 692.6727, 129.2008, 484.6285, 0.0000, 560.9263, 66.3984, 722.2916, 168.0651}
{179.3047, 186.0240, 507.5659, 157.2154, 487.3525, 81.6337, 560.9263, 0.0000, 518.8143, 162.1963, 509.1066}
{351.0889, 658.5061, 100.3298, 657.7035, 152.9008, 439.9839, 66.3984, 518.8143, 0.0000, 678.2865, 202.1739}
{341.1998, 174.7071, 669.7473, 119.2548, 649.0721, 238.3216, 722.2916, 162.1963, 678.2865, 0.0000, 669.1928}
{331.2164, 597.8236, 101.9712, 614.0214, 52.8906, 446.1349, 168.0651, 509.1066, 202.1739, 669.1928, 0.0000}
]
