evidence_source,run_id,phase,process_seconds,phase_status,generations_recorded,result_json_present,external_tree_directory_present,return_code,interpretation
Round28 retained files,stage2__moderate_seed6301__c3_replica__300s,hga_generation_trajectory_file_complete,,observed,3326,False,False,124,"Generation loop, history extraction, and trajectory write completed; failure is bounded after that write and before external-tree artifact creation."
Round28 retained files,stage4__moderate_seed6301__c3_replica__rep1__300s,hga_generation_trajectory_file_complete,,observed,3326,False,False,124,"Generation loop, history extraction, and trajectory write completed; failure is bounded after that write and before external-tree artifact creation."
Round28 retained files,stage4__moderate_seed6301__c3_replica__rep2__300s,hga_generation_trajectory_file_complete,,observed,3326,False,False,124,"Generation loop, history extraction, and trajectory write completed; failure is bounded after that write and before external-tree artifact creation."
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,process_entry,0,start,,True,False,0,absolute process deadline origin
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,instance_parsing_start,0.0010062999999999999,start,,True,False,0,E:\codes\ExactEBRP\reference\heldout_round26\V50_M3\moderate_seed6301.txt
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,instance_parsing_complete,0.0021897000000000002,complete,,True,False,0,instance=moderate_seed6301.txt
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,initial_model_data_preprocessing_complete,0.0025595000000000001,complete,,True,False,0,instance data initialized; empty-route incumbent independently verified
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_start,0.0032215,start,,True,False,0,label=primary_hga;native_generation_stagnation_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_generation_loop_complete,51.569927399999997,complete,,True,False,0,label=primary_hga;generations=3325;no_improve=2000
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_best_solution_extraction_start,51.573010199999999,start,,True,False,0,label=primary_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_best_solution_extraction_complete,51.5731015,complete,,True,False,0,label=primary_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_route_decoding_start,51.573201300000001,start,,True,False,0,label=primary_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_route_decoding_complete,51.573999399999998,complete,,True,False,0,label=primary_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,independent_hga_verification_start,51.574092,start,,True,False,0,label=primary_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,independent_hga_verification_complete,51.574173500000001,complete,,True,False,0,label=primary_hga;feasible=true
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_start,51.585251200000002,start,,True,False,0,label=local_redecode_hga;native_generation_stagnation_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_generation_loop_complete,295.05708320000002,deadline_interrupted,,True,False,0,label=local_redecode_hga;generations=4647;no_improve=1124
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_best_solution_extraction_start,295.06118500000002,start,,True,False,0,label=local_redecode_hga
