selection_id,generated_local_station_index,source_station_row_index,legacy_internal_index,station_id,station_name,original_capacity,original_utm_easting_m,original_utm_northing_m,selected_utm_easting_m,selected_utm_northing_m,is_depot,geographic_selection_seed,geographic_regime,replicate,anchor_source_station_row_index,distance_from_anchor_m,selection_order
cb443_V30_compact_r2,0,,,,ARTIFICIAL_CENTROID_DEPOT,,,,589677.075,4501623.849,True,1781513980,compact,2,0,,0
cb443_V30_compact_r2,1,0,1,1817432104157364846,Troy Ave & Linden Blvd,23,589914.869,4500814.946,589914.869,4500814.946,False,1781513980,compact,2,0,0.000000,1
cb443_V30_compact_r2,2,2,3,1814901062206225038,Lenox Rd & E 43 St,21,589810.346,4500997.979,589810.346,4500997.979,False,1781513980,compact,2,0,210.775085,2
cb443_V30_compact_r2,3,5,6,1823008749757202820,Clarkson Ave & Troy Ave,23,589907.856,4501148.004,589907.856,4501148.004,False,1781513980,compact,2,0,333.131826,3
cb443_V30_compact_r2,4,4,5,1815967051912860522,Clarkson Ave & E 40 St,30,589552.904,4501101.454,589552.904,4501101.454,False,1781513980,compact,2,0,461.633508,4
cb443_V30_compact_r2,5,8,9,1838999304404452058,Winthrop St & Albany Ave,21,589624.916,4501299.941,589624.916,4501299.941,False,1781513980,compact,2,0,565.060078,5
cb443_V30_compact_r2,6,1,2,1898751402035634700,E 51 St & Linden Blvd,21,590486.293,4500898.484,590486.293,4500898.484,False,1781513980,compact,2,0,577.498039,6
cb443_V30_compact_r2,7,6,7,eb8fcff2-6f58-4724-b564-ebc9a8d374d8,Clarkson Ave & Utica Ave,20,590362.640,4501193.409,590362.640,4501193.409,False,1781513980,compact,2,0,586.287567,7
cb443_V30_compact_r2,8,10,11,1838999521825487230,Winthrop St & Schenectady Ave,21,590131.467,4501361.577,590131.467,4501361.577,False,1781513980,compact,2,0,587.979714,8
cb443_V30_compact_r2,9,3,4,1814900898997467540,Clarkson Ave & E 37 St,22,589340.064,4501082.240,589340.064,4501082.240,False,1781513980,compact,2,0,633.913930,9
cb443_V30_compact_r2,10,14,15,cd2d9dab-7708-4685-a56f-9412c738de7e,Rutland Rd & E 45 St,23,589927.396,4501596.693,589927.396,4501596.693,False,1781513980,compact,2,0,781.847362,10
cb443_V30_compact_r2,11,18,19,55fda28d-56a8-4db2-b42a-072714f18471,Schenectady Ave & Maple St,19,590071.702,4501758.312,590071.702,4501758.312,False,1781513980,compact,2,0,956.313756,11
cb443_V30_compact_r2,12,17,18,f42b3158-3f78-4a62-964a-8cc554d69c35,Maple St & Albany Ave,19,589624.835,4501727.375,589624.835,4501727.375,False,1781513980,compact,2,0,957.416524,12
