file,method,algorithm_preset,status,thread_fairness_class,time_budget_seconds,progress_log,compact_bc_enabled_families_effective,compact_bc_diagnostic_force_leaf_solve,compact_bc_low_gini_aggressive_diagnostic,audit_passed,failures
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_compact_bc_300s.json,wrapper_error,,wrapper_error,one_thread_fair,,,,False,False,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_plain_cplex_300s.json,cplex,custom,optimal,one_thread_fair,300,,,False,False,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_relaxation_only_300s.json,wrapper_error,,wrapper_error,one_thread_fair,,,,False,False,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.json,wrapper_error,,wrapper_error,one_thread_fair,,,,False,False,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s_auto_oracle\interval_17.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,300,,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,False,False,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s_auto_oracle\interval_19.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,300,,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,False,False,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s_auto_oracle\interval_20.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,300,,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,False,False,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_plain_cplex_300s.json,cplex,custom,optimal,one_thread_fair,300,,,False,False,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_relaxation_only_300s.json,wrapper_error,,wrapper_error,one_thread_fair,,,,False,False,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V16_M2_balanced_fractional_seed7103_compact_bc_300s.json,gcap-frontier,paper-gf-compact-bc,optimal,one_thread_fair,300,results\gf_compact_bc_lowgini_round\progress_traces\generated_diag_V16_M2_balanced_fractional_seed7103_compact_bc_300s.progress.csv,,False,False,True,
