section,requirement,status,evidence,detail
0_git_workspace,dedicated Round 36 branch is active,achieved,git branch --show-current = codex/round36-incumbent-decomposition-causal-study,
0_git_workspace,existing GitHub remote is used,achieved,origin = https://github.com/yifanXovo/TailoredExact.git,
0_git_workspace,pre-existing user work is preserved,achieved,Round 35 inherited preexisting_worktree_manifest.csv,592/592 entries preserved
1_default_c6,clean licensed build and relevant tests pass,achieved,stage_a_build_and_tests.json,
1_default_c6,default-off and explicit HH are decision-equivalent,achieved,baseline_equivalence_audit.csv,
1_default_c6,new causal controls default to off/proof,achieved,include/Instance.hpp,
2_proof_anchor,U_proof and U_anchor are explicit and separately used,achieved,PaperExternalGiniTree.cpp; main.cpp,
2_proof_anchor,semantic dataflow audit excludes anchor from proof consumers,achieved,semantic_separation_audit.json,
3_anchor_coverage,anchor grid intersects the proof-relevant range,achieved,GiniFrontierGeometry.cpp; round36_causal_tests,
4_split_normalization,proof and anchor denominator sources are explicit,achieved,PaperExternalGiniTree.cpp; split_decision_ledger.csv,
5_startup_values,HGA and SIMPLE starts are independently verified,achieved,main.cpp; per_arm_results.csv,
6_causal_arms,HH/SS/BW-P/BW-A are balanced and explicit,achieved,round36_official_matrix.csv,
7_frozen_panel,14-row representative panel is predeclared,achieved,frozen_causal_panel.csv,
7_frozen_panel,freeze identity precedes and matches official start,achieved,round36_frozen_manifest.json; official_start_record.json,
8_stage_a,anchor safety/equivalence/certificate tests are included,achieved,tests/round36_causal_tests.cpp; stage_a_build_and_tests.json,
9_stage_b,all 56 official rows are checksum-complete,achieved,runs/*/completion_marker.json,56/56 complete; first missing=[]
9_stage_b,"all official rows pass lifecycle, exactness, and certificate audits",achieved,exactness_certificate_audit.csv,56/56 final exactness rows
10_metrics,"required per-arm, trajectory, split, target and closure metrics exist",achieved,derived causal CSV package,
11_causal_questions,Questions A-D have explicit machine-readable answers,achieved,final_audit_decision.json,
12_decision_gates,geometry and normalization gates are evaluated,achieved,analysis_gate_definition.md; final_audit_decision.json,
13_stage_c,positive mechanism receives separately frozen broader validation,achieved,"Stage C frozen design, comparisons, and checksum manifest",
14_rho,rho remains fixed at 0.01 with no sweep,achieved,round36_frozen_manifest.json; command freeze,
15_K,K remains four in every official command,achieved,round36_command_freeze.json,
16_no_dispatch,no V/M/scenario startup dispatch is introduced,achieved,main.cpp; explicit arm matrix,
17_no_hga_light_mixing,HGA-LIGHT is not mixed into this causal study,achieved,main.cpp; round36_command_freeze.json,
17_reproducibility,frozen commands and completed rows exclude warm/resume contamination,achieved,round36_command_freeze.json; runner_row_summary.csv,
17_reproducibility,split and native-action control is hardware-independent and unsliced,achieved,semantic_separation_audit.json; PaperExternalGiniTree.cpp,
18_mathematics,three requested safety propositions are documented,achieved,theory_and_mechanism_note.md,
19_reporting,full compact evidence package is present,achieved,final evidence files,missing=[]
19_reporting,repository evidence respects the file-size preflight,achieved,evidence_package_summary.json,
20_conclusion,one required research conclusion is recorded,achieved,final_audit_decision.json; final_report.md,
21_git_completion,current committed branch is pushed,achieved,HEAD=691965111cfa210fb6f91cc999d2f902632ab2d5; upstream=691965111cfa210fb6f91cc999d2f902632ab2d5,
21_git_completion,draft PR 83 is open and unmerged,achieved,github_pr_record.json; GitHub connector,
21_git_completion,draft PR record attests the current head or its attestation parent,achieved,recorded=691965111cfa210fb6f91cc999d2f902632ab2d5; HEAD=691965111cfa210fb6f91cc999d2f902632ab2d5; HEAD^=6419643fdcfb98648e9ff5b003fba8e2f1419cbf,
