20 3 [30, 30, 30]
capacities = [100000, 39, 20, 50, 28, 24, 37, 26, 26, 26, 49, 28, 32, 48, 36, 50, 21, 27, 46, 23, 49]
initial     = [50000, 31, 13, 50, 0, 24, 35, 3, 3, 25, 46, 1, 31, 44, 29, 44, 1, 27, 11, 2, 41]
target      = [0, 7, 3, 14, 27, 1, 11, 20, 26, 7, 11, 27, 10, 5, 2, 7, 20, 7, 46, 18, 5]
weights    = [0.000000, 0.191615, 0.187681, 0.156211, 0.091304, 1.000000, 0.140119, 0.085109, 0.086538, 0.156211, 0.181423, 0.089775, 0.136739, 0.372174, 0.607609, 0.268323, 0.089239, 0.168012, 0.081427, 0.086715, 0.347391]
min_ratio  = [0.0000, 0.7000, 0.7000, 0.7000, 0.0000, 0.7000, 0.7000, 0.1050, 0.0808, 0.7000, 0.7000, 0.0259, 0.7000, 0.7000, 0.7000, 0.7000, 0.0350, 0.7000, 0.1674, 0.0778, 0.7000]
points = [(584400.000, 4511800.000), (584132.508, 4511552.973), (584670.403, 4511806.848), (584324.926, 4512214.263), (584134.603, 4511519.570), (584667.172, 4511788.902), (584277.810, 4512265.998), (584162.112, 4511481.590), (584694.720, 4511731.726), (584250.599, 4512260.186), (584049.199, 4511431.552), (584654.944, 4511801.167), (584376.147, 4512164.782), (584170.307, 4511540.039), (584670.997, 4511794.211), (584404.494, 4512283.029), (584141.836, 4511496.845), (584659.979, 4511677.776), (584309.601, 4512282.912), (584131.107, 4511494.655), (584678.528, 4511831.561)]
distances = [
{0.0000, 364.1071, 270.4902, 421.0109, 386.1044, 267.4023, 481.7517, 397.4611, 302.5245, 483.8304, 508.7393, 254.9465, 365.5612, 346.8981, 271.0592, 483.0504, 398.1852, 287.2758, 491.2998, 406.8649, 280.3103}
{364.1071, 0.0000, 594.7971, 688.7153, 33.4695, 584.4036, 727.6789, 77.2785, 589.9443, 717.0045, 147.2539, 578.3935, 658.5360, 39.9506, 590.0560, 779.0751, 56.8981, 542.0339, 751.1135, 58.3354, 612.9834}
{270.4902, 594.7971, 0.0000, 534.1742, 607.9560, 18.2346, 604.1099, 603.4505, 78.9594, 617.8600, 725.7704, 16.4704, 463.3613, 566.8184, 12.6510, 545.3960, 612.7684, 129.4918, 597.3397, 623.1413, 26.0145}
{421.0109, 688.7153, 534.1742, 0.0000, 720.2930, 545.9530, 69.9744, 750.5452, 607.9390, 87.3688, 829.8570, 528.7348, 71.2180, 691.7259, 544.2513, 105.1659, 740.4124, 632.5176, 70.3379, 745.2529, 521.0521}
{386.1044, 33.4695, 607.9560, 720.2930, 0.0000, 596.7991, 760.0418, 46.8953, 598.9496, 749.6453, 122.6422, 591.6513, 688.9431, 41.1554, 602.6163, 809.7604, 23.8476, 548.6788, 783.1444, 25.1588, 627.0507}
{267.4023, 584.4036, 18.2346, 545.9530, 596.7991, 0.0000, 615.8113, 591.2070, 63.4664, 629.0003, 713.8559, 17.3192, 475.3749, 555.7042, 6.5436, 559.6085, 601.0614, 111.3581, 609.8378, 611.5119, 44.1448}
{481.7517, 727.6789, 604.1099, 69.9744, 760.0418, 615.8113, 0.0000, 792.8944, 677.6877, 27.8239, 865.1956, 598.5801, 141.1202, 733.8751, 614.1495, 127.8240, 781.0793, 701.4682, 36.0108, 785.1700, 591.0249}
{397.4611, 77.2785, 603.4505, 750.5452, 46.8953, 591.2070, 792.8944, 0.0000, 588.4204, 783.6082, 123.5045, 587.3774, 715.9344, 59.0209, 597.2401, 837.2895, 25.3739, 535.1260, 814.7815, 33.6453, 623.8307}
{302.5245, 589.9443, 78.9594, 607.9390, 598.9496, 63.4664, 677.6877, 588.4204, 0.0000, 690.2992, 711.9004, 80.0261, 537.6116, 558.3479, 66.8365, 623.0302, 600.7073, 64.1678, 672.4000, 611.4425, 101.1398}
{483.8304, 717.0045, 617.8600, 87.3688, 749.6453, 629.0003, 27.8239, 783.6082, 690.2992, 0.0000, 852.7586, 611.7132, 157.6836, 724.6091, 627.5885, 155.5805, 771.0506, 711.8935, 63.2270, 774.8010, 605.6749}
{508.7393, 147.2539, 725.7704, 829.8570, 122.6422, 713.8559, 865.1956, 123.5045, 711.9004, 852.7586, 0.0000, 709.6074, 802.8212, 162.5941, 719.8301, 922.6315, 113.3355, 658.5429, 890.2937, 103.3973, 745.6963}
{254.9465, 578.3935, 16.4704, 528.7348, 591.6513, 17.3192, 598.5801, 587.3774, 80.0261, 611.7132, 709.6074, 0.0000, 458.1961, 550.5092, 17.4958, 543.0623, 596.5662, 123.4932, 592.7388, 606.9222, 38.4710}
{365.5612, 658.5360, 463.3613, 71.2180, 688.9431, 475.3749, 141.1202, 715.9344, 537.6116, 157.6836, 802.8212, 458.1961, 0.0000, 657.7792, 473.5607, 121.5976, 707.8428, 563.6797, 135.5835, 713.5230, 449.9670}
{346.8981, 39.9506, 566.8184, 691.7259, 41.1554, 555.7042, 733.8751, 59.0209, 558.3479, 724.6091, 162.5941, 550.5092, 657.7792, 0.0000, 561.5104, 779.0235, 51.7333, 508.6743, 755.8187, 59.9700, 585.8953}
{271.0592, 590.0560, 12.6510, 544.2513, 602.6163, 6.5436, 614.1495, 597.2401, 66.8365, 627.5885, 719.8301, 17.4958, 473.5607, 561.5104, 0.0000, 556.7474, 606.9910, 116.9547, 607.8120, 617.4264, 38.1019}
{483.0504, 779.0751, 545.3960, 105.1659, 809.7604, 559.6085, 127.8240, 837.2895, 623.0302, 155.5805, 922.6315, 543.0623, 121.5976, 779.0235, 556.7474, 0.0000, 828.8998, 656.9655, 94.8927, 834.4308, 528.1271}
{398.1852, 56.8981, 612.7684, 740.4124, 23.8476, 601.0614, 781.0793, 25.3739, 600.7073, 771.0506, 113.3355, 596.5662, 707.8428, 51.7333, 606.9910, 828.8998, 0.0000, 548.8239, 803.7695, 10.9503, 632.5131}
{287.2758, 542.0339, 129.4918, 632.5176, 548.6788, 111.3581, 701.4682, 535.1260, 64.1678, 711.8935, 658.5429, 123.4932, 563.6797, 508.6743, 116.9547, 656.9655, 548.8239, 0.0000, 699.2515, 559.6771, 154.8994}
{491.2998, 751.1135, 597.3397, 70.3379, 783.1444, 609.8378, 36.0108, 814.7815, 672.4000, 63.2270, 890.2937, 592.7388, 135.5835, 755.8187, 607.8120, 94.8927, 803.7695, 699.2515, 0.0000, 808.2133, 582.9442}
{406.8649, 58.3354, 623.1413, 745.2529, 25.1588, 611.5119, 785.1700, 33.6453, 611.4425, 774.8010, 103.3973, 606.9222, 713.5230, 59.9700, 617.4264, 834.4308, 10.9503, 559.6771, 808.2133, 0.0000, 642.7872}
{280.3103, 612.9834, 26.0145, 521.0521, 627.0507, 44.1448, 591.0249, 623.8307, 101.1398, 605.6749, 745.6963, 38.4710, 449.9670, 585.8953, 38.1019, 528.1271, 632.5131, 154.8994, 582.9442, 642.7872, 0.0000}
]
