path,size_bytes,sha256
amf_decision_ledger.csv,2338,8535805a853728b2bcfce7422da5cefdbc87c832b55bbee7c2e2afc2ccca86cc
certificate_ledger.csv,464,88e62a7917dc39b0c72cd18222c4f811b31b6005ca869114919a881f730a18af
command.json,8395,df9da2c249aae819424676928e3fa88a5376d19a7399cd94bd0b73045da1c74c
command_environment.json,191,e25f54b82b4bb4d200dcc5fdb5154190d864fe3353ffc3df1d63cdf493145930
external/adaptive_mass_decision_ledger.csv,1065,b00687cacece40b8942d0fcf46fde67ec033c82c96521e549ed609b993e8050f
external/amf_decision_ledger.csv,2338,8535805a853728b2bcfce7422da5cefdbc87c832b55bbee7c2e2afc2ccca86cc
external/c6_split_decision_ledger.csv,940,f74a7009aec60baae4ad2b3bab1db9a5a5696c2e3d3b5208f1888af4e9b5b63e
external/certificate_ledger.csv,464,88e62a7917dc39b0c72cd18222c4f811b31b6005ca869114919a881f730a18af
external/contraction_ledger.csv,270,a4b4b4b38ac826c3348010dc0f7306d46f59ff32c70e3c651bc662724f211116
external/formulation_strength_ledger.csv,1357,bf3c9ca1223642fa9bca6da70f65767f2b9ab39217c07ada3787ce1737e5c983
external/formulation_variable_registry.csv,174693,91d0dca3d7e72ee1001e4df6c23677d728fd0ae1d4f6e23999e9c5549713fbf4
external/global_bound_trace.csv,115751,05373f1f5fabb0690c4b86280998c553b6cf064da2d9be8ca216a8a1cbad4e63
external/initial_decomposition_ledger.csv,317,6baff4489a52e0c74ca15c1aeb144a07ccb5a05714a30354989d8a1b246ac15d
external/interval_coverage_ledger.csv,705,9c6400fb438fe7c3e03721f7dcd6c6fd7a78589984557e47cd26cb79a3b51ea4
external/interval_tree_events.csv,538,27d4c6b981c5044fe5253e5639403732266b95114c915adca14323e3671451a1
external/lp_status_ledger.csv,490,2f3e17beae5cf89455e1fb22fecd62790fb78dacdf8f50c787a6be91fbecd597
external/model_size_ledger.csv,646,d56210f00155f5e4efd78cd4b2a6222554e256d31634a4cd0d636834027b8143
external/models/L0.0.lp,2805622,60cbc736afdf0fd2b55e25801b920c62339b514b9b0e4e0939387d020c6f6f6a
external/models/L0.1.lp,2811884,6761c60cd46972c67a5047dfd419a69e5c6fa25198bdb24cdccd0e8b031ab08f
external/models/L0.lp,2805490,30f435a99413755eb3351e459649149edbaef7bb592134b42404d487894ef946
external/native_logs/L0.0_lp.gurobi.log,1429,054005cf6c0f68491d5b2ec05b182738a970d013b3989fe68ac6ee1a852a3267
external/native_logs/L0.1_lp.gurobi.log,1429,0f51c9b6360e1ae209b96dedca88f48d50708ca404d2c9ff77523e2f0ad4f386
external/native_logs/L0_c6_1_child_disjunction_target_mip.gurobi.log,1898,bb8bbee13df5de850473b7c0dfc00d2d8eaf8f69588ef3720b7b673f44220894
external/native_logs/L0_lp.gurobi.log,1428,4bb4d68f1cf9ada229bc2977496360dd8568526d23a6b2cb14145e7f2ea7c7e6
external/native_logs/L0_terminal_mip.gurobi.log,9917,a7bb7c4298aefd0d5054d9b35f31ae4cad021f0b5225dabff3f1b8def5341057
external/native_target_ledger.csv,460,5bf710a70a7e73116a780f28b5af7731e232ffafe8bd64bf4e03cc54bde974f2
external/paper_optimize_ledger.csv,2304,76b9bc8b6ab0e04b9317d1cdb2b45a4f47fc8c3673c561e5416c4003b75da583
external/parent_child_bound_ledger.csv,482,d7fc146767e67dcea9385d77689d00f7b29b5adf5a28d7d3dc955906fadefaed
external/split_decision_ledger.csv,565,41648cb9684d776de38d7e5e45322df34a0ea8cdaa4fe5c184aa2ed42a61980b
formulation_strength_ledger.csv,1357,bf3c9ca1223642fa9bca6da70f65767f2b9ab39217c07ada3787ce1737e5c983
formulation_variable_registry.csv,174693,91d0dca3d7e72ee1001e4df6c23677d728fd0ae1d4f6e23999e9c5549713fbf4
global_bound_trace.csv,115751,05373f1f5fabb0690c4b86280998c553b6cf064da2d9be8ca216a8a1cbad4e63
heuristic_candidates.csv,395,b2fce8f3d3e1e189c7cb7cf4663e1cd58550ca0f31e424c89e9a360c47af6a5a
hga_generations.csv,106291,7d6a381436329a9acef4f4ac583f6c4f09cf55e2e36c2a0bbc2fb90758e63d1d
interval_coverage_ledger.csv,705,9c6400fb438fe7c3e03721f7dcd6c6fd7a78589984557e47cd26cb79a3b51ea4
interval_tree_events.csv,538,27d4c6b981c5044fe5253e5639403732266b95114c915adca14323e3671451a1
model_size_ledger.csv,646,d56210f00155f5e4efd78cd4b2a6222554e256d31634a4cd0d636834027b8143
native.log,1790,50174ed3739743de80405f41bfb8f276d3a16ca60be66c79b7d106f28ee33e00
native_target_ledger.csv,460,5bf710a70a7e73116a780f28b5af7731e232ffafe8bd64bf4e03cc54bde974f2
process_manifest.json,778,86b4bcf96ea2a811fb5594f6b412d1780ba24110dcfc515199392db61405d655
process_phases.csv,4106,0150c6dc84c45269dcf344a52bbd053d1585055abfef801dbec98f97acb577b2
progress.csv,692,2ad476fb1d1d7b9d982f2573953412e96835891dadb3bb7710ea4ce56a9ffb68
result.json,94700,5c14c73803a45037c2051fc8ee7a782875a7d0a027dff664475dd2a857efdd6f
stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stdout.log,154,146e78412eda02f4756f5050fc1deb218a34ad1e836a1638fcf92b937585c007
