record_type,path_or_key,initial_status,size_bytes,last_write_utc,sha256,must_remain_untouched,notes
repository,initial_head,e4c8c8755f87e2e4416c2a0050d6f02de0274ac0,,,,true,Recorded before Round 18 fetch/build/edit
repository,initial_branch,codex/longrun-round17-local-results,,,,true,Recorded before Round 18 branch creation
repository,initial_upstream,origin/codex/longrun-round17-local-results,,,,true,Existing upstream configuration
repository,initial_github_main,fcfc91188a8b4086059c10e0710fb4ccdfcc882f,,,,true,Read-only git ls-remote result before targeted fetch
tracked_modified,results/gf_compact_bc_timeprofile_round/progress_traces/exact_moderate_seed3301_1200s_static300.progress.csv,M,,,,true,Pre-existing user modification
tracked_modified,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300.json,M,,,,true,Pre-existing user modification
untracked,Manuscript/main.aux,??,,,,true,Pre-existing generated manuscript artifact
untracked,Manuscript/main.bbl,??,,,,true,Pre-existing generated manuscript artifact
untracked,Manuscript/main.blg,??,,,,true,Pre-existing generated manuscript artifact
untracked,Manuscript/main.out,??,,,,true,Pre-existing generated manuscript artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300.auto_oracle.csv,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300.intervals.csv,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300.merged.intervals.csv,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300.oracle_partition_tree.csv,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300.trace.json,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300_auto_oracle/interval_1.json,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300_auto_oracle/interval_11.json,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300_auto_oracle/interval_16.json,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300_auto_oracle/interval_17.json,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300_auto_oracle/interval_18.json,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300_auto_oracle/interval_19.json,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300_auto_oracle/interval_2.json,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300_auto_oracle/interval_3.json,??,,,,true,Pre-existing result artifact
untracked,results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300_auto_oracle/interval_7.json,??,,,,true,Pre-existing result artifact
untracked,results/gf_tailored_bc_callback_round/progress_traces/regression_v12_m1_tailored_static_300s.progress.csv,??,,,,true,Pre-existing result artifact
untracked,results/gf_tailored_bc_callback_round/progress_traces/regression_v12_m2_tailored_static_300s.progress.csv,??,,,,true,Pre-existing result artifact
untracked,results/manual/progress_v12_m2.csv,??,,,,true,Pre-existing manual artifact
untracked,results/manual/v12_m2_twotrack.json,??,,,,true,Pre-existing manual artifact
untracked,results/optimization_update_round10/raw/resume_state_test_state.json,??,,,,true,Pre-existing test artifact
untracked,results/optimization_update_round3/raw/ablation__.json,??,,,,true,Pre-existing result artifact
untracked,results/optimization_update_round3/raw/incumbent__greedy.json,??,,,,true,Pre-existing result artifact
untracked,results/optimization_update_round3/raw/incumbent__local.json,??,,,,true,Pre-existing result artifact
untracked,results/optimization_update_round3/raw/incumbent__pool.json,??,,,,true,Pre-existing result artifact
untracked,results/optimization_update_round3/raw/incumbent__strong.json,??,,,,true,Pre-existing result artifact
untracked,scripts/__pycache__/audit_alternative_gini_formulations.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_bpc_certificate.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_bucket_integer_inventory_domain.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_bucket_required_movement.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_callback_relaxation_vector_export.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_callback_vector_family_parser.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_certificate_sources.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_compact_bc_effectiveness.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_disaggregated_sp_estimator.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_gf_compact_bc_summary.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_gs_h_product_coupling.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_hardware_fairness.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_low_gini_cut_validity.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_lp_snapshot_integrity.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_model_identity.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_no_cross_round_result_mixing.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_plateau_bound_trace.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_s_bucket_coverage.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_s_bucket_ledger_merge.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_tailored_bc_callback_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_timeprofile_finalization.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_transfer_cut_validity.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_vector_route_cuts.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/audit_vector_structural_summary.cpython-312.pyc,??,,,,true,Pre-existing Python cache
