run_id,pre_exactebrp_count,pre_cplex_count,post_exactebrp_count,post_cplex_count,serial_no_overlap,cplex_threads,concurrent_solver_processes,background_solver_detected,incumbent_source_policy,process_start_time,process_end_time,resource_stopped,bound_used_in_comparison,certified_original_problem,diagnostic_only
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T03:51:13+08:00,2026-07-14T03:55:23+08:00,False,True,False,
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T03:55:23+08:00,2026-07-14T04:00:17+08:00,False,True,False,
official__moderate_seed3301__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:00:18+08:00,2026-07-14T04:05:12+08:00,False,True,False,
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:05:12+08:00,2026-07-14T04:10:07+08:00,False,True,False,
official__moderate_seed3302__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:10:07+08:00,2026-07-14T04:15:02+08:00,False,True,False,
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:15:02+08:00,2026-07-14T04:19:57+08:00,False,True,False,
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:19:57+08:00,2026-07-14T04:24:52+08:00,False,True,False,
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:24:52+08:00,2026-07-14T04:29:46+08:00,False,True,False,
official__tight_T_seed3102__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:29:47+08:00,2026-07-14T04:34:41+08:00,False,True,False,
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:34:41+08:00,2026-07-14T04:39:36+08:00,False,True,False,
official__V12_M1__tailored_legacy_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:40:45+08:00,2026-07-14T04:48:58+08:00,False,True,True,
official__V12_M1__tailored_controlling_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:48:58+08:00,2026-07-14T04:50:40+08:00,False,True,True,
official__V12_M2__tailored_legacy_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:50:40+08:00,2026-07-14T04:55:31+08:00,False,True,True,
official__V12_M2__tailored_controlling_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T04:55:31+08:00,2026-07-14T05:03:28+08:00,False,True,True,
official__tight_T_seed3101__tailored_legacy_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T05:03:29+08:00,2026-07-14T05:04:45+08:00,False,True,True,
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T05:04:46+08:00,2026-07-14T05:19:28+08:00,False,True,False,
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T05:19:28+08:00,2026-07-14T05:24:23+08:00,False,True,True,
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T05:24:23+08:00,2026-07-14T05:39:05+08:00,False,True,False,
official__moderate_seed3301__tailored_legacy_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T05:39:06+08:00,2026-07-14T05:53:48+08:00,False,True,False,
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T05:53:49+08:00,2026-07-14T06:08:31+08:00,False,True,False,
official__moderate_seed3302__tailored_legacy_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T06:08:32+08:00,2026-07-14T06:23:14+08:00,False,True,False,
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T06:23:14+08:00,2026-07-14T06:37:57+08:00,False,True,False,
official__high_imbalance_seed3201__plain_cplex__900s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-14T06:37:57+08:00,2026-07-14T06:52:57+08:00,False,True,False,
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T06:52:57+08:00,2026-07-14T07:07:40+08:00,False,True,False,
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T07:07:40+08:00,2026-07-14T07:22:23+08:00,False,True,False,
official__tight_T_seed3102__plain_cplex__900s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-14T07:22:23+08:00,2026-07-14T07:37:23+08:00,False,True,False,
official__tight_T_seed3102__tailored_legacy_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T07:37:23+08:00,2026-07-14T07:52:06+08:00,False,True,False,
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T07:52:06+08:00,2026-07-14T08:06:48+08:00,False,True,False,
official__V12_M1__plain_cplex__1800s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-14T15:52:21+08:00,2026-07-14T15:55:26+08:00,False,True,True,
official__V12_M1__tailored_legacy_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T15:55:26+08:00,2026-07-14T16:04:30+08:00,False,True,True,
official__V12_M1__tailored_controlling_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T16:04:30+08:00,2026-07-14T16:06:10+08:00,False,True,True,
official__V12_M2__plain_cplex__1800s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-14T16:06:10+08:00,2026-07-14T16:35:41+08:00,False,True,False,
official__V12_M2__tailored_legacy_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T16:35:41+08:00,2026-07-14T16:40:31+08:00,False,True,True,
official__V12_M2__tailored_controlling_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T16:40:31+08:00,2026-07-14T16:48:28+08:00,False,True,True,
official__tight_T_seed3101__plain_cplex__1800s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-14T16:48:28+08:00,2026-07-14T17:17:58+08:00,False,True,False,
official__tight_T_seed3101__tailored_legacy_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T17:17:59+08:00,2026-07-14T17:19:15+08:00,False,True,True,
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T17:19:15+08:00,2026-07-14T17:48:46+08:00,False,True,False,
official__high_imbalance_seed3202__plain_cplex__1800s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-14T17:48:46+08:00,2026-07-14T18:18:16+08:00,False,True,False,
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T18:18:17+08:00,2026-07-14T18:23:11+08:00,False,True,True,
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T18:23:11+08:00,2026-07-14T18:52:41+08:00,False,True,False,
official__moderate_seed3301__plain_cplex__1800s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-14T18:52:42+08:00,2026-07-14T19:22:31+08:00,False,True,False,
official__moderate_seed3301__tailored_legacy_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T19:22:31+08:00,2026-07-14T19:48:13+08:00,False,True,False,
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T19:48:13+08:00,2026-07-14T20:17:44+08:00,False,True,False,
official__moderate_seed3302__plain_cplex__1800s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-14T20:17:44+08:00,2026-07-14T20:47:33+08:00,False,True,False,
official__moderate_seed3302__tailored_legacy_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T20:47:33+08:00,2026-07-14T21:17:03+08:00,False,True,False,
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T21:17:04+08:00,2026-07-14T21:46:34+08:00,False,True,False,
official__high_imbalance_seed3201__plain_cplex__1800s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-14T21:46:34+08:00,2026-07-14T22:16:04+08:00,False,True,False,
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T22:16:05+08:00,2026-07-14T22:41:26+08:00,False,True,False,
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T22:41:26+08:00,2026-07-14T23:10:57+08:00,False,True,False,
official__tight_T_seed3102__plain_cplex__1800s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-14T23:10:57+08:00,2026-07-14T23:40:28+08:00,False,True,False,
official__tight_T_seed3102__tailored_legacy_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-14T23:40:28+08:00,2026-07-15T00:08:53+08:00,False,True,False,
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-15T00:08:53+08:00,2026-07-15T00:38:23+08:00,False,True,False,
diagnostic__moderate_seed3301__tailored_controlling_checkpoint_merge_disabled_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-15T00:39:41+08:00,2026-07-15T00:44:34+08:00,False,False,False,True
diagnostic__high_imbalance_seed3201__tailored_controlling_checkpoint_merge_disabled_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-15T00:46:00+08:00,2026-07-15T00:50:55+08:00,False,False,False,True
diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-15T00:50:55+08:00,2026-07-15T00:55:50+08:00,False,False,False,True
diagnostic__moderate_seed3301__tailored_controlling_checkpoint_merge_disabled_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-15T00:55:50+08:00,2026-07-15T01:10:32+08:00,False,False,False,True
diagnostic__high_imbalance_seed3201__tailored_controlling_checkpoint_merge_disabled_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-15T01:10:32+08:00,2026-07-15T01:25:15+08:00,False,False,False,True
diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__900s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-15T01:25:15+08:00,2026-07-15T01:39:57+08:00,False,False,False,True
