row,variant,budget_seconds,json_path,selected_for_summary,certified_original_problem,row_certificate_source_class,leaf_solver_row,compact_bc_called_this_row,compact_bc_called_any_child,parent_row_compact_bc_called_any_leaf,compact_bc_called_any_leaf,compact_bc_contributed_to_certificate,compact_bc_diagnostic_only,paper_certificate_contamination,inconsistent_source_label_detected
V12_M2,plain_cplex,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M2__plain_cplex__900s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
V12_M2,tailored_legacy_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M2__tailored_legacy_scheduler_static__900s.json,False,True,tailored_bc_certified,True,True,True,True,True,True,False,False,False
V12_M2,tailored_controlling_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M2__tailored_controlling_scheduler_static__900s.json,False,True,tailored_bc_certified,True,True,True,True,True,True,False,False,False
tight_T_seed3101,plain_cplex,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3101__plain_cplex__900s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
tight_T_seed3101,tailored_legacy_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3101__tailored_legacy_scheduler_static__900s.json,False,True,tailored_bc_certified,True,True,True,True,True,True,False,False,False
tight_T_seed3101,tailored_controlling_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3101__tailored_controlling_scheduler_static__900s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
high_imbalance_seed3202,plain_cplex,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3202__plain_cplex__900s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
high_imbalance_seed3202,tailored_legacy_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3202__tailored_legacy_scheduler_static__900s.json,False,True,tailored_bc_certified,True,True,True,True,True,True,False,False,False
high_imbalance_seed3202,tailored_controlling_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
moderate_seed3301,plain_cplex,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3301__plain_cplex__900s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
moderate_seed3301,tailored_legacy_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3301__tailored_legacy_scheduler_static__900s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
moderate_seed3301,tailored_controlling_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3301__tailored_controlling_scheduler_static__900s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
moderate_seed3302,plain_cplex,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3302__plain_cplex__900s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
moderate_seed3302,tailored_legacy_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3302__tailored_legacy_scheduler_static__900s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
moderate_seed3302,tailored_controlling_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3302__tailored_controlling_scheduler_static__900s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
high_imbalance_seed3201,plain_cplex,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3201__plain_cplex__900s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
high_imbalance_seed3201,tailored_legacy_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3201__tailored_legacy_scheduler_static__900s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
high_imbalance_seed3201,tailored_controlling_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
tight_T_seed3102,plain_cplex,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3102__plain_cplex__900s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
tight_T_seed3102,tailored_legacy_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3102__tailored_legacy_scheduler_static__900s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
tight_T_seed3102,tailored_controlling_scheduler_static,900,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3102__tailored_controlling_scheduler_static__900s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
V12_M1,plain_cplex,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M1__plain_cplex__1800s.json,False,True,benchmark_only,False,False,False,False,False,False,True,False,False
V12_M1,tailored_legacy_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M1__tailored_legacy_scheduler_static__1800s.json,False,True,tailored_bc_certified,True,True,True,True,True,True,False,False,False
V12_M1,tailored_controlling_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M1__tailored_controlling_scheduler_static__1800s.json,False,True,tailored_bc_certified,True,True,True,True,True,True,False,False,False
V12_M2,plain_cplex,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M2__plain_cplex__1800s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
V12_M2,tailored_legacy_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M2__tailored_legacy_scheduler_static__1800s.json,False,True,tailored_bc_certified,True,True,True,True,True,True,False,False,False
V12_M2,tailored_controlling_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M2__tailored_controlling_scheduler_static__1800s.json,False,True,tailored_bc_certified,True,True,True,True,True,True,False,False,False
tight_T_seed3101,plain_cplex,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3101__plain_cplex__1800s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
tight_T_seed3101,tailored_legacy_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3101__tailored_legacy_scheduler_static__1800s.json,False,True,tailored_bc_certified,True,True,True,True,True,True,False,False,False
tight_T_seed3101,tailored_controlling_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
high_imbalance_seed3202,plain_cplex,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3202__plain_cplex__1800s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
high_imbalance_seed3202,tailored_legacy_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3202__tailored_legacy_scheduler_static__1800s.json,False,True,tailored_bc_certified,True,True,True,True,True,True,False,False,False
high_imbalance_seed3202,tailored_controlling_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
moderate_seed3301,plain_cplex,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3301__plain_cplex__1800s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
moderate_seed3301,tailored_legacy_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3301__tailored_legacy_scheduler_static__1800s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
moderate_seed3301,tailored_controlling_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3301__tailored_controlling_scheduler_static__1800s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
moderate_seed3302,plain_cplex,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3302__plain_cplex__1800s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
moderate_seed3302,tailored_legacy_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3302__tailored_legacy_scheduler_static__1800s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
moderate_seed3302,tailored_controlling_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__moderate_seed3302__tailored_controlling_scheduler_static__1800s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
high_imbalance_seed3201,plain_cplex,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3201__plain_cplex__1800s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
high_imbalance_seed3201,tailored_legacy_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3201__tailored_legacy_scheduler_static__1800s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
high_imbalance_seed3201,tailored_controlling_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
tight_T_seed3102,plain_cplex,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3102__plain_cplex__1800s.json,False,False,benchmark_only,False,False,False,False,False,False,True,False,False
tight_T_seed3102,tailored_legacy_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3102__tailored_legacy_scheduler_static__1800s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
tight_T_seed3102,tailored_controlling_scheduler_static,1800,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s.json,False,False,tailored_bc_assisted_noncertified,True,True,True,True,True,False,False,False,False
