selection_id,generated_local_station_index,source_station_row_index,legacy_internal_index,station_id,station_name,original_capacity,original_utm_easting_m,original_utm_northing_m,selected_utm_easting_m,selected_utm_northing_m,is_depot,geographic_selection_seed,geographic_regime,replicate,anchor_source_station_row_index,distance_from_anchor_m,selection_order
cb443_V12_compact_r2,0,,,,ARTIFICIAL_CENTROID_DEPOT,,,,586871.960,4503728.562,True,578456842,compact,2,127,,0
cb443_V12_compact_r2,1,127,128,66de5ace-0aca-11e7-82f6-3863bb44ef7c,Prospect Pl & 6 Ave,25,586604.709,4503665.598,586604.709,4503665.598,False,578456842,compact,2,127,0.000000,1
cb443_V12_compact_r2,2,144,145,66de5a47-0aca-11e7-82f6-3863bb44ef7c,Bergen St & Flatbush Ave,33,586562.218,4503844.293,586562.218,4503844.293,False,578456842,compact,2,127,183.677402,2
cb443_V12_compact_r2,3,114,115,66de5d57-0aca-11e7-82f6-3863bb44ef7c,7 Ave & Park Pl,25,586771.932,4503477.037,586771.932,4503477.037,False,578456842,compact,2,127,252.029329,3
cb443_V12_compact_r2,4,113,114,1880643497376459348,Park Pl & Carlton Ave,27,586868.003,4503449.661,586868.003,4503449.661,False,578456842,compact,2,127,340.518015,4
cb443_V12_compact_r2,5,145,146,c3189056-8eda-4278-891f-e8e15c2d759a,Carlton Ave & Dean St,29,586956.292,4503852.158,586956.292,4503852.158,False,578456842,compact,2,127,398.014120,5
cb443_V12_compact_r2,6,162,163,66db281e-0aca-11e7-82f6-3863bb44ef7c,Atlantic Ave & Fort Greene Pl,62,586503.566,4504163.497,586503.566,4504163.497,False,578456842,compact,2,127,508.068224,6
cb443_V12_compact_r2,7,116,117,62b97c1e-9d06-4c5e-b9c3-d76099e37fe4,Prospect Pl & Vanderbilt Ave,27,587128.611,4503487.945,587128.611,4503487.945,False,578456842,compact,2,127,553.203303,7
cb443_V12_compact_r2,8,92,93,66de5e5b-0aca-11e7-82f6-3863bb44ef7c,Plaza St West & Flatbush Ave,49,586955.153,4503191.191,586955.153,4503191.191,False,578456842,compact,2,127,589.807595,8
cb443_V12_compact_r2,9,105,106,699d3378-6ea8-465f-888b-c49c60089ce8,Park Pl & Vanderbilt Ave,21,587129.665,4503379.674,587129.665,4503379.674,False,578456842,compact,2,127,597.771976,9
cb443_V12_compact_r2,10,129,130,8caf71df-76c3-43fb-be98-d555d2291460,Bergen St & Vanderbilt Ave,27,587208.935,4503684.669,587208.935,4503684.669,False,578456842,compact,2,127,604.526891,10
cb443_V12_compact_r2,11,174,175,66dbc60f-0aca-11e7-82f6-3863bb44ef7c,S Portland Ave & Hanson Pl,26,586671.276,4504339.715,586671.276,4504339.715,False,578456842,compact,2,127,677.395671,11
cb443_V12_compact_r2,12,165,166,66dbee85-0aca-11e7-82f6-3863bb44ef7c,Fulton St & Clermont Ave,75,587103.161,4504207.302,587103.161,4504207.302,False,578456842,compact,2,127,736.136957,12
