file,row_class,active,gamma_U,s_bucket_L,s_bucket_U,s_range_refinement_enabled,compact_bc_s_range_refinement,s_range_certificate_valid,compact_bc_s_range_rows_added,bucket_ratio_domain_rows_added,bucket_ratio_domain_bounds_tightened,bucket_subset_ratio_domain_cuts_added,bucket_subset_ratio_domain_max_size,bucket_h_cap_rows_added,audit_passed,failures
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_10s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_1200s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_300s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_3600s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_integer_inventory_domain_1200s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_integer_inventory_domain_300s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_integer_inventory_domain_3600s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_1200s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_300s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_3600s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_10800s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_1200s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_3600s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_10800s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_10s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_1200s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_3600s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_10800s.json,benchmark_only_plain_fixed_interval_mip_telemetry,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_1200s.json,benchmark_only_plain_fixed_interval_mip_telemetry,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_300s.json,benchmark_only_plain_fixed_interval_mip_telemetry,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_3600s.json,benchmark_only_plain_fixed_interval_mip_telemetry,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_sp_h_coupled_estimator_1200s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_sp_h_coupled_estimator_300s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_sp_h_coupled_estimator_3600s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_10800s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_1200s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_3600s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\high_imbalance_seed3201_hard_all_new_paper_safe_cuts_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.59375,14.5666666667,78.1355729679,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\high_imbalance_seed3201_hard_current_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.59375,14.5666666667,78.1355729679,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\high_imbalance_seed3201_hard_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.59375,0.0,88.192425813,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\low_gini_2_all_new_paper_safe_cuts_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0368644144986,4.6455026455,28.7993876794,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\low_gini_2_current_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0368644144986,4.6455026455,28.7993876794,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\low_gini_2_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.0368644144986,0.0,66.9085786677,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\moderate_seed3302_hard_all_new_paper_safe_cuts_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0978181032745,0.611413043478,38.4503018346,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\moderate_seed3302_hard_bucket_integer_inventory_domain_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0978181032745,0.611413043478,38.4503018346,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\moderate_seed3302_hard_bucket_required_movement_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0978181032745,0.611413043478,38.4503018346,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\moderate_seed3302_hard_current_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0978181032745,0.611413043478,38.4503018346,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\moderate_seed3302_hard_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.0978181032745,0.0,45.2857559372,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\tight_T_seed3102_hard_all_new_paper_safe_cuts_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.300352218343,5.50586593258,50.5248237629,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\tight_T_seed3102_hard_current_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.300352218343,5.50586593258,50.5248237629,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\tight_T_seed3102_hard_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.300352218343,0.0,73.0065087446,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_certificate-basis-test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_gini-subset-envelope-test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_low-gini-l1-centering-test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_option-consistency-test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_s-bucket-coverage-test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_tailored-bc-branch-callback-smoke-test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_tailored-bc-callback-smoke-test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_tailored-bc-cut-validity-test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_transfer-cutset-validity-test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
