12 3 [30, 30, 30]
capacities = [100000, 40, 50, 25, 23, 25, 47, 50, 25, 45, 31, 48, 46]
initial     = [50000, 33, 34, 16, 2, 17, 14, 4, 22, 11, 3, 12, 0]
target      = [0, 4, 7, 3, 13, 8, 22, 17, 8, 45, 11, 35, 7]
weights    = [0.000000, 1.000000, 0.555419, 0.617816, 0.160875, 0.197414, 0.097649, 0.150203, 0.279310, 0.149004, 0.145298, 0.136108, 0.181034]
min_ratio  = [0.0000, 0.7000, 0.7000, 0.7000, 0.1077, 0.7000, 0.4455, 0.1647, 0.7000, 0.1711, 0.1909, 0.2400, 0.0000]
points = [(584400.000, 4511800.000), (584168.902, 4511440.461), (584726.690, 4511746.586), (584279.963, 4512299.506), (584021.201, 4511524.699), (584659.260, 4511726.639), (584388.491, 4512280.897), (584037.765, 4511556.566), (584777.767, 4511816.706), (584317.299, 4512113.221), (584149.623, 4511559.940), (584634.655, 4511831.529), (584229.646, 4512206.392)]
distances = [
{0.0000, 427.4045, 331.0275, 513.7265, 468.2723, 269.4392, 481.0349, 436.4335, 378.1362, 323.9555, 346.8675, 236.7641, 440.6530}
{427.4045, 0.0000, 636.2701, 866.1941, 170.0335, 567.7579, 868.6496, 175.1484, 715.7352, 688.9324, 121.0245, 608.1615, 768.3359}
{331.0275, 636.2701, 0.0000, 710.8343, 739.5589, 70.3182, 632.3505, 714.6498, 86.7508, 549.5660, 606.4998, 125.2423, 677.1073}
{513.7265, 866.1941, 710.8343, 0.0000, 816.8738, 687.0533, 110.1118, 781.4216, 693.4731, 189.9891, 750.9630, 587.2046, 105.8393}
{468.2723, 170.0335, 739.5589, 816.8738, 0.0000, 669.2521, 840.6766, 35.9143, 810.9620, 658.8110, 133.1696, 685.9084, 712.8495}
{269.4392, 567.7579, 70.3182, 687.0533, 669.2521, 0.0000, 616.8612, 644.3449, 148.8486, 516.1233, 536.2069, 107.7367, 643.9960}
{481.0349, 868.6496, 632.3505, 110.1118, 840.6766, 616.8612, 0.0000, 804.7761, 605.8132, 182.1635, 759.4975, 512.3757, 175.4501}
{436.4335, 175.1484, 714.6498, 781.4216, 35.9143, 644.3449, 804.7761, 0.0000, 784.3948, 622.9000, 111.9088, 657.1776, 677.5637}
{378.1362, 715.7352, 86.7508, 693.4731, 810.9620, 148.8486, 605.8132, 784.3948, 0.0000, 547.6795, 678.5962, 143.8772, 672.5267}
{323.9555, 688.9324, 549.5660, 189.9891, 658.8110, 516.1233, 182.1635, 622.9000, 547.6795, 0.0000, 578.1304, 424.3419, 127.9209}
{346.8675, 121.0245, 606.4998, 750.9630, 133.1696, 536.2069, 759.4975, 111.9088, 678.5962, 578.1304, 0.0000, 555.8924, 651.3858}
{236.7641, 608.1615, 125.2423, 587.2046, 685.9084, 107.7367, 512.3757, 657.1776, 143.8772, 424.3419, 555.8924, 0.0000, 551.8651}
{440.6530, 768.3359, 677.1073, 105.8393, 712.8495, 643.9960, 175.4501, 677.5637, 672.5267, 127.9209, 651.3858, 551.8651, 0.0000}
]
