forbidden_input,searched_pattern,decision_source_scope,observed,audit_passed
instance filename,input_path,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
instance ID,instance_id,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
generation seed,seed,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
V,instance.v,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
M,instance.m,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
Q,instance.q,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
scenario label,scenario,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
difficulty stratum,difficulty,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
historical winner,historical_winner,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
elapsed seconds,elapsed,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
Gurobi Work,gurobi_work,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
processed nodes,node_count,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
simplex iterations,simplex,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
barrier iterations,barrier,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
memory,memory,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
hardware identifier,hardware,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
leaf effort,leaf_effort,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
historical classifier,classifier,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
known regression lookup table,regression_lookup,GiniEnvelopeRefinement.cpp/.hpp deterministic functions,False,True
