70 5 [30, 30, 30, 30, 30]
capacities = [100000, 45, 50, 29, 33, 34, 46, 38, 49, 26, 35, 24, 45, 35, 25, 47, 32, 26, 24, 45, 36, 41, 36, 29, 36, 50, 32, 50, 46, 28, 29, 41, 36, 39, 50, 49, 37, 26, 24, 36, 29, 42, 26, 34, 48, 37, 31, 43, 35, 46, 37, 32, 46, 49, 45, 39, 26, 31, 48, 33, 32, 34, 24, 33, 25, 47, 42, 35, 27, 40, 29]
initial     = [50000, 15, 42, 10, 32, 1, 33, 1, 2, 1, 29, 5, 26, 26, 10, 40, 29, 25, 18, 43, 5, 3, 35, 9, 12, 32, 31, 1, 9, 6, 1, 40, 31, 38, 49, 46, 3, 5, 23, 16, 10, 13, 4, 33, 47, 36, 19, 42, 26, 5, 1, 31, 1, 40, 24, 1, 21, 30, 17, 32, 25, 25, 19, 1, 19, 23, 40, 31, 1, 37, 7]
target      = [0, 20, 28, 19, 21, 10, 26, 13, 25, 10, 23, 13, 13, 21, 16, 26, 18, 18, 10, 25, 16, 16, 26, 17, 25, 16, 23, 17, 24, 15, 12, 33, 16, 31, 28, 28, 10, 15, 13, 22, 19, 26, 11, 26, 36, 26, 11, 25, 15, 21, 10, 22, 12, 26, 13, 16, 14, 22, 38, 24, 20, 12, 12, 12, 14, 34, 22, 20, 10, 32, 19]
weights    = [0.000000, 0.362500, 0.575000, 0.552632, 0.595238, 0.915000, 0.378846, 0.934615, 0.932000, 0.915000, 0.371739, 0.673077, 1.000000, 0.352381, 0.468750, 0.607692, 0.669444, 0.480556, 0.830000, 0.762000, 0.734375, 0.840625, 0.444231, 0.550000, 0.592000, 1.000000, 0.445652, 0.950000, 0.681250, 0.660000, 0.929167, 0.330303, 0.946875, 0.341935, 0.787500, 0.696429, 0.745000, 0.716667, 0.803846, 0.381818, 0.552632, 0.575000, 0.690909, 0.378846, 0.409722, 0.476923, 0.768182, 0.728000, 0.773333, 0.797619, 0.915000, 0.497727, 0.929167, 0.607692, 0.869231, 0.946875, 0.575000, 0.459091, 0.619737, 0.433333, 0.362500, 1.000000, 0.645833, 0.929167, 0.453571, 0.425000, 0.845455, 0.617500, 0.915000, 0.282813, 0.686842]
min_ratio  = [0.0000, 0.0247, 0.3833, 0.2656, 0.1201, 0.2744, 0.2312, 0.1964, 0.0421, 0.4418, 0.3575, 0.1541, 0.0975, 0.1192, 0.2940, 0.0766, 0.0763, 0.2159, 0.3023, 0.3212, 0.4109, 0.4164, 0.4917, 0.0446, 0.1070, 0.3859, 0.3334, 0.2403, 0.4689, 0.2117, 0.0988, 0.4121, 0.2610, 0.0244, 0.1264, 0.0217, 0.2804, 0.0241, 0.0239, 0.1997, 0.2239, 0.1243, 0.1680, 0.2136, 0.4972, 0.3775, 0.4062, 0.4404, 0.4683, 0.3089, 0.2432, 0.4601, 0.4714, 0.3029, 0.4903, 0.1007, 0.1355, 0.2476, 0.0452, 0.4866, 0.4087, 0.4395, 0.4141, 0.3456, 0.3435, 0.3284, 0.4298, 0.4363, 0.2302, 0.3492, 0.4591]
points = [(586500.000, 4512500.000), (586628.417, 4512137.498), (586693.283, 4512374.549), (586643.029, 4512548.672), (586702.531, 4512693.598), (586473.562, 4512791.500), (586721.215, 4512497.142), (586904.237, 4512616.501), (586385.029, 4512289.077), (586821.040, 4512649.019), (586531.649, 4512225.794), (586735.353, 4512610.888), (586686.781, 4512402.673), (586271.860, 4512180.208), (586357.101, 4512444.875), (586607.426, 4512341.624), (586463.105, 4512428.070), (586418.353, 4512626.146), (586099.178, 4512627.194), (586711.053, 4512497.408), (586646.691, 4512570.553), (586748.440, 4512552.791), (586224.712, 4512441.345), (586790.634, 4512460.724), (586663.250, 4512798.857), (586381.537, 4512251.032), (586804.509, 4512339.606), (586566.991, 4512381.466), (586631.644, 4512308.242), (586197.095, 4512413.996), (586407.968, 4512383.600), (586172.157, 4512529.059), (586752.816, 4512570.232), (586377.775, 4512264.190), (586484.606, 4512411.601), (586295.930, 4512374.946), (586287.345, 4512584.380), (586851.476, 4512556.530), (586198.248, 4512411.023), (586089.400, 4512405.263), (586447.842, 4512514.468), (586152.962, 4512492.497), (586468.903, 4512386.496), (586185.151, 4512460.019), (586350.230, 4512843.757), (586482.135, 4512112.448), (586162.748, 4512570.593), (586515.389, 4512689.007), (586761.110, 4512272.764), (586526.642, 4512291.827), (586816.853, 4512563.025), (586510.910, 4512283.171), (586582.915, 4512573.712), (586412.890, 4512405.183), (586843.316, 4512661.625), (586618.999, 4512336.423), (586630.449, 4512727.150), (586635.209, 4512149.398), (586489.288, 4512196.683), (586883.363, 4512682.985), (586424.111, 4512370.628), (586552.718, 4512506.341), (586614.653, 4512537.522), (586336.063, 4512579.028), (586413.331, 4512415.746), (586612.054, 4512301.135), (586336.353, 4512294.357), (586568.268, 4512687.213), (586476.313, 4512621.678), (586186.343, 4512625.594), (586541.570, 4512928.150)]
distances = [
{0.0000, 256.3841, 153.6174, 100.7221, 186.7843, 195.1311, 147.4888, 280.4599, 160.1482, 235.9599, 184.0176, 173.4450, 140.4118, 261.8860, 102.1085, 127.5817, 53.8934, 100.1759, 280.3464, 140.7128, 108.5171, 169.3243, 187.6451, 195.5172, 227.0252, 183.8098, 229.4455, 90.7697, 155.0645, 209.9189, 98.9250, 219.4192, 174.9268, 177.0691, 59.8196, 159.5591, 152.5227, 237.3288, 209.7316, 280.9251, 36.0852, 231.4128, 78.4579, 211.5851, 249.9778, 258.6425, 229.7074, 126.4219, 230.7618, 139.9139, 215.3732, 144.7356, 73.9617, 85.8380, 252.9723, 134.8553, 174.6286, 250.5134, 202.3372, 283.1962, 99.9918, 35.3987, 80.4244, 121.3274, 80.5819, 152.1748, 175.2071, 132.8479, 82.6411, 225.2451, 286.7758}
{256.3841, 0.0000, 163.8440, 274.2894, 374.0116, 448.0572, 247.6159, 368.4931, 191.1534, 364.3916, 87.3314, 323.5455, 181.0145, 239.4039, 273.3279, 136.8015, 222.8705, 354.5918, 480.6922, 246.1836, 288.9606, 288.1928, 336.8487, 241.0987, 441.5173, 181.1563, 178.7063, 167.7217, 113.8501, 341.5589, 220.2668, 400.8291, 300.1735, 187.2284, 206.3593, 272.3798, 374.7792, 316.4691, 339.8441, 401.2411, 278.6590, 395.5768, 197.1403, 365.4554, 506.0480, 98.9410, 423.9596, 375.3152, 126.3229, 123.2445, 310.2553, 124.7729, 292.3873, 229.1117, 377.6484, 132.7651, 393.1040, 9.1346, 100.7966, 401.4160, 206.6563, 251.0207, 266.8408, 353.0312, 234.4580, 109.6353, 221.0143, 368.6643, 338.3395, 439.0227, 530.2721}
{153.6174, 163.8440, 0.0000, 120.8201, 212.7887, 314.2013, 83.8234, 214.0016, 213.2562, 201.8313, 146.4444, 160.0362, 19.2435, 309.3833, 228.9725, 61.3024, 157.5453, 248.4511, 430.3953, 82.7584, 134.3106, 124.3874, 315.5387, 86.6751, 283.5797, 223.5490, 77.7237, 84.3209, 60.3541, 331.8359, 190.3058, 362.3663, 136.3592, 222.8348, 141.2940, 264.9019, 304.6416, 160.7514, 330.9180, 403.1089, 188.3481, 368.6965, 149.7981, 343.5134, 387.4942, 224.3811, 377.0649, 240.8600, 81.5428, 124.0290, 150.2481, 135.9899, 151.7995, 188.0409, 215.9451, 55.6644, 238.7707, 155.0135, 180.4318, 241.5348, 179.4667, 128.4567, 120.6334, 274.4024, 188.6443, 72.9924, 243.8851, 224.4872, 219.2394, 377.1303, 382.6755}
{100.7221, 274.2894, 120.8201, 0.0000, 104.4435, 197.4103, 62.4266, 179.9142, 243.9976, 136.2312, 227.6992, 74.2207, 101.6096, 348.6684, 202.7897, 140.0582, 144.4025, 158.4390, 366.3267, 56.7856, 14.7903, 70.3276, 287.9106, 114.5470, 167.3338, 264.1275, 176.1119, 122.4557, 160.4662, 310.5512, 191.4881, 314.1868, 74.5898, 259.3065, 139.6604, 258.7646, 238.3144, 139.0639, 310.3958, 381.2674, 132.1073, 328.8505, 158.6340, 310.9208, 277.1329, 309.9666, 320.5204, 126.4664, 200.0763, 187.9897, 116.2770, 197.7049, 43.4136, 180.8042, 153.2950, 142.4036, 119.2806, 266.2339, 256.0663, 183.5457, 188.1189, 66.4928, 20.3252, 205.6418, 176.9246, 166.3120, 265.6031, 104.9503, 121.3329, 308.7456, 261.8715}
{186.7843, 374.0116, 212.7887, 104.4435, 0.0000, 166.0140, 131.5615, 143.9587, 342.8278, 84.4111, 332.0248, 59.3230, 194.2343, 446.7395, 283.7718, 243.0646, 238.3550, 194.7157, 404.6641, 130.9166, 90.0818, 98.7347, 360.2115, 165.9889, 74.8997, 364.4793, 245.5924, 226.8602, 261.2142, 385.0788, 285.0856, 370.2070, 88.8140, 358.9229, 237.5932, 344.3919, 286.2073, 134.9443, 385.3716, 451.6963, 207.5828, 390.1381, 257.2447, 378.4420, 255.3110, 414.3589, 369.0805, 124.7989, 283.2612, 292.3901, 115.6986, 301.9706, 112.9026, 272.4986, 96.2471, 244.5420, 53.0055, 365.5657, 360.4915, 120.7620, 284.2747, 159.8736, 119.4100, 255.9729, 267.3642, 268.5050, 361.1584, 89.6097, 158.2499, 347.0987, 189.6465}
{195.1311, 448.0572, 314.2013, 197.4103, 166.0140, 0.0000, 256.4532, 309.9142, 340.1091, 250.3703, 379.1204, 212.0327, 295.6344, 429.1395, 243.7775, 312.9136, 242.3869, 116.2182, 272.5682, 252.0073, 187.1317, 242.7067, 286.3839, 305.4670, 126.5537, 365.4979, 373.4133, 280.3624, 338.9712, 311.9425, 275.4269, 266.4336, 237.5267, 357.2930, 253.3731, 301.8980, 185.6828, 296.6706, 313.0930, 363.1711, 185.4821, 292.2610, 270.0207, 292.9247, 89.2973, 452.7376, 254.2139, 73.7993, 395.4021, 334.9897, 274.9136, 339.7996, 162.4668, 260.7015, 261.2669, 318.5018, 113.0474, 441.4245, 396.6831, 282.6164, 282.5118, 197.2945, 193.6910, 168.7212, 253.7007, 339.6983, 343.8201, 93.9148, 113.2299, 221.1282, 101.7587}
{147.4888, 247.6159, 83.8234, 62.4266, 131.5615, 256.4532, 0.0000, 145.6688, 263.5755, 121.1641, 220.6706, 76.4141, 67.0330, 366.5860, 245.2306, 128.4678, 178.1279, 219.4616, 423.6579, 6.7767, 69.7393, 41.3009, 333.0857, 52.2614, 204.8216, 279.6436, 118.8007, 128.5234, 139.3733, 353.7829, 222.1267, 366.6568, 53.0860, 276.6609, 167.7316, 294.9945, 295.0356, 95.4404, 353.3405, 425.6403, 182.6144, 378.8480, 183.6708, 358.2320, 338.4747, 301.9559, 375.5176, 187.5890, 151.9318, 188.5772, 77.4226, 200.0132, 105.3879, 214.4975, 136.5664, 126.9800, 164.8463, 238.8149, 253.0400, 164.4240, 215.2791, 112.4984, 75.9708, 262.5068, 212.3076, 149.5698, 290.0121, 162.6445, 183.1645, 366.7198, 311.2985}
{280.4599, 368.4931, 214.0016, 179.9142, 143.9587, 309.9142, 145.6688, 0.0000, 409.2179, 59.5505, 359.9220, 112.6514, 203.3167, 512.1858, 382.2814, 269.6948, 319.7939, 323.9866, 536.7534, 151.2952, 174.4085, 112.2137, 467.8243, 128.5342, 201.4704, 425.1969, 196.2051, 274.0450, 274.3318, 490.3778, 365.4683, 491.5226, 105.5546, 422.3141, 311.3230, 436.3413, 411.8184, 53.2509, 490.1892, 561.1816, 311.7742, 507.6267, 328.2395, 490.6103, 399.2039, 438.2998, 495.2725, 263.7002, 248.2301, 331.9916, 68.2992, 343.7152, 216.1059, 356.5745, 50.5412, 266.5038, 196.8678, 359.3586, 393.5197, 46.4555, 359.6136, 245.5839, 200.1073, 379.6054, 353.5791, 286.6100, 435.2620, 228.8865, 285.3032, 478.6342, 318.7839}
{160.1482, 191.1534, 213.2562, 243.9976, 342.8278, 340.1091, 263.5755, 409.2179, 0.0000, 376.9256, 106.4630, 317.1324, 214.9505, 104.6893, 105.5209, 152.3470, 106.2805, 225.8082, 295.1711, 257.9352, 256.2079, 299.3417, 147.4025, 293.6195, 387.1734, 25.4703, 281.6747, 136.0487, 164.9061, 150.4424, 64.8443, 213.8597, 308.6283, 17.2819, 105.2565, 82.4945, 207.3598, 358.4561, 148.7098, 211.7603, 155.9867, 205.7342, 85.7006, 175.3374, 370.5136, 134.3752, 239.1277, 280.4265, 250.9566, 94.4264, 340.9262, 84.0130, 231.1090, 79.6013, 393.7395, 159.1418, 334.7562, 191.0210, 92.8716, 423.4774, 60.2878, 182.9671, 225.5384, 196.0374, 86.5279, 151.5636, 32.6411, 292.1862, 229.9331, 260.5288, 438.6442}
