50 5 [20, 20, 20, 20, 20]
capacities = [100000, 31, 24, 40, 49, 50, 29, 50, 28, 28, 40, 36, 24, 44, 39, 36, 33, 47, 36, 32, 38, 42, 26, 29, 45, 37, 24, 26, 35, 42, 28, 34, 32, 28, 24, 36, 29, 32, 40, 26, 45, 26, 35, 39, 42, 32, 49, 43, 35, 31, 37]
initial     = [50000, 13, 4, 7, 30, 1, 22, 19, 1, 5, 6, 33, 3, 4, 38, 20, 28, 46, 22, 1, 26, 28, 19, 21, 16, 1, 23, 1, 1, 25, 4, 4, 24, 26, 17, 16, 23, 4, 39, 1, 27, 25, 1, 29, 7, 9, 5, 42, 33, 29, 16]
target      = [0, 7, 9, 18, 23, 15, 10, 7, 12, 13, 14, 16, 13, 24, 27, 13, 19, 36, 8, 13, 12, 18, 14, 8, 10, 13, 13, 8, 12, 14, 14, 14, 11, 16, 7, 25, 16, 14, 23, 11, 20, 14, 13, 19, 21, 14, 25, 27, 22, 15, 7]
weights    = [0.000000, 0.878571, 0.622222, 0.669444, 0.408696, 0.943333, 1.000000, 1.000000, 0.929167, 0.673077, 0.635714, 1.000000, 0.803846, 0.858333, 0.496296, 0.607692, 0.552632, 0.386111, 1.000000, 0.934615, 1.000000, 0.622222, 0.453571, 1.000000, 0.660000, 0.934615, 0.803846, 0.893750, 0.929167, 0.817857, 0.757143, 0.757143, 1.000000, 0.681250, 1.000000, 0.456000, 0.521875, 0.757143, 0.741304, 0.922727, 0.447500, 0.817857, 0.934615, 0.597368, 0.716667, 0.453571, 0.830000, 0.622222, 0.575000, 0.943333, 1.000000]
min_ratio  = [0.0000, 0.1616, 0.3727, 0.0557, 0.0732, 0.2196, 0.1392, 0.4017, 0.4926, 0.0964, 0.1716, 0.3493, 0.0713, 0.3749, 0.4490, 0.4708, 0.4049, 0.4057, 0.3982, 0.1270, 0.2931, 0.4377, 0.1753, 0.1305, 0.1448, 0.2953, 0.2208, 0.0837, 0.3622, 0.2944, 0.2288, 0.0487, 0.4205, 0.1330, 0.4117, 0.2922, 0.2072, 0.0336, 0.4051, 0.2895, 0.2894, 0.4843, 0.4319, 0.2715, 0.3142, 0.3686, 0.3835, 0.1711, 0.3110, 0.1304, 0.4480]
points = [(586500.000, 4512500.000), (586500.290, 4512640.366), (586509.571, 4512792.832), (586632.955, 4512477.920), (586416.397, 4512656.058), (586801.028, 4512395.041), (586581.409, 4512461.333), (586385.742, 4512755.033), (586593.619, 4512356.987), (586898.764, 4512429.515), (586411.869, 4512601.992), (586413.944, 4512351.330), (586501.686, 4512344.048), (586550.467, 4512232.720), (586589.989, 4512366.002), (586345.740, 4512708.584), (586578.510, 4512253.739), (586584.017, 4512583.915), (586257.445, 4512407.726), (586405.344, 4512691.936), (586292.682, 4512369.890), (586366.078, 4512566.368), (586367.501, 4512244.052), (586594.608, 4512394.232), (586779.429, 4512121.083), (586219.734, 4512649.461), (586657.535, 4512812.022), (586842.799, 4512584.752), (586635.466, 4512219.361), (586478.684, 4512644.833), (586560.654, 4512717.080), (586295.550, 4512437.677), (586413.821, 4512726.513), (586347.143, 4512721.028), (586780.741, 4512288.442), (586565.525, 4512558.455), (586564.216, 4512353.293), (586491.223, 4512367.056), (586538.179, 4512334.979), (586028.040, 4512644.221), (586268.503, 4512715.375), (586222.070, 4512416.321), (586304.365, 4512791.567), (586579.595, 4512751.753), (586592.493, 4512598.560), (586368.550, 4512489.884), (586457.149, 4512353.454), (586351.388, 4512610.257), (586359.765, 4512392.403), (586636.175, 4512773.871), (586615.140, 4512294.707)]
distances = [
{0.0000, 93.5779, 195.3254, 89.8504, 118.0272, 212.5340, 60.0832, 186.3051, 113.9535, 269.9635, 89.8625, 114.5197, 103.9741, 181.3354, 107.6071, 172.9527, 172.3154, 79.1640, 173.0089, 142.6719, 163.1761, 99.6433, 192.1405, 94.6047, 313.8711, 211.7525, 233.0238, 235.4139, 207.7488, 97.5954, 150.2630, 142.4919, 161.5688, 179.1566, 234.3526, 58.5398, 106.7634, 88.8225, 112.9201, 329.0027, 210.7948, 193.5023, 234.0793, 176.0242, 90.1087, 87.8927, 101.7884, 123.3641, 117.8377, 203.9052, 156.9183}
{93.5779, 0.0000, 101.8317, 139.8234, 56.8986, 258.7387, 131.0354, 108.0525, 198.9015, 300.5474, 64.2595, 201.1051, 197.5479, 273.8156, 192.4366, 112.6238, 262.9739, 67.3202, 224.1972, 72.0316, 227.3116, 102.1730, 278.6461, 175.7247, 393.0362, 187.1359, 155.1941, 231.3302, 294.7827, 14.7084, 65.0770, 192.0665, 81.3719, 115.3934, 300.0029, 69.8094, 196.0697, 182.3075, 205.1527, 314.8440, 162.4147, 238.1432, 164.9894, 91.1564, 67.4923, 133.3340, 193.4253, 101.2770, 190.0094, 126.9965, 242.8270}
{195.3254, 101.8317, 0.0000, 225.4803, 110.3299, 328.7585, 226.1287, 86.3125, 295.9163, 354.9463, 142.9305, 301.1591, 299.2354, 374.4021, 289.5595, 122.8152, 362.3221, 147.8566, 306.8646, 96.7084, 316.8740, 178.7310, 377.9143, 271.7133, 482.6181, 215.5721, 99.4690, 261.9065, 391.4179, 100.7915, 60.9107, 276.4374, 77.6488, 118.3938, 381.7753, 160.6420, 295.2815, 284.1142, 305.8306, 335.9611, 168.8040, 315.8175, 136.8065, 54.1228, 140.8194, 222.7744, 294.9960, 161.0455, 285.0222, 85.3445, 339.4593}
{89.8504, 139.8234, 225.4803, 0.0000, 186.9406, 124.9310, 36.0993, 247.5708, 84.7794, 180.1204, 169.0136, 168.6421, 124.9945, 172.4688, 79.9211, 245.5815, 153.7985, 77.8312, 254.6757, 208.2837, 238.0067, 187.4342, 235.8529, 61.3702, 257.1533, 298.2751, 223.3370, 156.9825, 172.3805, 151.5246, 166.5668, 226.5305, 220.9254, 250.1462, 160.1983, 70.0245, 94.8843, 119.9606, 114.3380, 418.2388, 289.9887, 276.9840, 302.8354, 185.9892, 84.8296, 176.4505, 143.6036, 207.4102, 190.8409, 197.3123, 122.7182}
{118.0272, 56.8986, 110.3299, 186.9406, 0.0000, 309.8893, 170.1587, 69.0758, 231.7573, 355.2773, 36.1701, 203.1580, 215.6378, 296.0404, 225.3554, 58.6947, 289.1682, 121.6574, 196.5637, 25.0284, 207.8432, 68.5602, 276.5981, 211.1471, 431.0146, 131.1825, 191.4536, 288.2158, 325.7094, 42.1938, 104.4218, 166.3918, 47.0020, 63.3059, 345.0528, 118.8190, 224.6148, 199.0211, 228.9322, 259.0250, 106.2309, 205.7358, 117.2159, 126.1240, 123.4971, 115.2829, 203.5569, 53.0149, 179.7787, 166.2429, 274.9330}
{212.5340, 258.7387, 328.7585, 124.9310, 309.8893, 0.0000, 152.9374, 366.3975, 140.5803, 69.0920, 293.8427, 259.6955, 202.4358, 199.0296, 142.0180, 368.5383, 175.7277, 191.7950, 362.4868, 329.7896, 339.3118, 311.6508, 306.0449, 137.6141, 183.2056, 423.0222, 293.9870, 129.5036, 160.9333, 271.8671, 267.9047, 338.1814, 339.8057, 372.5459, 72.3414, 191.0972, 160.3091, 207.3772, 179.7491, 541.4389, 414.2983, 386.2322, 423.6913, 279.9018, 194.2583, 295.1705, 230.9229, 332.3275, 294.1801, 275.4298, 140.8247}
