10 1 [30]
capacities = [100000, 35, 32, 50, 32, 50, 25, 46, 30, 29, 26]
initial     = [50000, 5, 1, 6, 29, 49, 21, 1, 29, 5, 9]
target      = [0, 12, 12, 19, 15, 36, 11, 11, 14, 13, 18]
weights    = [0.000000, 0.645833, 0.929167, 0.731579, 0.943333, 0.456944, 0.922727, 0.922727, 1.000000, 0.673077, 0.575000]
min_ratio  = [0.0000, 0.2434, 0.3372, 0.3292, 0.3909, 0.1231, 0.2793, 0.4431, 0.3727, 0.1525, 0.4517]
points = [(586500.000, 4512500.000), (586460.841, 4512635.361), (586245.405, 4512329.001), (586718.783, 4512513.589), (586916.941, 4512460.877), (586336.039, 4512697.223), (586623.002, 4512764.695), (586695.428, 4512690.692), (586791.598, 4512435.221), (586504.926, 4512655.208), (586303.633, 4512690.831)]
distances = [
{0.0000, 93.9412, 204.4603, 146.1365, 279.1817, 170.9842, 194.5857, 182.0322, 199.1382, 103.5238, 182.5453}
{93.9412, 0.0000, 249.6836, 190.1608, 325.5572, 92.8617, 138.2805, 160.6823, 257.7308, 32.2309, 111.1379}
{204.4603, 249.6836, 0.0000, 338.7291, 456.2413, 252.8082, 384.3659, 384.9042, 370.9504, 277.8984, 244.3235}
{146.1365, 190.1608, 338.7291, 0.0000, 136.6994, 283.0111, 179.1690, 119.0907, 71.3166, 170.9978, 300.9349}
{279.1817, 325.5572, 456.2413, 136.6994, 0.0000, 418.0943, 281.8240, 212.7941, 85.2942, 303.6962, 436.6668}
{170.9842, 92.8617, 252.8082, 283.0111, 418.0943, 0.0000, 196.5255, 239.6320, 350.3519, 116.0233, 22.0202}
{194.5857, 138.2805, 384.3659, 179.1690, 281.8240, 196.5255, 0.0000, 69.0315, 246.7371, 107.3507, 218.5328}
{182.0322, 160.6823, 384.9042, 119.0907, 212.7941, 239.6320, 69.0315, 0.0000, 181.9819, 129.1853, 261.1963}
{199.1382, 257.7308, 370.9504, 71.3166, 85.2942, 350.3519, 246.7371, 181.9819, 0.0000, 240.9012, 367.2399}
{103.5238, 32.2309, 277.8984, 170.9978, 303.6962, 116.0233, 107.3507, 129.1853, 240.9012, 0.0000, 136.2806}
{182.5453, 111.1379, 244.3235, 300.9349, 436.6668, 22.0202, 218.5328, 261.1963, 367.2399, 136.2806, 0.0000}
]
