10 2 [20, 20]
capacities = [100000, 24, 37, 27, 39, 29, 32, 27, 29, 32, 45]
initial     = [50000, 23, 17, 23, 38, 28, 31, 10, 1, 26, 3]
target      = [0, 15, 26, 14, 30, 21, 24, 15, 12, 12, 20]
weights    = [0.000000, 0.603333, 0.444231, 0.696429, 0.376667, 0.433333, 0.397917, 0.433333, 0.929167, 1.000000, 0.872500]
min_ratio  = [0.0000, 0.0972, 0.0557, 0.0488, 0.3394, 0.4279, 0.0978, 0.4433, 0.4897, 0.3420, 0.0387]
points = [(586500.000, 4512500.000), (586698.430, 4512780.065), (586238.009, 4512200.750), (586336.110, 4512363.591), (586563.171, 4512636.953), (586363.571, 4512379.569), (586458.965, 4512384.004), (586418.712, 4512442.271), (586243.168, 4512896.253), (586417.443, 4512526.072), (586696.649, 4512373.820)]
distances = [
{0.0000, 228.8239, 265.1537, 142.1540, 100.5466, 121.3194, 82.0271, 66.4678, 314.8042, 57.7172, 155.7666}
{228.8239, 0.0000, 493.3302, 368.0136, 131.2775, 348.0277, 308.5507, 292.3827, 313.2359, 252.5129, 270.8329}
{265.1537, 493.3302, 0.0000, 126.7383, 362.7077, 145.6663, 191.3733, 201.0922, 463.6811, 247.6831, 326.8050}
{142.1540, 368.0136, 126.7383, 0.0000, 236.9093, 21.1811, 83.0265, 76.0515, 360.4729, 121.1337, 240.4563}
{100.5466, 131.2775, 362.7077, 236.9093, 0.0000, 217.1395, 182.3818, 161.6162, 274.5814, 122.0770, 196.7007}
{121.3194, 348.0277, 145.6663, 21.1811, 217.1395, 0.0000, 63.6645, 55.6656, 353.6847, 104.0623, 222.0848}
{82.0271, 308.5507, 191.3733, 83.0265, 182.3818, 63.6645, 0.0000, 47.2130, 370.5655, 98.6742, 158.6012}
{66.4678, 292.3827, 201.0922, 76.0515, 161.6162, 55.6656, 47.2130, 0.0000, 324.4927, 55.8735, 190.8282}
{314.8042, 313.2359, 463.6811, 360.4729, 274.5814, 353.6847, 370.5655, 324.4927, 0.0000, 272.7684, 461.1970}
{57.7172, 252.5129, 247.6831, 121.1337, 122.0770, 104.0623, 98.6742, 55.8735, 272.7684, 0.0000, 212.0131}
{155.7666, 270.8329, 326.8050, 240.4563, 196.7007, 222.0848, 158.6012, 190.8282, 461.1970, 212.0131, 0.0000}
]
