100 5 [30, 30, 30, 30, 30]
capacities = [100000, 50, 34, 47, 36, 28, 29, 31, 49, 32, 30, 43, 50, 42, 30, 49, 45, 24, 43, 48, 41, 28, 40, 30, 47, 50, 40, 47, 49, 30, 45, 42, 39, 31, 40, 26, 32, 26, 43, 44, 31, 24, 29, 44, 31, 40, 27, 34, 34, 32, 38, 43, 47, 46, 32, 33, 43, 32, 30, 41, 33, 49, 45, 48, 30, 26, 50, 28, 49, 44, 27, 32, 34, 38, 50, 25, 31, 37, 42, 35, 37, 40, 27, 44, 49, 31, 24, 36, 48, 25, 48, 39, 28, 34, 25, 35, 42, 26, 33, 42, 31]
initial     = [50000, 20, 3, 46, 19, 22, 23, 27, 48, 1, 25, 13, 1, 20, 1, 1, 41, 23, 8, 35, 20, 4, 34, 20, 46, 38, 35, 22, 28, 29, 16, 30, 24, 30, 35, 23, 31, 1, 42, 27, 14, 5, 7, 4, 22, 1, 2, 32, 31, 10, 37, 1, 36, 30, 9, 32, 19, 26, 3, 28, 11, 16, 18, 47, 1, 22, 6, 25, 23, 43, 26, 3, 9, 32, 45, 16, 23, 13, 15, 5, 36, 12, 8, 6, 47, 2, 20, 8, 34, 20, 47, 30, 4, 15, 1, 20, 10, 1, 10, 11, 8]
target      = [0, 36, 13, 35, 26, 10, 18, 18, 26, 15, 12, 24, 10, 26, 10, 14, 31, 15, 17, 20, 32, 10, 20, 11, 39, 30, 17, 28, 35, 18, 23, 12, 14, 23, 27, 14, 21, 10, 35, 36, 22, 15, 15, 15, 17, 13, 13, 18, 25, 23, 26, 13, 31, 38, 18, 24, 34, 18, 12, 18, 18, 22, 24, 26, 10, 15, 19, 20, 15, 31, 14, 17, 18, 14, 27, 11, 18, 21, 27, 10, 26, 23, 16, 24, 39, 16, 15, 23, 26, 14, 38, 12, 12, 23, 11, 10, 27, 10, 24, 18, 17]
weights    = [0.000000, 0.527778, 0.803846, 0.417143, 0.378846, 1.000000, 0.386111, 0.575000, 0.869231, 0.943333, 1.000000, 0.539583, 0.915000, 0.346154, 0.915000, 0.939286, 0.424194, 0.603333, 0.600000, 0.787500, 0.468750, 0.660000, 0.745000, 0.845455, 0.302564, 0.376667, 1.000000, 0.332143, 0.320000, 0.669444, 0.408696, 1.000000, 0.757143, 0.408696, 0.401852, 0.696429, 0.554762, 0.915000, 0.320000, 0.362500, 0.459091, 0.716667, 0.603333, 0.773333, 0.400000, 0.934615, 0.869231, 0.811111, 0.354000, 0.630435, 0.509615, 0.934615, 0.287097, 0.328947, 0.575000, 0.433333, 0.525000, 0.527778, 0.787500, 0.622222, 0.480556, 0.381818, 0.362500, 0.836538, 0.915000, 0.546667, 0.731579, 0.362500, 0.603333, 0.479032, 0.878571, 0.850000, 0.575000, 1.000000, 0.716667, 0.536364, 0.386111, 0.473810, 0.527778, 0.575000, 0.476923, 0.556522, 0.575000, 0.787500, 0.324359, 0.893750, 0.433333, 0.704348, 0.411538, 0.514286, 0.351316, 1.000000, 0.716667, 0.445652, 0.922727, 1.000000, 0.685185, 0.915000, 0.645833, 0.480556, 0.600000]
min_ratio  = [0.0000, 0.3136, 0.3391, 0.3402, 0.0676, 0.3376, 0.1808, 0.3607, 0.2574, 0.2614, 0.2253, 0.1034, 0.2165, 0.2114, 0.3651, 0.3925, 0.2302, 0.3072, 0.3705, 0.4079, 0.1452, 0.2501, 0.2001, 0.2071, 0.3490, 0.4038, 0.0728, 0.1424, 0.0227, 0.2623, 0.4667, 0.1628, 0.4397, 0.2695, 0.2285, 0.2357, 0.0289, 0.2263, 0.3492, 0.3755, 0.4492, 0.4303, 0.4897, 0.3884, 0.3948, 0.3466, 0.0966, 0.4922, 0.1333, 0.4579, 0.2494, 0.1529, 0.3767, 0.2945, 0.2048, 0.2421, 0.0901, 0.2302, 0.0762, 0.2129, 0.3146, 0.0816, 0.2816, 0.2235, 0.1723, 0.3683, 0.0810, 0.1209, 0.3208, 0.1181, 0.0941, 0.2782, 0.0933, 0.1942, 0.2585, 0.2939, 0.3002, 0.4156, 0.4192, 0.0710, 0.1330, 0.0634, 0.1472, 0.3320, 0.3509, 0.0471, 0.0497, 0.4887, 0.3603, 0.0617, 0.0926, 0.4841, 0.0484, 0.4066, 0.3767, 0.3320, 0.0902, 0.2456, 0.4168, 0.1710, 0.0401]
points = [(586500.000, 4512500.000), (586541.759, 4512206.162), (586453.958, 4512208.096), (586495.478, 4512634.682), (586397.729, 4512557.929), (586511.535, 4512645.235), (586739.456, 4512769.363), (586630.125, 4512520.369), (586595.173, 4512641.561), (586496.435, 4512159.482), (586588.512, 4512917.255), (586537.968, 4512213.051), (586301.178, 4512664.598), (586767.297, 4512845.069), (586339.374, 4512085.166), (586629.434, 4512877.452), (586604.861, 4512512.375), (586563.284, 4512649.735), (586615.441, 4512280.612), (586902.767, 4512555.466), (586129.334, 4512576.460), (586531.485, 4512661.690), (586225.266, 4512760.767), (586525.379, 4512283.663), (586474.058, 4512778.675), (586283.786, 4512525.233), (586366.411, 4512623.323), (586603.755, 4512272.256), (586420.847, 4512698.079), (586477.219, 4512672.255), (586891.469, 4512315.607), (586346.751, 4512341.206), (586469.478, 4512863.255), (586534.007, 4512399.653), (586334.895, 4512450.876), (586764.278, 4512512.572), (586138.375, 4512507.514), (586411.998, 4512039.279), (586658.835, 4512652.563), (586595.501, 4512478.171), (586411.419, 4512811.373), (586169.283, 4512497.422), (586325.607, 4512693.359), (586565.535, 4512707.443), (586346.446, 4512288.345), (586810.481, 4512518.265), (586475.837, 4512415.113), (586282.093, 4512712.984), (586562.369, 4512337.292), (586605.109, 4512680.690), (586691.931, 4512390.629), (586649.224, 4512648.336), (586507.557, 4512273.023), (586661.700, 4512863.003), (586595.079, 4512553.016), (586354.845, 4512533.647), (586397.095, 4512664.954), (586368.204, 4512240.028), (586446.958, 4512665.251), (586243.119, 4512333.061), (586744.686, 4512662.604), (586503.707, 4512017.039), (586482.284, 4512868.867), (586784.350, 4512691.422), (586521.080, 4512660.479), (586680.309, 4512727.842), (586770.299, 4512696.265), (586532.072, 4512434.532), (586816.474, 4512502.757), (586072.578, 4512555.344), (586619.161, 4512603.744), (586325.263, 4512583.377), (586674.578, 4512575.526), (586304.108, 4512358.200), (586288.279, 4512344.649), (586582.005, 4512588.102), (586643.521, 4512291.398), (586284.173, 4512512.858), (586800.902, 4512572.794), (586699.050, 4512411.049), (586492.378, 4512708.813), (586244.572, 4512499.993), (586292.187, 4512925.892), (586758.547, 4512330.167), (586827.354, 4512407.556), (586609.087, 4512887.069), (586568.601, 4512652.101), (586511.721, 4512264.588), (586578.597, 4512416.905), (586378.606, 4512696.802), (586267.898, 4512333.615), (586667.648, 4512384.979), (586115.254, 4512522.181), (586122.261, 4512392.522), (586461.683, 4512606.472), (586610.899, 4512976.830), (586324.421, 4512528.598), (586648.727, 4512318.167), (586753.068, 4512503.301), (586694.016, 4512307.778), (586368.662, 4512370.782)]
distances = [
{0.0000, 197.8600, 197.0086, 89.8383, 78.3587, 97.1279, 240.2733, 87.8065, 113.7194, 227.0246, 284.3595, 192.9663, 172.0761, 290.9907, 296.5641, 266.0186, 70.3924, 108.3728, 165.2709, 271.0457, 252.3134, 109.8177, 252.5232, 145.2134, 186.5863, 145.1210, 121.2059, 166.8429, 142.2056, 115.8369, 288.4817, 147.1219, 243.0232, 70.6351, 114.8389, 176.3846, 241.1357, 312.7000, 146.8243, 65.3093, 215.8186, 220.4850, 173.5902, 145.0323, 174.3261, 207.3454, 58.8396, 203.1374, 116.1677, 139.3585, 147.2710, 140.2720, 151.4020, 264.9259, 72.5742, 99.3360, 129.6133, 194.3142, 115.7031, 204.2403, 195.8587, 321.9837, 246.1947, 228.5192, 107.9052, 193.7046, 222.6918, 48.6010, 210.9905, 287.3267, 105.3292, 129.0731, 126.8098, 161.2185, 175.0678, 80.2409, 168.8035, 144.1395, 206.3877, 145.3472, 139.3015, 170.2851, 315.9257, 206.2253, 226.7710, 268.0983, 111.2374, 157.1358, 76.2519, 154.1536, 190.3860, 135.5409, 256.9229, 261.8215, 75.4381, 326.3706, 118.5952, 156.6074, 168.7264, 182.0766, 122.8315}
{197.8600, 0.0000, 58.5480, 287.3407, 253.4073, 293.4074, 397.9272, 217.5973, 292.4415, 43.3759, 475.0850, 5.2422, 345.1523, 451.6975, 157.1972, 451.3274, 208.4310, 296.0633, 69.8312, 334.8900, 369.5131, 303.7621, 425.7038, 52.8086, 384.3341, 273.5414, 301.6764, 60.4132, 337.7057, 313.6935, 244.2907, 158.1346, 440.7039, 129.0973, 213.6222, 252.4563, 335.6795, 140.9299, 307.6653, 184.8446, 412.7245, 315.2215, 355.3288, 334.5627, 141.2659, 274.5665, 146.0684, 379.6459, 88.4933, 319.1584, 158.5767, 303.3638, 50.0667, 445.1343, 233.9522, 251.3809, 320.7054, 117.8853, 312.5160, 216.3216, 333.0124, 128.6091, 443.5785, 361.6795, 303.1914, 359.8430, 360.5125, 152.3834, 269.5152, 389.9048, 270.0303, 289.9509, 261.6785, 188.0818, 192.5624, 256.0362, 88.4950, 267.0101, 299.3130, 172.1998, 336.7137, 278.6125, 507.8482, 166.4992, 232.9751, 456.1515, 297.8307, 43.7964, 142.6252, 344.7033, 201.3773, 145.7906, 353.8822, 306.0198, 272.1602, 515.8416, 259.2300, 103.2521, 243.0755, 122.0348, 159.2512}
{197.0086, 58.5480, 0.0000, 285.7344, 236.2154, 293.9428, 419.8039, 239.0252, 303.9249, 43.0383, 481.2072, 56.1038, 320.9267, 473.2469, 112.0341, 461.3168, 226.4287, 303.3133, 118.0122, 378.3567, 327.3280, 306.7810, 398.7452, 69.3189, 380.6217, 239.9394, 282.9038, 108.6395, 327.4003, 309.8281, 300.3513, 113.9426, 436.8951, 138.4070, 180.2693, 289.8310, 290.0147, 115.9687, 326.2758, 203.2787, 403.1834, 270.5956, 334.6334, 341.1072, 89.4398, 315.0408, 138.7799, 355.5589, 112.4371, 330.7848, 199.9441, 321.0680, 56.1285, 458.0440, 248.4488, 226.8693, 306.9219, 61.0042, 304.8055, 163.3935, 359.6918, 131.6187, 440.9185, 390.3064, 304.8906, 377.9306, 387.8031, 159.6875, 311.4431, 343.8550, 285.8353, 264.4895, 285.7178, 141.3997, 143.1338, 267.3332, 138.0390, 232.5767, 335.5755, 212.1422, 334.7928, 239.4867, 490.5332, 218.7603, 282.2206, 464.3130, 305.7115, 53.8638, 162.1193, 329.6540, 149.6266, 184.9338, 307.9460, 253.0137, 265.6343, 523.0602, 230.4599, 149.1468, 280.1688, 173.2879, 122.4603}
{89.8383, 287.3407, 285.7344, 0.0000, 82.8545, 12.8093, 185.7884, 117.7515, 66.6209, 316.8005, 198.3294, 282.5104, 131.0602, 229.1511, 380.8389, 184.8503, 109.3893, 46.3041, 249.2264, 276.6139, 247.1630, 30.0067, 198.7876, 234.8595, 97.0518, 158.8747, 86.3774, 252.1691, 65.2827, 27.8505, 339.0295, 219.3403, 153.3648, 158.7770, 162.7153, 196.8235, 252.7138, 400.8174, 109.5551, 123.8279, 130.4452, 235.9322, 119.8135, 67.3370, 251.3602, 223.8844, 146.9637, 151.5325, 203.2126, 79.2623, 208.8652, 102.9006, 241.2403, 188.2789, 85.8670, 115.4429, 68.6234, 276.4457, 38.2314, 262.1794, 167.1780, 411.7984, 156.3711, 196.2611, 24.2302, 137.9875, 187.7572, 135.6447, 231.3651, 286.8519, 84.9955, 118.5195, 125.7442, 224.1669, 237.6274, 65.5119, 249.2299, 162.6048, 207.7536, 201.6079, 49.4643, 189.8478, 236.7661, 268.2737, 268.1022, 184.5192, 50.1127, 246.9666, 155.3997, 88.2372, 251.6029, 202.2029, 264.3455, 296.5977, 29.3474, 240.7277, 134.1879, 234.4421, 192.7732, 254.9802, 195.1928}
