10 2 [20, 20]
capacities = [100000, 41, 36, 43, 28, 24, 50, 37, 35, 41, 30]
initial     = [50000, 1, 12, 27, 1, 19, 49, 26, 3, 18, 9]
target      = [0, 14, 18, 10, 10, 8, 37, 18, 19, 9, 17]
weights    = [0.000000, 0.939286, 0.433333, 1.000000, 0.915000, 1.000000, 0.425676, 0.527778, 0.865789, 1.000000, 0.550000]
min_ratio  = [0.0000, 0.2603, 0.4362, 0.4169, 0.1713, 0.2623, 0.0564, 0.4394, 0.4237, 0.0309, 0.1778]
points = [(586500.000, 4512500.000), (586572.575, 4512422.177), (586427.074, 4512605.894), (586127.925, 4512709.470), (586530.701, 4512187.791), (586591.810, 4512597.139), (586656.482, 4512642.839), (586574.002, 4512424.248), (586716.901, 4512325.927), (586380.107, 4512381.766), (586495.375, 4512350.629)]
distances = [
{0.0000, 70.9419, 85.7171, 284.6576, 209.1432, 89.1066, 141.2475, 70.5995, 185.4094, 112.2570, 99.6287}
{70.9419, 0.0000, 156.2373, 352.9252, 158.7310, 117.3442, 157.3842, 1.6771, 115.6505, 131.1103, 70.1714}
{85.7171, 156.2373, 0.0000, 211.0482, 287.1688, 109.9788, 154.9093, 155.7534, 268.6436, 152.6639, 176.1631}
{284.6576, 352.9252, 211.0482, 0.0000, 439.3822, 318.1943, 355.1600, 352.9786, 468.5665, 275.6692, 342.4009}
{209.1432, 158.7310, 287.1688, 439.3822, 0.0000, 275.9225, 314.7408, 160.2595, 154.5628, 163.7139, 111.0836}
{89.1066, 117.3442, 109.9788, 318.1943, 275.9225, 0.0000, 52.7930, 115.8700, 199.1133, 201.3329, 176.4678}
{141.2475, 157.3842, 154.9093, 355.1600, 314.7408, 52.7930, 0.0000, 155.7556, 215.0799, 253.4580, 222.4532}
{70.5995, 1.6771, 155.7534, 352.9786, 160.2595, 115.8700, 155.7556, 0.0000, 115.6376, 132.3301, 71.8089}
{185.4094, 115.6505, 268.6436, 468.5665, 154.5628, 199.1133, 215.0799, 115.6376, 0.0000, 227.5946, 148.5994}
{112.2570, 131.1103, 152.6639, 275.6692, 163.7139, 201.3329, 253.4580, 132.3301, 227.5946, 0.0000, 79.5998}
{99.6287, 70.1714, 176.1631, 342.4009, 111.0836, 176.4678, 222.4532, 71.8089, 148.5994, 79.5998, 0.0000}
]
