leaf,variant,budget_seconds,command_hash,lp_hash,model_lp_exists,thread_fairness_class,audit_passed,failures
low_gini_1,plain_fixed_interval_mip,60,f076a4ecfe3c5570,3fa039d78c1b46af,True,one_thread_fair,True,
low_gini_1,plain_fixed_interval_mip,300,e4de4f33369d66bd,3fa039d78c1b46af,True,one_thread_fair,True,
low_gini_1,callback_no_cuts,60,873be21af75f3eb0,3fa039d78c1b46af,True,one_thread_fair,True,
low_gini_1,callback_no_cuts,300,1090c8428f2a7715,3fa039d78c1b46af,True,one_thread_fair,True,
low_gini_1,callback_cheap_cuts,60,6368832558dd01d6,b96ef49f8997734d,True,one_thread_fair,True,
low_gini_1,callback_cheap_cuts,300,a0264322e1614fa0,b96ef49f8997734d,True,one_thread_fair,True,
low_gini_1,callback_low_gini_cuts,60,d8544939699b1712,b2fd9d679b1f3a49,True,one_thread_fair,True,
low_gini_1,callback_low_gini_cuts,300,023ef6cc8c02f704,b2fd9d679b1f3a49,True,one_thread_fair,True,
low_gini_1,callback_local_centering,60,94a77cf6589551f8,f17ee827e81d7ad7,True,one_thread_fair,True,
low_gini_1,callback_local_centering,300,778113b14c254064,f17ee827e81d7ad7,True,one_thread_fair,True,
low_gini_1,callback_full_gini_off,60,4a9db7c8f64395aa,b2fd9d679b1f3a49,True,one_thread_fair,True,
low_gini_1,callback_full_gini_off,300,10ed71bd50274b8f,b2fd9d679b1f3a49,True,one_thread_fair,True,
low_gini_1,callback_full_gini_auto,60,6ec34dd5b448eba3,b2fd9d679b1f3a49,True,one_thread_fair,True,
low_gini_1,callback_full_gini_auto,300,850a84d7674b7f10,b2fd9d679b1f3a49,True,one_thread_fair,True,
low_gini_1,callback_full_paced,60,3ab73690f0c7094f,f17ee827e81d7ad7,True,one_thread_fair,True,
low_gini_1,callback_full_paced,300,69e20e947b3e6cd2,f17ee827e81d7ad7,True,one_thread_fair,True,
low_gini_1,static_tailored_compact_bc,60,38a6f9319a5b03fc,f17ee827e81d7ad7,True,one_thread_fair,True,
low_gini_1,static_tailored_compact_bc,300,1c814755a5e55019,f17ee827e81d7ad7,True,one_thread_fair,True,
low_gini_1,s_bucket_diagnostic,60,eb61c2904f2d1177,5e59bf5d9f9a6706,True,one_thread_fair,True,
low_gini_1,s_bucket_diagnostic,300,c8b8f8f50d18db6a,5e59bf5d9f9a6706,True,one_thread_fair,True,
low_gini_2,plain_fixed_interval_mip,60,fc2c53a839ec647e,df7f1aa859c8801c,True,one_thread_fair,True,
low_gini_2,plain_fixed_interval_mip,300,c7019b4c09215e14,df7f1aa859c8801c,True,one_thread_fair,True,
low_gini_2,callback_no_cuts,60,29e13c7996c92a19,df7f1aa859c8801c,True,one_thread_fair,True,
low_gini_2,callback_no_cuts,300,c758500884630768,df7f1aa859c8801c,True,one_thread_fair,True,
low_gini_2,callback_cheap_cuts,60,b8709daa3c324470,cbd0c1c1285d1459,True,one_thread_fair,True,
low_gini_2,callback_cheap_cuts,300,30bcae93f7b481ad,cbd0c1c1285d1459,True,one_thread_fair,True,
low_gini_2,callback_low_gini_cuts,60,4f21822d7f4343d1,cff7c7e0238cee78,True,one_thread_fair,True,
low_gini_2,callback_low_gini_cuts,300,2d12beafbaa4504f,cff7c7e0238cee78,True,one_thread_fair,True,
low_gini_2,callback_local_centering,60,bcc50f19c0578597,035f77f3861337d8,True,one_thread_fair,True,
low_gini_2,callback_local_centering,300,fc11f423a8d7270e,035f77f3861337d8,True,one_thread_fair,True,
low_gini_2,callback_full_gini_off,60,0b7cae56f50660d8,cff7c7e0238cee78,True,one_thread_fair,True,
low_gini_2,callback_full_gini_off,300,513825d877b028f0,cff7c7e0238cee78,True,one_thread_fair,True,
low_gini_2,callback_full_gini_auto,60,57d18a3e6a9ecf5e,cff7c7e0238cee78,True,one_thread_fair,True,
low_gini_2,callback_full_gini_auto,300,1e9bae9b4ced3bfb,cff7c7e0238cee78,True,one_thread_fair,True,
low_gini_2,callback_full_paced,60,81e2bf6f8fbe605b,035f77f3861337d8,True,one_thread_fair,True,
low_gini_2,callback_full_paced,300,dfd10c019762d76b,035f77f3861337d8,True,one_thread_fair,True,
low_gini_2,static_tailored_compact_bc,60,e0a07615be6395ab,035f77f3861337d8,True,one_thread_fair,True,
low_gini_2,static_tailored_compact_bc,300,1b70e637875274ed,035f77f3861337d8,True,one_thread_fair,True,
low_gini_2,s_bucket_diagnostic,60,cc0c269a25f5761e,706c9fcc89465fdc,True,one_thread_fair,True,
low_gini_2,s_bucket_diagnostic,300,6be84c33da936e87,706c9fcc89465fdc,True,one_thread_fair,True,
low_gini_1,plain_fixed_interval_mip,1200,4eed34a6cc2fb5d7,3fa039d78c1b46af,True,one_thread_fair,True,
low_gini_1,callback_local_centering,1200,73cd7f26872046b5,f17ee827e81d7ad7,True,one_thread_fair,True,
low_gini_1,callback_full_paced,1200,e7b8ca529352b605,f17ee827e81d7ad7,True,one_thread_fair,True,
low_gini_1,static_tailored_compact_bc,1200,9ead7d104e5349c4,f17ee827e81d7ad7,True,one_thread_fair,True,
low_gini_1,callback_full_paced,3600,ec149eb457b5f63c,f17ee827e81d7ad7,True,one_thread_fair,True,
low_gini_1,plain_fixed_interval_mip,3600,6fa76fbb396e1f62,3fa039d78c1b46af,True,one_thread_fair,True,
