leaf,variant,budget_seconds,lp_hash,command_hash,json_path
low_gini_1,plain_fixed_interval_mip,60,3fa039d78c1b46af,f076a4ecfe3c5570,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_plain_fixed_interval_mip_60s.json
low_gini_1,plain_fixed_interval_mip,300,3fa039d78c1b46af,e4de4f33369d66bd,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_plain_fixed_interval_mip_300s.json
low_gini_1,callback_no_cuts,60,3fa039d78c1b46af,873be21af75f3eb0,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_no_cuts_60s.json
low_gini_1,callback_no_cuts,300,3fa039d78c1b46af,1090c8428f2a7715,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_no_cuts_300s.json
low_gini_1,callback_cheap_cuts,60,b96ef49f8997734d,6368832558dd01d6,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_cheap_cuts_60s.json
low_gini_1,callback_cheap_cuts,300,b96ef49f8997734d,a0264322e1614fa0,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_cheap_cuts_300s.json
low_gini_1,callback_low_gini_cuts,60,b2fd9d679b1f3a49,d8544939699b1712,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_low_gini_cuts_60s.json
low_gini_1,callback_low_gini_cuts,300,b2fd9d679b1f3a49,023ef6cc8c02f704,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_low_gini_cuts_300s.json
low_gini_1,callback_local_centering,60,f17ee827e81d7ad7,94a77cf6589551f8,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_local_centering_60s.json
low_gini_1,callback_local_centering,300,f17ee827e81d7ad7,778113b14c254064,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_local_centering_300s.json
