12 2 [20, 20]
capacities = [100000, 36, 32, 33, 23, 20, 23, 50, 42, 34, 36, 36, 29]
initial     = [50000, 20, 11, 23, 15, 18, 22, 22, 11, 20, 10, 19, 19]
target      = [0, 9, 21, 24, 2, 20, 6, 28, 27, 21, 11, 19, 26]
weights    = [0.000000, 0.228632, 0.119597, 0.056090, 1.000000, 0.064615, 0.439744, 0.081319, 0.136610, 0.056960, 0.063287, 0.050000, 0.089349]
min_ratio  = [0.0000, 0.7000, 0.3667, 0.6708, 0.7000, 0.6300, 0.7000, 0.5500, 0.2852, 0.6667, 0.6364, 0.7000, 0.5115]
points = [(584400.000, 4511800.000), (584121.772, 4511532.659), (584618.035, 4511842.078), (584260.645, 4512172.030), (584141.511, 4511542.804), (584784.142, 4511686.608), (584356.471, 4512243.232), (584120.085, 4511566.306), (584778.183, 4511842.779), (584237.885, 4512242.631), (584190.797, 4511577.376), (584707.923, 4511735.419), (584335.411, 4512214.936)]
distances = [
{0.0000, 385.8529, 222.0577, 397.2734, 364.6454, 400.5286, 445.3641, 364.6442, 380.5949, 471.3849, 305.4950, 314.6221, 419.9333}
{385.8529, 0.0000, 584.8225, 654.2798, 22.1939, 680.0260, 748.3302, 33.6900, 725.9826, 719.4051, 82.2448, 620.2299, 714.9438}
{222.0577, 584.8225, 0.0000, 486.4107, 562.7075, 227.5145, 478.8944, 569.2137, 160.1501, 552.2287, 502.5921, 139.4846, 467.8670}
{397.2734, 654.2798, 486.4107, 0.0000, 640.4047, 713.9216, 119.3825, 621.8190, 613.3936, 74.1792, 598.7424, 625.0488, 86.2019}
{364.6454, 22.1939, 562.7075, 640.4047, 0.0000, 658.5247, 732.6707, 31.8027, 703.8014, 706.4317, 60.2027, 598.2668, 699.5417}
{400.5286, 680.0260, 227.5145, 713.9216, 658.5247, 0.0000, 701.9496, 674.8667, 156.2849, 779.4609, 603.3156, 90.5098, 693.1749}
{445.3641, 748.3302, 478.8944, 119.3825, 732.6707, 701.9496, 0.0000, 717.0123, 581.5528, 118.5873, 686.1573, 617.5692, 35.2727}
{364.6442, 33.6900, 569.2137, 621.8190, 31.8027, 674.8667, 717.0123, 0.0000, 713.8142, 686.5075, 71.5740, 611.6804, 683.4371}
{380.5949, 725.9826, 160.1501, 613.3936, 703.8014, 156.2849, 581.5528, 713.8142, 0.0000, 672.1636, 644.5624, 128.3065, 578.4018}
{471.3849, 719.4051, 552.2287, 74.1792, 706.4317, 779.4609, 118.5873, 686.5075, 672.1636, 0.0000, 666.9199, 691.5195, 101.3816}
{305.4950, 82.2448, 502.5921, 598.7424, 60.2027, 603.3156, 686.1573, 71.5740, 644.5624, 666.9199, 0.0000, 540.7369, 653.7556}
{314.6221, 620.2299, 139.4846, 625.0488, 598.2668, 90.5098, 617.5692, 611.6804, 128.3065, 691.5195, 540.7369, 0.0000, 607.2081}
{419.9333, 714.9438, 467.8670, 86.2019, 699.5417, 693.1749, 35.2727, 683.4371, 578.4018, 101.3816, 653.7556, 607.2081, 0.0000}
]
