12 2 [20, 20]
capacities = [100000, 42, 28, 47, 21, 22, 50, 50, 22, 36, 50, 26, 45]
initial     = [50000, 8, 6, 38, 15, 16, 28, 17, 15, 28, 26, 11, 9]
target      = [0, 6, 21, 13, 1, 21, 34, 40, 21, 27, 34, 9, 1]
weights    = [0.000000, 0.072619, 0.098469, 0.180495, 1.000000, 0.066156, 0.061975, 0.089018, 0.069388, 0.052513, 0.065966, 0.065079, 0.592857]
min_ratio  = [0.0000, 0.7000, 0.2000, 0.7000, 0.7000, 0.5333, 0.5765, 0.2975, 0.5000, 0.7000, 0.5353, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584066.087, 4511535.690), (584719.089, 4511807.276), (584302.429, 4512170.329), (584146.892, 4511490.267), (584686.278, 4511784.060), (584238.953, 4512274.790), (584199.138, 4511602.541), (584721.056, 4511832.441), (584342.337, 4512172.102), (584042.154, 4511420.851), (584609.413, 4511698.466), (584338.811, 4512227.208)]
distances = [
{0.0000, 425.8612, 319.1718, 382.9669, 399.9972, 286.7217, 501.3602, 281.6659, 322.6912, 376.5429, 521.3517, 232.7295, 431.5676}
{425.8612, 0.0000, 707.2276, 677.2177, 92.6975, 668.0760, 759.0463, 148.9016, 719.0595, 693.7821, 117.3068, 567.1857, 743.3538}
{319.1718, 707.2276, 0.0000, 552.6418, 654.1433, 40.1933, 670.1494, 558.8071, 25.2419, 524.4420, 779.4646, 154.4941, 566.5278}
{382.9669, 677.2177, 552.6418, 0.0000, 697.6212, 544.5584, 122.2350, 577.1071, 537.9750, 39.9477, 793.3854, 562.9334, 67.5194}
{399.9972, 92.6975, 654.1433, 697.6212, 0.0000, 614.2081, 789.9058, 123.8341, 668.3915, 709.2930, 125.6532, 507.2200, 761.5208}
{286.7217, 668.0760, 40.1933, 544.5584, 614.2081, 0.0000, 664.0151, 519.8605, 59.5837, 518.5281, 739.4708, 115.0421, 563.1279}
{501.3602, 759.0463, 670.1494, 122.2350, 789.9058, 664.0151, 0.0000, 673.4277, 654.2909, 145.7166, 876.3231, 685.1209, 110.6156}
{281.6659, 148.9016, 558.8071, 577.1071, 123.8341, 519.8605, 673.4277, 0.0000, 570.3094, 587.2867, 240.1148, 421.3397, 640.0919}
{322.6912, 719.0595, 25.2419, 537.9750, 668.3915, 59.5837, 654.2909, 570.3094, 0.0000, 508.7212, 793.9236, 174.3949, 549.5016}
{376.5429, 693.7821, 524.4420, 39.9477, 709.2930, 518.5281, 145.7166, 587.2867, 508.7212, 0.0000, 809.0040, 543.7465, 55.2189}
{521.3517, 117.3068, 779.4646, 793.3854, 125.6532, 739.4708, 876.3231, 240.1148, 793.9236, 809.0040, 0.0000, 631.5479, 859.1954}
{232.7295, 567.1857, 154.4941, 562.9334, 507.2200, 115.0421, 685.1209, 421.3397, 174.3949, 543.7465, 631.5479, 0.0000, 593.9641}
{431.5676, 743.3538, 566.5278, 67.5194, 761.5208, 563.1279, 110.6156, 640.0919, 549.5016, 55.2189, 859.1954, 593.9641, 0.0000}
]
