12 2 [20, 20]
capacities = [100000, 34, 26, 20, 49, 49, 27, 30, 48, 29, 40, 49, 38]
initial     = [50000, 28, 5, 5, 10, 48, 21, 30, 45, 22, 3, 47, 37]
target      = [0, 7, 25, 20, 49, 16, 8, 5, 2, 8, 30, 4, 12]
weights    = [0.000000, 0.182558, 0.085349, 0.083140, 0.085168, 0.138372, 0.121802, 0.270930, 1.000000, 0.127326, 0.089767, 0.525000, 0.142054]
min_ratio  = [0.0000, 0.7000, 0.1400, 0.1750, 0.1429, 0.7000, 0.7000, 0.7000, 0.7000, 0.7000, 0.0700, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584055.197, 4511470.493), (584642.873, 4511695.822), (584262.808, 4512173.604), (584157.107, 4511437.884), (584721.116, 4511792.428), (584275.056, 4512197.739), (584118.222, 4511581.576), (584752.661, 4511731.575), (584244.508, 4512276.922), (584054.929, 4511453.641), (584645.707, 4511748.794), (584345.335, 4512271.946)]
distances = [
{0.0000, 476.9316, 264.2734, 397.9970, 436.0335, 321.2049, 416.9021, 356.5216, 359.2378, 501.6302, 488.9157, 250.9862, 475.1010}
{476.9316, 0.0000, 629.3936, 733.1215, 106.9998, 739.6550, 759.7532, 127.7170, 744.7278, 828.3520, 16.8539, 652.8041, 852.3534}
{264.2734, 629.3936, 0.0000, 610.5121, 550.0010, 124.3164, 622.2618, 536.9459, 115.4626, 704.5370, 635.8697, 53.0472, 648.4188}
{397.9970, 733.1215, 610.5121, 0.0000, 743.2745, 596.1050, 27.0654, 609.4274, 659.8074, 104.9267, 749.3731, 571.9053, 128.3817}
{436.0335, 106.9998, 550.0010, 743.2745, 0.0000, 666.1888, 768.9554, 148.8611, 664.0325, 843.5787, 103.3861, 579.1330, 855.0375}
{321.2049, 739.6550, 124.3164, 596.1050, 666.1888, 0.0000, 602.6988, 638.7011, 68.5435, 679.6247, 747.3831, 87.1230, 609.2191}
{416.9021, 759.7532, 622.2618, 27.0654, 768.9554, 602.6988, 0.0000, 635.8094, 667.3943, 84.8717, 775.9755, 582.1803, 102.2043}
{356.5216, 127.7170, 536.9459, 609.4274, 148.8611, 638.7011, 635.8094, 0.0000, 651.9297, 706.7209, 142.7356, 553.3553, 726.7669}
{359.2378, 744.7278, 115.4626, 659.8074, 664.0325, 68.5435, 667.3943, 651.9297, 0.0000, 745.4015, 751.0509, 108.3311, 676.6939}
{501.6302, 828.3520, 704.5370, 104.9267, 843.5787, 679.6247, 84.8717, 706.7209, 745.4015, 0.0000, 844.8268, 663.2351, 100.9500}
{488.9157, 16.8539, 635.8697, 749.3731, 103.3861, 747.3831, 775.9755, 142.7356, 751.0509, 844.8268, 0.0000, 660.4044, 868.3076}
{250.9862, 652.8041, 53.0472, 571.9053, 579.1330, 87.1230, 582.1803, 553.3553, 108.3311, 663.2351, 660.4044, 0.0000, 603.2505}
{475.1010, 852.3534, 648.4188, 128.3817, 855.0375, 609.2191, 102.2043, 726.7669, 676.6939, 100.9500, 868.3076, 603.2505, 0.0000}
]
