20 3 [30, 30, 30]
capacities = [100000, 27, 32, 23, 24, 37, 29, 49, 35, 31, 36, 27, 38, 48, 45, 38, 37, 34, 39, 21, 34]
initial     = [50000, 11, 25, 4, 0, 14, 23, 29, 12, 13, 22, 17, 26, 19, 20, 22, 28, 21, 10, 10, 27]
target      = [0, 18, 9, 15, 1, 20, 25, 30, 25, 3, 12, 21, 27, 31, 14, 19, 18, 29, 20, 20, 27]
weights    = [0.000000, 0.160833, 0.556667, 0.259000, 0.335000, 0.135500, 0.072800, 0.059500, 0.198200, 1.000000, 0.287500, 0.104286, 0.060556, 0.160323, 0.172143, 0.095000, 0.208333, 0.128621, 0.192500, 0.192500, 0.050000]
min_ratio  = [0.0000, 0.4278, 0.7000, 0.1867, 0.0000, 0.4900, 0.6440, 0.6767, 0.3360, 0.7000, 0.7000, 0.5667, 0.6741, 0.4290, 0.7000, 0.7000, 0.7000, 0.5069, 0.3500, 0.3500, 0.7000]
points = [(584400.000, 4511800.000), (584082.155, 4511572.707), (584645.001, 4511809.854), (584350.299, 4512182.622), (584187.543, 4511442.529), (584708.640, 4511805.479), (584262.607, 4512213.040), (584199.464, 4511544.389), (584752.439, 4511778.716), (584392.978, 4512143.436), (584189.753, 4511488.033), (584660.155, 4511819.132), (584299.555, 4512273.296), (584146.343, 4511476.527), (584668.179, 4511797.040), (584335.919, 4512259.715), (584087.193, 4511501.266), (584630.662, 4511803.968), (584404.666, 4512261.098), (584143.117, 4511581.932), (584640.430, 4511680.598)]
distances = [
{0.0000, 390.7526, 245.1991, 385.8369, 415.8410, 308.6883, 435.2917, 324.8879, 353.0808, 343.5078, 376.2008, 260.8574, 483.8372, 411.0679, 268.1949, 464.1599, 432.5394, 230.6962, 461.1220, 336.9607, 268.4467}
{390.7526, 0.0000, 610.7655, 666.2564, 167.4912, 668.3308, 665.2733, 120.6786, 701.2277, 649.8785, 136.9203, 628.3385, 733.5445, 115.6319, 627.4941, 732.3770, 71.6187, 595.2661, 760.1946, 61.6565, 568.6053}
{245.1991, 610.7655, 0.0000, 475.1902, 586.6819, 63.7889, 555.6836, 518.6286, 111.8590, 418.0821, 557.5116, 17.7686, 578.0237, 599.8059, 26.4841, 545.8084, 637.4767, 15.5000, 511.2555, 551.2130, 129.3371}
{385.8369, 666.2564, 475.1902, 0.0000, 757.7786, 520.2359, 92.8178, 655.8154, 569.9622, 57.9402, 712.9019, 477.6358, 103.9068, 734.9618, 499.7215, 78.4224, 730.3912, 471.1505, 95.4688, 635.4161, 579.8319}
{415.8410, 167.4912, 586.6819, 757.7786, 0.0000, 635.0391, 774.1591, 102.5551, 657.3651, 730.3935, 45.5583, 604.3112, 838.2849, 53.4172, 597.2340, 830.5477, 116.2770, 571.8328, 846.8760, 146.3110, 511.6480}
{308.6883, 668.3308, 63.7889, 520.2359, 635.0391, 0.0000, 604.1949, 572.2138, 51.3285, 462.4472, 608.2886, 50.3706, 621.4524, 651.4503, 41.3320, 587.5809, 691.9118, 77.9923, 547.7124, 608.1028, 142.2950}
{435.2917, 665.2733, 555.6836, 92.8178, 774.1591, 604.1949, 0.0000, 671.6262, 654.6547, 147.7881, 728.6579, 559.6498, 70.6824, 745.6330, 580.9860, 86.9097, 733.0702, 550.2769, 149.9686, 642.3202, 652.8747}
{324.8879, 120.6786, 518.6286, 655.8154, 102.5551, 572.2138, 671.6262, 0.0000, 600.5755, 629.5281, 57.1858, 536.3959, 735.7477, 86.1801, 532.4719, 728.2255, 120.2675, 503.3027, 745.5073, 67.7081, 461.5243}
{353.0808, 701.2277, 111.8590, 569.9622, 657.3651, 51.3285, 654.6547, 600.5755, 0.0000, 512.0868, 633.3336, 100.7462, 670.6065, 677.2523, 86.2296, 636.2774, 720.7848, 124.3673, 594.6750, 640.3098, 148.9063}
{343.5078, 649.8785, 418.0821, 57.9402, 730.3935, 462.4472, 147.7881, 629.5281, 512.0868, 0.0000, 686.1873, 420.1863, 159.9732, 711.0530, 442.4092, 129.5243, 711.2571, 414.4061, 118.2415, 614.5871, 524.8352}
{376.2008, 136.9203, 557.5116, 712.9019, 45.5583, 608.2886, 728.6579, 57.1858, 633.3336, 686.1873, 0.0000, 575.2428, 792.9025, 44.9096, 569.5400, 785.4028, 103.4107, 542.4162, 802.3823, 104.8419, 490.0928}
