20 3 [30, 30, 30]
capacities = [100000, 28, 20, 20, 40, 42, 32, 44, 40, 43, 24, 39, 27, 23, 29, 29, 29, 45, 27, 40, 33]
initial     = [50000, 28, 5, 14, 37, 15, 12, 30, 32, 25, 14, 35, 25, 9, 21, 5, 23, 0, 8, 31, 32]
target      = [0, 25, 15, 14, 29, 13, 18, 34, 8, 17, 7, 21, 9, 13, 2, 7, 23, 21, 11, 14, 2]
weights    = [0.000000, 0.057600, 0.092222, 0.050000, 0.067471, 0.059744, 0.071111, 0.057451, 0.240000, 0.079804, 0.113333, 0.092222, 0.162593, 0.069487, 0.651667, 0.068095, 0.050000, 0.113333, 0.067273, 0.126905, 1.000000]
min_ratio  = [0.0000, 0.7000, 0.2333, 0.7000, 0.7000, 0.7000, 0.4667, 0.6176, 0.7000, 0.7000, 0.7000, 0.7000, 0.7000, 0.4846, 0.7000, 0.5000, 0.7000, 0.0000, 0.5091, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584111.937, 4511400.270), (584655.763, 4511746.245), (584380.520, 4512125.404), (584133.296, 4511465.092), (584701.511, 4511667.399), (584371.576, 4512202.950), (584158.340, 4511469.390), (584706.022, 4511749.834), (584426.828, 4512320.570), (584076.402, 4511424.978), (584809.536, 4511845.588), (584324.324, 4512139.230), (584121.861, 4511519.537), (584704.509, 4511699.479), (584308.567, 4512194.173), (584106.443, 4511441.285), (584687.550, 4511767.302), (584393.062, 4512296.259), (584055.106, 4511494.899), (584710.362, 4511715.009)]
distances = [
{0.0000, 492.7110, 261.3513, 325.9869, 428.1291, 329.3810, 403.9509, 409.5146, 310.1070, 521.2612, 495.3356, 412.0654, 347.5683, 394.9946, 320.6716, 404.6384, 463.5215, 289.4035, 496.3075, 460.4765, 321.7887}
{492.7110, 0.0000, 644.5503, 773.2764, 68.2499, 647.2673, 843.6272, 83.2516, 689.2983, 972.6813, 43.2811, 827.6181, 768.8755, 119.6791, 663.8280, 817.8903, 41.3808, 682.6733, 939.0565, 110.3835, 676.1452}
{261.3513, 644.5503, 0.0000, 468.5306, 593.3120, 91.1563, 537.9048, 569.2786, 50.3872, 618.2728, 662.4742, 183.0713, 514.0907, 580.0413, 67.5512, 566.7319, 628.2937, 38.1292, 609.5308, 651.1253, 62.9022}
{325.9869, 773.2764, 468.5306, 0.0000, 705.0761, 559.2888, 78.0593, 692.6169, 496.9958, 200.5847, 763.6000, 512.2029, 57.8716, 658.7713, 535.1459, 99.5307, 736.9788, 471.7043, 171.3143, 709.5289, 526.5171}
{428.1291, 68.2499, 593.3120, 705.0761, 0.0000, 603.1556, 775.3784, 25.4105, 639.6045, 904.4361, 69.6137, 775.9368, 700.6809, 55.6329, 617.4320, 749.8524, 35.8865, 631.2916, 870.8140, 83.6791, 628.8590}
{329.3810, 647.2673, 91.1563, 559.2888, 603.1556, 0.0000, 629.0239, 578.1367, 82.5584, 708.5783, 670.4696, 208.3762, 604.0647, 598.2116, 32.2200, 657.1877, 636.5792, 100.8737, 700.4324, 669.0262, 48.4253}
{403.9509, 843.6272, 537.9048, 78.0593, 775.3784, 629.0239, 0.0000, 763.9234, 563.1765, 129.9516, 832.0865, 565.2573, 79.3284, 727.6060, 603.5947, 63.6181, 806.4918, 538.1713, 95.7510, 775.5573, 594.0218}
{409.5146, 83.2516, 569.2786, 692.6169, 25.4105, 578.1367, 763.9234, 0.0000, 615.3086, 892.5208, 93.2006, 752.0509, 690.0982, 62.0113, 592.6564, 740.1875, 59.0186, 607.3013, 859.5382, 106.3394, 604.1990}
{310.1070, 689.2983, 50.3872, 496.9958, 639.6045, 82.5584, 563.1765, 615.3086, 0.0000, 635.3654, 708.4870, 141.0100, 545.2730, 627.9182, 50.3776, 596.1610, 674.3129, 25.4233, 629.7018, 699.0598, 35.0947}
{521.2612, 972.6813, 618.2728, 200.5847, 904.4361, 708.5783, 129.9516, 892.5208, 635.3654, 0.0000, 961.7091, 609.9782, 208.3063, 857.1228, 680.3388, 173.0959, 935.8365, 611.6223, 41.6079, 905.4891, 668.6525}
{495.3356, 43.2811, 662.4742, 763.6000, 69.6137, 670.4696, 832.0865, 93.2006, 708.4870, 961.7091, 0.0000, 845.2209, 756.0563, 104.9188, 685.4706, 803.4682, 34.1820, 700.4915, 927.0405, 73.0925, 697.1537}
