12 3 [30, 30, 30]
capacities = [100000, 37, 49, 48, 47, 20, 41, 47, 44, 47, 31, 24, 45]
initial     = [50000, 24, 36, 16, 32, 6, 41, 3, 14, 46, 25, 16, 37]
target      = [0, 28, 41, 32, 37, 8, 13, 16, 32, 14, 1, 5, 22]
weights    = [0.000000, 0.055655, 0.054827, 0.069792, 0.055349, 0.059896, 0.135256, 0.082161, 0.072266, 0.140476, 1.000000, 0.137083, 0.076989]
min_ratio  = [0.0000, 0.6000, 0.6146, 0.3500, 0.6054, 0.5250, 0.7000, 0.1312, 0.3062, 0.7000, 0.7000, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584138.118, 4511490.255), (584620.038, 4511684.974), (584244.292, 4512251.648), (584158.017, 4511461.035), (584755.314, 4511675.329), (584229.550, 4512180.515), (584232.977, 4511609.507), (584697.565, 4511681.805), (584261.831, 4512182.576), (584165.403, 4511552.077), (584690.659, 4511802.034), (584232.416, 4512161.968)]
distances = [
{0.0000, 405.6155, 248.2894, 477.7354, 416.4774, 376.5518, 416.9466, 253.3462, 320.1793, 406.7618, 341.3230, 290.6660, 398.8797}
{405.6155, 0.0000, 519.7705, 768.7606, 35.3521, 644.3471, 696.2888, 152.3784, 591.3303, 703.2878, 67.5755, 634.4346, 678.2993}
{248.2894, 519.7705, 0.0000, 679.9300, 513.4315, 135.6202, 630.9051, 394.3494, 77.5918, 613.1232, 473.6602, 136.7135, 614.6332}
{477.7354, 768.7606, 679.9300, 0.0000, 795.3072, 770.2517, 72.6453, 642.2407, 728.1326, 71.2641, 704.0052, 633.5581, 90.4637}
{416.4774, 35.3521, 513.4315, 795.3072, 0.0000, 634.5758, 723.0273, 166.3223, 582.9679, 728.9718, 91.3417, 632.4463, 704.8704}
{376.5518, 644.3471, 135.6202, 770.2517, 634.5758, 0.0000, 729.1368, 526.4687, 58.1117, 707.6902, 602.6493, 142.2485, 714.3111}
{416.9466, 696.2888, 630.9051, 72.6453, 723.0273, 729.1368, 0.0000, 571.0175, 683.9215, 32.3469, 631.7028, 596.5471, 18.7670}
{253.3462, 152.3784, 394.3494, 642.2407, 166.3223, 526.4687, 571.0175, 0.0000, 470.1799, 573.7949, 88.6814, 496.5277, 552.4605}
{320.1793, 591.3303, 77.5918, 728.1326, 582.9679, 58.1117, 683.9215, 470.1799, 0.0000, 663.8036, 547.7456, 120.4274, 668.5204}
{406.7618, 703.2878, 613.1232, 71.2641, 728.9718, 707.6902, 32.3469, 573.7949, 663.8036, 0.0000, 637.8303, 573.3281, 35.9165}
{341.3230, 67.5755, 473.6602, 704.0052, 91.3417, 602.6493, 631.7028, 88.6814, 547.7456, 637.8303, 0.0000, 581.6976, 613.5609}
{290.6660, 634.4346, 136.7135, 633.5581, 632.4463, 142.2485, 596.5471, 496.5277, 120.4274, 573.3281, 581.6976, 0.0000, 582.6995}
{398.8797, 678.2993, 614.6332, 90.4637, 704.8704, 714.3111, 18.7670, 552.4605, 668.5204, 35.9165, 613.5609, 582.6995, 0.0000}
]
