file,instance_name,compact_bc_cut_profile,compact_bc_enabled_cut_families,compact_bc_cuts_added_by_family,compact_bc_domains_tightened_by_family,compact_bc_direct_gini_cap_rows_added,compact_bc_direct_gini_floor_rows_added,compact_bc_tight_mccormick_rows_added,compact_bc_inventory_conservation_rows_added,compact_bc_movement_reachability_domains_tightened,compact_bc_visit_inventory_linking_rows_added,compact_bc_objective_estimator_cutoff_rows_added,compact_bc_penalty_lb,compact_bc_penalty_lb_rows_added,compact_bc_support_duration_pair_cuts_added,compact_bc_support_duration_triple_cuts_added,compact_bc_pairwise_transfer_compatibility_cuts_added
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_13.json,regen_candidate_V12_M1_average.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=292;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=66;support_duration_triple=220;transfer_compat=12;receiver_source_cover=0,penalty_domains=1;movement_reachability=11;domain_width_before=643;domain_width_after=479,1,1,292,2,11,24,1,0.0295892857143,1,66,220,12
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_14.json,regen_candidate_V12_M1_average.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=292;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=66;support_duration_triple=220;transfer_compat=12;receiver_source_cover=0,penalty_domains=1;movement_reachability=11;domain_width_before=643;domain_width_after=479,1,1,292,2,11,24,1,0.0295892857143,1,66,220,12
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_15.json,regen_candidate_V12_M1_average.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=292;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=66;support_duration_triple=220;transfer_compat=12;receiver_source_cover=0,penalty_domains=1;movement_reachability=11;domain_width_before=643;domain_width_after=479,1,1,292,2,11,24,1,0.0295892857143,1,66,220,12
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_16.json,regen_candidate_V12_M1_average.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=292;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=66;support_duration_triple=220;transfer_compat=12;receiver_source_cover=0,penalty_domains=1;movement_reachability=11;domain_width_before=643;domain_width_after=479,1,1,292,2,11,24,1,0.0295892857143,1,66,220,12
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_17.json,regen_candidate_V12_M1_average.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=292;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=66;support_duration_triple=220;transfer_compat=12;receiver_source_cover=0,penalty_domains=1;movement_reachability=11;domain_width_before=643;domain_width_after=479,1,1,292,2,11,24,1,0.0295892857143,1,66,220,12
results\gf_compact_bc_round\raw\v12_m1_diag_60s.json,regen_candidate_V12_M1_average.txt,balanced,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,,,0,0,0,0,0,0,0,0,0,0,0,0
results\gf_compact_bc_round\raw\v12_m1_diag_60s_auto_oracle\interval_6.json,regen_candidate_V12_M1_average.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=292;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=66;support_duration_triple=220;transfer_compat=12;receiver_source_cover=0,penalty_domains=0;movement_reachability=11;domain_width_before=643;domain_width_after=479,1,1,292,2,11,24,1,0.0295892857143,1,66,220,12
results\gf_compact_bc_round\raw\v12_m1_diag_60s_auto_oracle\interval_7.json,regen_candidate_V12_M1_average.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=292;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=66;support_duration_triple=220;transfer_compat=12;receiver_source_cover=0,penalty_domains=1;movement_reachability=11;domain_width_before=643;domain_width_after=479,1,1,292,2,11,24,1,0.0295892857143,1,66,220,12
results\gf_compact_bc_round\raw\v12_m2_ablation_no_new_cuts_60s.json,regen_candidate_V12_M2_average.txt,conservative,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,,,0,0,0,0,0,0,0,0,0,0,0,0
results\gf_compact_bc_round\raw\v12_m2_ablation_no_new_cuts_60s_auto_oracle\interval_2.json,regen_candidate_V12_M2_average.txt,conservative,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=296;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=132;support_duration_triple=440;transfer_compat=24;receiver_source_cover=0,penalty_domains=0;movement_reachability=12;domain_width_before=656;domain_width_after=472,1,1,296,2,12,24,1,0.207141831111,1,132,440,24
results\gf_compact_bc_round\raw\v12_m2_ablation_no_new_cuts_60s_auto_oracle\interval_5.json,regen_candidate_V12_M2_average.txt,conservative,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=296;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=132;support_duration_triple=440;transfer_compat=24;receiver_source_cover=0,penalty_domains=2;movement_reachability=11;domain_width_before=656;domain_width_after=450,1,1,296,2,11,24,1,0.207141831111,1,132,440,24
results\gf_compact_bc_round\raw\v12_m2_smoke_60s.json,regen_candidate_V12_M2_average.txt,balanced,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,,,0,0,0,0,0,0,0,0,0,0,0,0
results\gf_compact_bc_round\raw\v12_m2_smoke_60s_auto_oracle\interval_6.json,regen_candidate_V12_M2_average.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=296;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=132;support_duration_triple=440;transfer_compat=24;receiver_source_cover=0,penalty_domains=0;movement_reachability=12;domain_width_before=656;domain_width_after=472,1,1,296,2,12,24,1,0.207141831111,1,132,440,24
results\gf_compact_bc_round\raw\v12_m2_smoke_60s_auto_oracle\interval_7.json,regen_candidate_V12_M2_average.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=296;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=132;support_duration_triple=440;transfer_compat=24;receiver_source_cover=0,penalty_domains=0;movement_reachability=12;domain_width_before=656;domain_width_after=472,1,1,296,2,12,24,1,0.207141831111,1,132,440,24
