12 2 [30, 30]
capacities = [100000, 27, 20, 28, 48, 30, 33, 23, 21, 26, 30, 43, 43]
initial     = [50000, 5, 16, 4, 5, 22, 32, 16, 17, 5, 28, 2, 37]
target      = [0, 25, 6, 26, 43, 9, 2, 2, 7, 22, 4, 38, 7]
weights    = [0.000000, 0.100667, 0.155556, 0.103590, 0.105969, 0.141481, 1.000000, 0.493333, 0.140476, 0.098939, 0.430000, 0.110000, 0.321429]
min_ratio  = [0.0000, 0.1400, 0.7000, 0.1077, 0.0814, 0.7000, 0.7000, 0.7000, 0.7000, 0.1591, 0.7000, 0.0368, 0.7000]
points = [(584400.000, 4511800.000), (584100.507, 4511458.692), (584660.393, 4511743.571), (584259.390, 4512269.669), (584085.364, 4511444.480), (584687.405, 4511826.842), (584265.829, 4512261.253), (584036.958, 4511569.889), (584653.760, 4511683.591), (584280.595, 4512213.135), (584131.806, 4511426.330), (584627.000, 4511839.460), (584387.908, 4512255.273)]
distances = [
{0.0000, 454.0790, 266.4377, 490.2652, 474.7525, 288.6554, 480.3711, 429.8261, 279.1869, 430.0440, 459.9536, 230.4043, 455.4335}
{454.0790, 0.0000, 628.1952, 826.3949, 20.7666, 692.8089, 819.4125, 128.0753, 597.2183, 775.6395, 45.0210, 649.7538, 846.8419}
{266.4377, 628.1952, 0.0000, 661.5006, 648.1616, 87.5430, 650.9043, 647.1760, 60.3448, 603.9348, 616.4791, 101.5379, 579.7308}
{490.2652, 826.3949, 661.5006, 0.0000, 843.3396, 615.8666, 10.5963, 734.2808, 706.4097, 60.3801, 852.9351, 565.8767, 129.3210}
{474.7525, 20.7666, 648.1616, 843.3396, 0.0000, 713.1992, 836.4723, 134.4267, 616.6427, 793.0606, 49.8620, 670.3569, 865.4001}
{288.6554, 692.8089, 87.5430, 615.8666, 713.1992, 0.0000, 605.3419, 699.3608, 147.1487, 560.9954, 684.9088, 61.7084, 522.7344}
{480.3711, 819.4125, 650.9043, 10.5963, 836.4723, 605.3419, 0.0000, 728.2627, 695.8333, 50.3331, 845.6116, 555.2962, 122.2249}
{429.8261, 128.0753, 647.1760, 734.2808, 134.4267, 699.3608, 728.2627, 0.0000, 627.1948, 687.8403, 172.0616, 648.7049, 770.0109}
{279.1869, 597.2183, 60.3448, 706.4097, 616.6427, 147.1487, 695.8333, 627.1948, 0.0000, 647.8183, 581.9107, 158.1493, 630.4740}
{430.0440, 775.6395, 603.9348, 60.3801, 793.0606, 560.9954, 50.3331, 687.8403, 647.8183, 0.0000, 800.7497, 509.5380, 115.2890}
{459.9536, 45.0210, 616.4791, 852.9351, 49.8620, 684.9088, 845.6116, 172.0616, 581.9107, 800.7497, 0.0000, 644.8983, 867.6027}
{230.4043, 649.7538, 101.5379, 565.8767, 670.3569, 61.7084, 555.2962, 648.7049, 158.1493, 509.5380, 644.8983, 0.0000, 479.6513}
{455.4335, 846.8419, 579.7308, 129.3210, 865.4001, 522.7344, 122.2249, 770.0109, 630.4740, 115.2890, 867.6027, 479.6513, 0.0000}
]
