scope,row_or_gate,model_scope,coverage,bounds,lifecycle,verifier,zero_gap_readback,strict_certificate,status,reason
stage0,toy_P_CPX,complete_original,not_applicable,LB_equals_UB,pass,pass,pass,true,pass,native_status_101_and_all_engineering_gates
stage0,toy_P_GRB,complete_original_artifact,not_applicable,unavailable,not_started,not_started,not_started,false,fail_closed,gurobi_license_error_10009
stage0,plain_model_byte_equivalence_toy,canonical_original,not_applicable,not_applicable,not_applicable,known_route_pass,not_applicable,not_applicable,pass,identical_SHA256_and_bytes
stage0,plain_model_byte_equivalence_V12_M1,canonical_original,not_applicable,not_applicable,not_applicable,empty_route_pass,not_applicable,not_applicable,pass,identical_SHA256_and_bytes
stage0,external_CPLEX_F0_smoke,static_interval_complete_F0,pass,valid_and_monotone,pass,global_incumbent_pass,pass,false,pass_non_strict,one_relevant_leaf_open
stage0,external_Gurobi_smoke,static_interval_complete_F0_not_loaded,not_reached,not_reached,not_started,not_started,not_started,false,fail_closed,gurobi_license_error_10009
stage0,unsafe_single_tree_policy,original_scope_forced_invalid,not_applicable,not_authoritative,policy_pass,feasibility_consistency_required,exact_zero_requested,false,pass,strict_rejection_forced_in_research_only_mode
stage0,moderate4301_immutable_reference,complete_original,round23_callback_lifecycle_diagnosed,not_reused,pass,verified_HGA_and_plain_witnesses,pass,false,pass_reference,"presolve-on child loss resolved; safe S0 does not certify contradicted infeasibility"
stage1,all_13_rows,various,not_run,not_run,not_run,not_run,not_run,not_observed,excluded,stage0_gurobi_license_gate
stage2,all_28_rows,various,not_run,not_run,not_run,not_run,not_run,not_observed,excluded,stage0_gurobi_license_gate
