property,historical_effective,first_class,equivalent,evidence
initial_gini_interval_count,1,1,True,Round55StationStateChainTests
split_point_rule,midpoint,midpoint,True,Round55StationStateChainTests
split_score_rule,balanced-normalized-closure,balanced-normalized-closure,True,Round55StationStateChainTests
split_threshold,0.08,0.08,True,Round55StationStateChainTests
maximum_split_depth,8,8,True,Round55StationStateChainTests
minimum_interval_width,1e-4,1e-4,True,Round55StationStateChainTests
split_factor,2,2,True,Round55StationStateChainTests
child_infeasibility_policy,exact,exact,True,Round55StationStateChainTests
native_target_policy,existing-k1-am-sf,existing-k1-am-sf,True,Round55StationStateChainTests
exact_parent_closure,true,true,True,Round55StationStateChainTests
