document,check,status,evidence
README.md,stable preset identity,pass,paper-k1-am-sf with F0-CLEAN
docs/current_mainline.md,final K1 outcome,pass,14 versus 12 certificates and one severe witness regression
docs/algorithm_lineage.md,candidate status,pass,VD-P default-off mixed research
docs/k1_am_sf_algorithm.md,controller definition,pass,K0=1 midpoint balanced-normalized-closure tau=0.08
docs/balanced_normalized_closure_rule.md,formal rule properties,pass,eight properties and edge cases documented
docs/active_formulation_families.md,stable family set,pass,pair and triple covers retained
docs/strengthening_roadmap.md,next step,pass,uniform major-witness formulation-lifecycle study
docs/station_state_formulation.md,VD-P and VD-J exact definitions,pass,no automatic performance claim
docs/cut_family_efficacy.md,sparse negative result,pass,no additional family removed
docs/reproduction_k1_am_sf.md,gate-safe commands,pass,sealed runner remains closed
docs/attempt_log.md,entered-stage counts,pass,44 K1 rows and zero sealed/expansion rows
Manuscript/sections/computational_protocol.tex,final evidence boundary,pass,sealed and expansion explicitly unopened
