dataset_family,landscape_id,selection_id,V,geographic_regime,replicate,inventory_regime,local_imbalance_level,seed,source_station_row_indices,total_initial_inventory,total_target_inventory,station_inventory_minus_target,local_l1_imbalance,surplus_station_count,deficit_station_count,landscape_path,landscape_file_sha256,mapping_path,capacity_sha256,coordinate_sha256,instance_id,M,Q,complete_Q_vector,instance_path,instance_file_sha256,parser_format,distance_convention,scenario_id,T_seconds,pickup_seconds,drop_seconds,lambda,mathematical_scenario_identity_sha256,future_k1_am_sf_command,future_p_grb_command
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1,cb443_V08_compact_r1_shortage_M01_Q20,1,20,[20],reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt,578c672623cb6f4582f5ce22e5988d87824ecbae5b9cccf1f19ebb6cc9d1a3ea,ExactEBRP Hybrid-GA-compatible text; points-authoritative,"Euclidean serialized UTM meters / 1.5 m/s, rebuilt by Parser.cpp",cb443_V08_compact_r1_shortage_M01_Q20_T01800,1800,60.0,60.0,0.15,42007d8d772de4313e1563df6f604bcc568789fe7e31812b3528be0c77549482,build/ExactEBRP.exe --method tailored --algorithm-preset paper-k1-am-sf --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt --lambda 0.15 --T 1800 --time-limit <solver-seconds> --threads 1 --mip-threads 1 --out <result.json>,build/ExactEBRP.exe --method gurobi --plain-baseline --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt --lambda 0.15 --T 1800 --time-limit <solver-seconds> --threads 1 --gurobi-threads 1 --out <result.json>
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1,cb443_V08_compact_r1_shortage_M01_Q20,1,20,[20],reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt,578c672623cb6f4582f5ce22e5988d87824ecbae5b9cccf1f19ebb6cc9d1a3ea,ExactEBRP Hybrid-GA-compatible text; points-authoritative,"Euclidean serialized UTM meters / 1.5 m/s, rebuilt by Parser.cpp",cb443_V08_compact_r1_shortage_M01_Q20_T03600,3600,60.0,60.0,0.15,f7e0c6c4fe681bf7539e72400f144e921dc3b3cf07f17fb65146499dd09a6409,build/ExactEBRP.exe --method tailored --algorithm-preset paper-k1-am-sf --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt --lambda 0.15 --T 3600 --time-limit <solver-seconds> --threads 1 --mip-threads 1 --out <result.json>,build/ExactEBRP.exe --method gurobi --plain-baseline --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt --lambda 0.15 --T 3600 --time-limit <solver-seconds> --threads 1 --gurobi-threads 1 --out <result.json>
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1,cb443_V08_compact_r1_shortage_M01_Q20,1,20,[20],reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt,578c672623cb6f4582f5ce22e5988d87824ecbae5b9cccf1f19ebb6cc9d1a3ea,ExactEBRP Hybrid-GA-compatible text; points-authoritative,"Euclidean serialized UTM meters / 1.5 m/s, rebuilt by Parser.cpp",cb443_V08_compact_r1_shortage_M01_Q20_T10800,10800,60.0,60.0,0.15,a3afa6b9d005c25cd64b28693fa025beee8506cf6c173eecc41d66fa011d28a0,build/ExactEBRP.exe --method tailored --algorithm-preset paper-k1-am-sf --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt --lambda 0.15 --T 10800 --time-limit <solver-seconds> --threads 1 --mip-threads 1 --out <result.json>,build/ExactEBRP.exe --method gurobi --plain-baseline --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt --lambda 0.15 --T 10800 --time-limit <solver-seconds> --threads 1 --gurobi-threads 1 --out <result.json>
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1,cb443_V08_compact_r1_shortage_M01_Q20,1,20,[20],reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt,578c672623cb6f4582f5ce22e5988d87824ecbae5b9cccf1f19ebb6cc9d1a3ea,ExactEBRP Hybrid-GA-compatible text; points-authoritative,"Euclidean serialized UTM meters / 1.5 m/s, rebuilt by Parser.cpp",cb443_V08_compact_r1_shortage_M01_Q20_T18000,18000,60.0,60.0,0.15,a5e36b30cd22e6867fd2fa517ada9c9cac75084bfb93bb1b253b092cf46ea412,build/ExactEBRP.exe --method tailored --algorithm-preset paper-k1-am-sf --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt --lambda 0.15 --T 18000 --time-limit <solver-seconds> --threads 1 --mip-threads 1 --out <result.json>,build/ExactEBRP.exe --method gurobi --plain-baseline --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt --lambda 0.15 --T 18000 --time-limit <solver-seconds> --threads 1 --gurobi-threads 1 --out <result.json>
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1,cb443_V08_compact_r1_shortage_M01_Q30,1,30,[30],reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt,4c94911caed765aecac089a9bbaae2ae72cc608d483d5dad27875bf7d2c0b124,ExactEBRP Hybrid-GA-compatible text; points-authoritative,"Euclidean serialized UTM meters / 1.5 m/s, rebuilt by Parser.cpp",cb443_V08_compact_r1_shortage_M01_Q30_T01800,1800,60.0,60.0,0.15,a3c46a795f181808580f92ec35909eeaa5db94dc4bbf57b7d86bd43cc6d2c677,build/ExactEBRP.exe --method tailored --algorithm-preset paper-k1-am-sf --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt --lambda 0.15 --T 1800 --time-limit <solver-seconds> --threads 1 --mip-threads 1 --out <result.json>,build/ExactEBRP.exe --method gurobi --plain-baseline --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt --lambda 0.15 --T 1800 --time-limit <solver-seconds> --threads 1 --gurobi-threads 1 --out <result.json>
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1,cb443_V08_compact_r1_shortage_M01_Q30,1,30,[30],reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt,4c94911caed765aecac089a9bbaae2ae72cc608d483d5dad27875bf7d2c0b124,ExactEBRP Hybrid-GA-compatible text; points-authoritative,"Euclidean serialized UTM meters / 1.5 m/s, rebuilt by Parser.cpp",cb443_V08_compact_r1_shortage_M01_Q30_T03600,3600,60.0,60.0,0.15,c94debdd2e3e550e0abc9e5a62a28f802e0aaff52243bb7c5fd4d6dcabe04b6d,build/ExactEBRP.exe --method tailored --algorithm-preset paper-k1-am-sf --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt --lambda 0.15 --T 3600 --time-limit <solver-seconds> --threads 1 --mip-threads 1 --out <result.json>,build/ExactEBRP.exe --method gurobi --plain-baseline --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt --lambda 0.15 --T 3600 --time-limit <solver-seconds> --threads 1 --gurobi-threads 1 --out <result.json>
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1,cb443_V08_compact_r1_shortage_M01_Q30,1,30,[30],reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt,4c94911caed765aecac089a9bbaae2ae72cc608d483d5dad27875bf7d2c0b124,ExactEBRP Hybrid-GA-compatible text; points-authoritative,"Euclidean serialized UTM meters / 1.5 m/s, rebuilt by Parser.cpp",cb443_V08_compact_r1_shortage_M01_Q30_T10800,10800,60.0,60.0,0.15,0cc798f53ab652617595f74991d9a8cf833e6d5583792bb2becdafa0392d9acd,build/ExactEBRP.exe --method tailored --algorithm-preset paper-k1-am-sf --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt --lambda 0.15 --T 10800 --time-limit <solver-seconds> --threads 1 --mip-threads 1 --out <result.json>,build/ExactEBRP.exe --method gurobi --plain-baseline --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt --lambda 0.15 --T 10800 --time-limit <solver-seconds> --threads 1 --gurobi-threads 1 --out <result.json>
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1,cb443_V08_compact_r1_shortage_M01_Q30,1,30,[30],reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt,4c94911caed765aecac089a9bbaae2ae72cc608d483d5dad27875bf7d2c0b124,ExactEBRP Hybrid-GA-compatible text; points-authoritative,"Euclidean serialized UTM meters / 1.5 m/s, rebuilt by Parser.cpp",cb443_V08_compact_r1_shortage_M01_Q30_T18000,18000,60.0,60.0,0.15,4b3f88c5a5030803036d0b036a79ceb85c69cf57869b07bee69e6a3a64825c98,build/ExactEBRP.exe --method tailored --algorithm-preset paper-k1-am-sf --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt --lambda 0.15 --T 18000 --time-limit <solver-seconds> --threads 1 --mip-threads 1 --out <result.json>,build/ExactEBRP.exe --method gurobi --plain-baseline --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt --lambda 0.15 --T 18000 --time-limit <solver-seconds> --threads 1 --gurobi-threads 1 --out <result.json>
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1,cb443_V08_compact_r1_shortage_M02_Q20,2,20,"[20,20]",reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M02_Q20.txt,9d5c93a283146444947767fc9165df78507242d5858d9bf0cf00a5d28493dddb,ExactEBRP Hybrid-GA-compatible text; points-authoritative,"Euclidean serialized UTM meters / 1.5 m/s, rebuilt by Parser.cpp",cb443_V08_compact_r1_shortage_M02_Q20_T01800,1800,60.0,60.0,0.15,ba30537acb1c88d01fec84834d52a95292eef458768499d847a487cbb4c387c7,build/ExactEBRP.exe --method tailored --algorithm-preset paper-k1-am-sf --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M02_Q20.txt --lambda 0.15 --T 1800 --time-limit <solver-seconds> --threads 1 --mip-threads 1 --out <result.json>,build/ExactEBRP.exe --method gurobi --plain-baseline --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M02_Q20.txt --lambda 0.15 --T 1800 --time-limit <solver-seconds> --threads 1 --gurobi-threads 1 --out <result.json>
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1,cb443_V08_compact_r1_shortage_M02_Q20,2,20,"[20,20]",reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M02_Q20.txt,9d5c93a283146444947767fc9165df78507242d5858d9bf0cf00a5d28493dddb,ExactEBRP Hybrid-GA-compatible text; points-authoritative,"Euclidean serialized UTM meters / 1.5 m/s, rebuilt by Parser.cpp",cb443_V08_compact_r1_shortage_M02_Q20_T03600,3600,60.0,60.0,0.15,3925e812b73afb7a04dbfc2fb6de8e176a15e4c2470b4a672ec6f0f477dd7685,build/ExactEBRP.exe --method tailored --algorithm-preset paper-k1-am-sf --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M02_Q20.txt --lambda 0.15 --T 3600 --time-limit <solver-seconds> --threads 1 --mip-threads 1 --out <result.json>,build/ExactEBRP.exe --method gurobi --plain-baseline --input reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M02_Q20.txt --lambda 0.15 --T 3600 --time-limit <solver-seconds> --threads 1 --gurobi-threads 1 --out <result.json>
