dataset_family,landscape_id,selection_id,V,geographic_regime,replicate,inventory_regime,local_imbalance_level,seed,source_station_row_indices,total_initial_inventory,total_target_inventory,station_inventory_minus_target,local_l1_imbalance,surplus_station_count,deficit_station_count,landscape_path,landscape_file_sha256,mapping_path,capacity_sha256,coordinate_sha256
citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,1,shortage,high,345017354,42;32;41;54;53;62;34;24,78,89,-11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V08_compact_r1_balanced,cb443_V08_compact_r1,8,compact,1,balanced,moderate,760125994,42;32;41;54;53;62;34;24,89,89,0,32,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_balanced.json,5900a1b0402dc85874b7b9d7798a3ab12d47003bb588ccc1f2262ce5089615f1,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V08_compact_r1_surplus,cb443_V08_compact_r1,8,compact,1,surplus,high,1243612830,42;32;41;54;53;62;34;24,100,89,11,53,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_surplus.json,04efb5f77ec8fbd6fe186b51350fd7081c5e58e9c1e4079cec9506984583479c,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V08_compact_r2_shortage,cb443_V08_compact_r2,8,compact,2,shortage,high,1769367241,437;430;438;433;427;423;432;413,71,81,-10,48,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r2_shortage.json,72fe47eaf58a10656dd016f0b95aee9c678adbfb1b728cb69c5c98403eafcb61,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V08_compact_r2_balanced,cb443_V08_compact_r2,8,compact,2,balanced,moderate,2063995627,437;430;438;433;427;423;432;413,81,81,0,28,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r2_balanced.json,2f75d689f03d5feacbd36c4fd3fa562d3234fc0c55964111c492dcae4bd3c8fc,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V08_compact_r2_surplus,cb443_V08_compact_r2,8,compact,2,surplus,high,1798612083,437;430;438;433;427;423;432;413,91,81,10,50,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r2_surplus.json,afbb970f68aaa6f32dd2e2db3dcd1dc4401efdadc3c41aebe3b0c196508156d2,reference/citibike443-regional-v1/mappings/V08/cb443_V08_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V08_regional_r1_shortage,cb443_V08_regional_r1,8,regional,1,shortage,high,1752702760,370;411;344;382;377;333;398;396,126,143,-17,89,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_regional_r1_shortage.json,b5771a79dc1ff73959396c61f4bf1652e3558b573fa5a076ba9f82cfe81ff996,reference/citibike443-regional-v1/mappings/V08/cb443_V08_regional_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V08_regional_r1_balanced,cb443_V08_regional_r1,8,regional,1,balanced,moderate,1588428086,370;411;344;382;377;333;398;396,143,143,0,54,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_regional_r1_balanced.json,63dc237c78efe1196e6ce5f478ae387b3e8cc30482066c437fd603f3963dcb4b,reference/citibike443-regional-v1/mappings/V08/cb443_V08_regional_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V08_regional_r1_surplus,cb443_V08_regional_r1,8,regional,1,surplus,high,1680276220,370;411;344;382;377;333;398;396,160,143,17,89,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_regional_r1_surplus.json,b1ebac6b95cf218a04d8972b2f61a874c37622a2f22f30856c178db44bdaba0e,reference/citibike443-regional-v1/mappings/V08/cb443_V08_regional_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V08_regional_r2_shortage,cb443_V08_regional_r2,8,regional,2,shortage,high,1809285493,207;161;213;253;243;160;189;209,83,94,-11,59,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_regional_r2_shortage.json,581c7d99e0d1e43e65fe668f7bc1a0b29357a4d0d9f2fdbf2f86b2dc8c1170e4,reference/citibike443-regional-v1/mappings/V08/cb443_V08_regional_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
