12 2 [30, 30]
capacities = [100000, 24, 36, 27, 50, 39, 47, 21, 21, 25, 22, 49, 27]
initial     = [50000, 2, 21, 22, 27, 13, 23, 17, 17, 5, 22, 21, 5]
target      = [0, 9, 10, 20, 28, 11, 16, 1, 14, 6, 21, 16, 25]
weights    = [0.000000, 0.096181, 0.115312, 0.055938, 0.052121, 0.060795, 0.075977, 1.000000, 0.062723, 0.059896, 0.052827, 0.068555, 0.097500]
min_ratio  = [0.0000, 0.1556, 0.7000, 0.7000, 0.6750, 0.7000, 0.7000, 0.7000, 0.7000, 0.5833, 0.7000, 0.7000, 0.1400]
points = [(584400.000, 4511800.000), (584043.201, 4511582.567), (584673.849, 4511681.914), (584277.391, 4512233.824), (584048.859, 4511481.951), (584770.085, 4511808.841), (584330.931, 4512293.957), (584177.226, 4511518.203), (584782.938, 4511774.156), (584251.939, 4512170.808), (584035.619, 4511498.410), (584722.849, 4511755.948), (584272.180, 4512157.181)]
distances = [
{0.0000000000, 278.5539133055, 198.8160268490, 300.5448606611, 315.8446652544, 246.7937244889, 332.5083421579, 239.4788826553, 255.8727324103, 266.1834226286, 315.3340671316, 217.2270246182, 252.9086081404}
{278.5539133055, 0.0000000000, 425.6167949449, 461.3895130289, 67.1833061933, 507.5257070805, 511.5832874522, 99.1192886734, 509.4298224879, 416.1191211529, 56.3319028337, 467.6097019548, 412.3712628403}
{198.8160268490, 425.6167949449, 0.0000000000, 453.0310726965, 437.4662915110, 106.1902507034, 467.7080706660, 348.6071941949, 95.2400393977, 430.5166876809, 442.7245197717, 59.1872101650, 414.8449278412}
{300.5448606611, 461.3895130289, 453.0310726965, 0.0000000000, 523.8913726050, 433.7730732512, 53.6760210856, 481.7313418477, 455.5204298054, 45.3079368077, 516.0910562982, 435.5320124171, 51.2132967544}
{315.8446652544, 67.1833061933, 437.4662915110, 523.8913726050, 0.0000000000, 527.8989866235, 573.0690698026, 88.9251725215, 526.7323757600, 478.7787486460, 14.0822391054, 485.0369406819, 474.1344497270}
{246.7937244889, 507.5257070805, 106.1902507034, 433.7730732512, 527.8989866235, 0.0000000000, 436.2434433368, 440.1778635078, 24.6598984766, 421.3709827087, 531.5836762467, 47.2765346775, 405.1063753989}
{332.5083421579, 511.5832874522, 467.7080706660, 53.6760210856, 573.0690698026, 436.2434433368, 0.0000000000, 527.2231218762, 459.2280516258, 97.5372573033, 565.7263596685, 443.7483785539, 99.2401222113}
{239.4788826553, 99.1192886734, 348.6071941949, 481.7313418477, 88.9251725215, 440.1778635078, 527.2231218762, 0.0000000000, 438.3803346934, 437.9118726129, 95.3223893439, 396.7798959704, 430.6631303261}
{255.8727324103, 509.4298224879, 95.2400393977, 455.5204298054, 526.7323757600, 24.6598984766, 459.2280516258, 438.3803346934, 0.0000000000, 441.8610878268, 531.0457374222, 41.8580627306, 425.6142672987}
{266.1834226286, 416.1191211529, 430.5166876809, 45.3079368077, 478.7787486460, 421.3709827087, 97.5372573033, 437.9118726129, 441.8610878268, 0.0000000000, 470.8920200849, 418.3911236048, 16.2671203490}
{315.3340671316, 56.3319028337, 442.7245197717, 516.0910562982, 14.0822391054, 531.5836762467, 565.7263596685, 95.3223893439, 531.0457374222, 470.8920200849, 0.0000000000, 489.2674316858, 466.6382549264}
{217.2270246182, 467.6097019548, 59.1872101650, 435.5320124171, 485.0369406819, 47.2765346775, 443.7483785539, 396.7798959704, 41.8580627306, 418.3911236048, 489.2674316858, 0.0000000000, 402.2660633351}
{252.9086081404, 412.3712628403, 414.8449278412, 51.2132967544, 474.1344497270, 405.1063753989, 99.2401222113, 430.6631303261, 425.6142672987, 16.2671203490, 466.6382549264, 402.2660633351, 0.0000000000}
]
