scope,control,classification,occurrence_count,pass,evidence
C2_PaperExternalGiniTree,requested_leaf_quantum,forbidden_internal_scheduling_control,0,True,
C2_PaperExternalGiniTree,legacy_launch_planner,forbidden_internal_scheduling_control,0,True,
C2_PaperExternalGiniTree,split_after_attempts,forbidden_internal_scheduling_control,0,True,
C2_PaperExternalGiniTree,gurobi_work_limit,forbidden_internal_scheduling_control,0,True,
C2_PaperExternalGiniTree,gurobi_node_limit,forbidden_internal_scheduling_control,0,True,
C2_PaperExternalGiniTree,gurobi_solution_limit,forbidden_internal_scheduling_control,0,True,
C2_PaperExternalGiniTree,retry_control,forbidden_internal_scheduling_control,0,True,
C2_Gurobi_backend,Gurobi_WorkLimit_parameter,forbidden_native_limit_parameter,0,True,
C2_Gurobi_backend,Gurobi_NodeLimit_parameter,forbidden_native_limit_parameter,0,True,
C2_Gurobi_backend,Gurobi_SolutionLimit_parameter,forbidden_native_limit_parameter,0,True,
C2_Gurobi_backend,TimeLimit,allowed_remaining_overall_deadline_only,2,True,every paper event receives global_deadline_remaining_seconds
C2_generation_HGA_loop,wall_clock_stop,forbidden_production_HGA_condition,0,True,production predicate is generation counter only; tokens=
C2_PaperExternalGiniTree,metric_decision_predicate,forbidden_seconds_work_nodes_attempt_retry_predicate,0,True,
C2_PaperExternalGiniTree,instance_dispatch,forbidden_instance_family_seed_size_path_dispatch,0,True,
C2_frozen_command,production_interface,required_generation_and_LP_event_interface,0,True,forbidden=;missing=
