12 2 [20, 20]
capacities = [100000, 44, 38, 27, 22, 22, 26, 22, 27, 36, 32, 28, 22]
initial     = [50000, 10, 10, 14, 20, 18, 25, 9, 8, 36, 6, 12, 14]
target      = [0, 6, 29, 23, 16, 6, 11, 18, 27, 23, 14, 4, 5]
weights    = [0.000000, 0.366667, 0.361207, 0.235870, 0.168750, 1.000000, 0.654545, 0.287500, 0.384259, 0.318478, 0.321429, 1.000000, 0.905000]
min_ratio  = [0.0000, 0.7000, 0.2414, 0.4261, 0.7000, 0.7000, 0.7000, 0.3500, 0.2074, 0.7000, 0.3000, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584025.303, 4511587.465), (584695.616, 4511866.412), (584398.068, 4512144.040), (584219.686, 4511526.232), (584796.931, 4511707.494), (584420.662, 4512183.957), (584089.012, 4511551.982), (584740.878, 4511679.848), (584414.847, 4512309.864), (584042.923, 4511561.647), (584786.913, 4511663.824), (584364.434, 4512333.038)]
distances = [
{0.0000, 430.7774, 302.9844, 344.0451, 327.8143, 407.5675, 384.5127, 397.7768, 361.4334, 510.0804, 429.3209, 410.1778, 534.2235}
{430.7774, 0.0000, 726.0384, 669.8727, 203.7993, 780.9076, 715.6199, 72.9237, 721.5138, 820.7347, 31.2574, 765.4287, 819.0787}
{302.9844, 726.0384, 0.0000, 406.9546, 585.0065, 188.4662, 420.0414, 683.2533, 191.9758, 524.8630, 720.3408, 222.2098, 572.2074}
{344.0451, 669.8727, 406.9546, 0.0000, 643.0449, 591.3234, 45.8681, 667.8680, 577.0548, 166.6713, 682.1360, 617.9061, 191.9679}
{327.8143, 203.7993, 585.0065, 643.0449, 0.0000, 605.0354, 687.7455, 133.1868, 543.3592, 807.5689, 180.2759, 583.6769, 819.6882}
{407.5675, 780.9076, 188.4662, 591.3234, 605.0354, 0.0000, 607.1204, 724.7986, 62.4999, 713.3285, 767.9841, 44.8047, 760.4987}
{384.5127, 715.6199, 420.0414, 45.8681, 687.7455, 607.1204, 0.0000, 713.7114, 597.2136, 126.0413, 727.9814, 636.1438, 159.3320}
{397.7768, 72.9237, 683.2533, 667.8680, 133.1868, 724.7986, 713.7114, 0.0000, 664.2882, 824.9567, 47.0917, 706.8061, 828.1945}
{361.4334, 721.5138, 191.9758, 577.0548, 543.3592, 62.4999, 597.2136, 664.2882, 0.0000, 709.3774, 707.8933, 48.7447, 753.9010}
{510.0804, 820.7347, 524.8630, 166.6713, 807.5689, 713.3285, 126.0413, 824.9567, 709.3774, 0.0000, 835.5578, 745.5211, 55.4837}
{429.3209, 31.2574, 720.3408, 682.1360, 180.2759, 767.9841, 727.9814, 47.0917, 707.8933, 835.5578, 0.0000, 750.9741, 835.7119}
{410.1778, 765.4287, 222.2098, 617.9061, 583.6769, 44.8047, 636.1438, 706.8061, 48.7447, 745.5211, 750.9741, 0.0000, 791.4141}
{534.2235, 819.0787, 572.2074, 191.9679, 819.6882, 760.4987, 159.3320, 828.1945, 753.9010, 55.4837, 835.7119, 791.4141, 0.0000}
]
