20 3 [20, 20, 20]
capacities = [100000, 40, 20, 34, 33, 48, 49, 44, 38, 49, 41, 31, 29, 38, 37, 26, 34, 38, 40, 23, 20]
initial     = [50000, 34, 7, 6, 14, 6, 45, 3, 12, 32, 26, 23, 0, 7, 25, 23, 23, 2, 31, 6, 1]
target      = [0, 39, 15, 5, 29, 38, 49, 26, 9, 29, 26, 19, 1, 35, 28, 14, 6, 15, 33, 16, 6]
weights    = [0.000000, 0.092986, 0.228824, 0.117059, 0.223428, 0.332353, 0.077371, 0.346606, 0.161765, 0.084686, 0.050000, 0.120588, 0.385294, 0.318235, 0.085924, 0.265546, 1.000000, 0.340588, 0.070321, 0.259559, 0.329412]
min_ratio  = [0.0000, 0.6103, 0.3267, 0.7000, 0.3379, 0.1105, 0.6429, 0.0808, 0.7000, 0.7000, 0.7000, 0.7000, 0.0000, 0.1400, 0.6250, 0.7000, 0.7000, 0.0933, 0.6576, 0.2625, 0.1167]
points = [(584400.000, 4511800.000), (584213.827, 4511468.598), (584708.313, 4511825.567), (584413.142, 4512185.727), (584068.363, 4511515.272), (584605.539, 4511761.049), (584406.644, 4512324.048), (584122.023, 4511519.501), (584609.228, 4511817.417), (584395.860, 4512315.667), (584036.319, 4511388.728), (584718.468, 4511677.757), (584248.331, 4512157.029), (584087.181, 4511470.032), (584701.838, 4511708.781), (584311.189, 4512269.321), (584138.487, 4511386.611), (584592.692, 4511861.480), (584347.161, 4512322.325), (584089.606, 4511524.051), (584742.016, 4511807.060)]
distances = [
{0.0000, 380.1148, 309.3713, 385.9506, 437.0960, 209.1975, 524.0901, 394.9066, 209.9517, 515.6833, 549.0068, 341.1239, 387.9092, 454.6807, 315.3207, 477.6500, 489.1625, 202.2627, 524.9907, 415.3217, 342.0890}
{380.1148, 0.0000, 609.8710, 744.3114, 152.7684, 488.8414, 876.9106, 104.9722, 527.2723, 866.4068, 194.6495, 546.2688, 689.2951, 126.6545, 543.9137, 806.6200, 111.3471, 545.7974, 864.0757, 136.0365, 627.3274}
{309.3713, 609.8710, 0.0000, 465.6622, 711.2092, 121.3464, 582.6557, 661.3720, 99.4197, 581.2268, 801.5012, 148.1588, 566.9665, 715.6885, 116.9653, 595.5043, 719.2944, 121.0698, 614.1653, 688.2660, 38.4500}
{385.9506, 744.3114, 465.6622, 0.0000, 753.9111, 466.2272, 138.4736, 727.0540, 417.2552, 131.0840, 881.5909, 592.6703, 167.2907, 786.4282, 557.5150, 131.8423, 844.9983, 370.6405, 151.6985, 736.5392, 501.5446}
{437.0960, 152.7684, 711.2092, 753.9111, 0.0000, 590.7322, 876.6711, 53.8256, 619.5370, 864.8040, 130.5382, 670.1027, 666.5140, 48.9973, 662.3714, 792.1831, 146.5301, 628.3160, 853.8517, 22.9854, 734.1309}
{209.1975, 488.8414, 121.3464, 466.2272, 590.7322, 0.0000, 597.0987, 540.4944, 56.4883, 592.9298, 680.1727, 140.3233, 533.2899, 594.4632, 109.5693, 587.3519, 598.6171, 101.2491, 617.8911, 567.7634, 144.0239}
{524.0901, 876.9106, 582.6557, 138.4736, 876.6711, 597.0987, 0.0000, 853.4080, 545.6328, 13.6576, 1005.9642, 717.5842, 230.1265, 911.8111, 682.4171, 110.0306, 975.0369, 498.5810, 59.5074, 860.5276, 616.2396}
{394.9066, 104.9722, 661.3720, 727.0540, 53.8256, 540.4944, 853.4080, 0.0000, 571.0719, 841.9425, 156.3542, 617.0837, 649.9204, 60.5069, 609.9286, 773.3136, 133.9063, 581.7903, 833.7949, 32.7344, 683.4341}
{209.9517, 527.2723, 99.4197, 417.2552, 619.5370, 56.4883, 545.6328, 571.0719, 0.0000, 542.0133, 715.5410, 177.3091, 495.5636, 627.0641, 142.7531, 541.3358, 638.1155, 47.0636, 568.8680, 596.7164, 133.1915}
{515.6833, 866.4068, 581.2268, 131.0840, 864.8040, 592.9298, 13.6576, 841.9425, 542.0133, 0.0000, 994.2260, 714.8463, 216.6350, 900.2115, 679.6563, 96.5257, 964.0469, 495.0033, 49.1520, 848.7913, 615.2274}
{549.0068, 194.6495, 801.5012, 881.5909, 130.5382, 680.1727, 1005.9642, 156.3542, 715.5410, 994.2260, 0.0000, 740.8542, 797.0170, 95.9026, 738.4777, 922.4951, 102.1898, 730.0999, 983.9848, 145.4369, 820.3718}
