10 1 [20]
capacities = [100000, 32, 48, 50, 43, 44, 29, 24, 43, 23, 49]
initial     = [50000, 19, 40, 27, 9, 15, 26, 18, 14, 4, 2]
target      = [0, 7, 22, 50, 11, 24, 28, 1, 34, 5, 22]
weights    = [0.000000, 0.145798, 0.095722, 0.075706, 0.060160, 0.070956, 0.053992, 1.000000, 0.082872, 0.061176, 0.100802]
min_ratio  = [0.0000, 0.7000, 0.7000, 0.3780, 0.5727, 0.4375, 0.6500, 0.7000, 0.2882, 0.5600, 0.0636]
points = [(584400.000, 4511800.000), (584096.361, 4511457.476), (584666.281, 4511759.453), (584208.972, 4512257.276), (584100.171, 4511600.398), (584650.473, 4511725.587), (584429.963, 4512208.229), (584121.021, 4511418.674), (584644.798, 4511766.806), (584322.860, 4512212.113), (584102.401, 4511536.738)]
distances = [
{0.0000, 457.7326, 269.3500, 495.5730, 360.1919, 261.2927, 409.3273, 472.4814, 247.0383, 419.2703, 397.3308}
{457.7326, 0.0000, 644.9793, 807.6883, 142.9727, 615.5675, 821.5351, 45.9750, 629.6573, 787.8948, 79.4917}
{269.3500, 644.9793, 0.0000, 675.9868, 588.0292, 37.3736, 507.1946, 642.9917, 22.7062, 568.1889, 606.2688}
{495.5730, 807.6883, 675.9868, 0.0000, 665.8271, 691.0972, 226.3673, 843.2009, 656.1282, 122.5156, 728.3760}
{360.1919, 142.9727, 588.0292, 665.8271, 0.0000, 564.3617, 691.5351, 182.9160, 569.4823, 650.9878, 63.6990}
{261.2927, 615.5675, 37.3736, 691.0972, 564.3617, 0.0000, 530.6300, 611.9762, 41.6080, 586.5470, 579.6951}
{409.3273, 821.5351, 507.1946, 226.3673, 691.5351, 530.6300, 0.0000, 847.8454, 490.9261, 107.1729, 747.1255}
{472.4814, 45.9750, 642.9917, 843.2009, 182.9160, 611.9762, 847.8454, 0.0000, 628.9186, 818.7086, 119.5231}
{247.0383, 629.6573, 22.7062, 656.1282, 569.4823, 41.6080, 490.9261, 628.9186, 0.0000, 549.4925, 589.1737}
{419.2703, 787.8948, 568.1889, 122.5156, 650.9878, 586.5470, 107.1729, 818.7086, 549.4925, 0.0000, 710.4456}
{397.3308, 79.4917, 606.2688, 728.3760, 63.6990, 579.6951, 747.1255, 119.5231, 589.1737, 710.4456, 0.0000}
]
