10 1 [20]
capacities = [100000, 39, 35, 28, 43, 47, 29, 36, 30, 46, 46]
initial     = [50000, 3, 1, 26, 42, 42, 26, 0, 1, 45, 1]
target      = [0, 34, 32, 2, 10, 15, 1, 27, 29, 15, 36]
weights    = [0.000000, 0.084647, 0.086813, 0.506000, 0.171600, 0.118400, 1.000000, 0.088000, 0.086690, 0.126000, 0.086944]
min_ratio  = [0.0000, 0.0618, 0.0219, 0.7000, 0.7000, 0.7000, 0.7000, 0.0000, 0.0241, 0.7000, 0.0194]
points = [(584400.000, 4511800.000), (584191.574, 4511424.774), (584734.261, 4511679.105), (584324.254, 4512182.241), (584073.245, 4511548.684), (584660.070, 4511802.666), (584300.057, 4512166.605), (584116.972, 4511569.395), (584749.366, 4511695.319), (584398.260, 4512210.214), (584121.140, 4511470.432)]
distances = [
{0.0000, 429.2268, 355.4518, 389.6738, 412.2235, 260.0836, 379.9843, 365.0803, 364.7122, 410.2180, 431.7153}
{429.2268, 0.0000, 599.3277, 768.9991, 171.3339, 601.9055, 749.7210, 162.7288, 619.9409, 812.1792, 83.9376}
{355.4518, 599.3277, 0.0000, 649.0388, 673.7593, 144.1230, 652.8318, 626.9631, 22.1595, 628.4690, 647.6590}
{389.6738, 768.9991, 649.0388, 0.0000, 681.4685, 506.8036, 28.8092, 646.9512, 646.3852, 79.1165, 740.2214}
{412.2235, 171.3339, 673.7593, 681.4685, 0.0000, 639.4291, 658.2323, 48.3832, 691.8391, 737.0594, 91.7462}
{260.0836, 601.9055, 144.1230, 506.8036, 639.4291, 0.0000, 511.9194, 591.0760, 139.6322, 484.3969, 633.1072}
{379.9843, 749.7210, 652.8318, 28.8092, 658.2323, 511.9194, 0.0000, 624.6440, 651.1450, 107.4505, 718.7968}
{365.0803, 162.7288, 626.9631, 646.9512, 48.3832, 591.0760, 624.6440, 0.0000, 644.8099, 699.8374, 99.0512}
{364.7122, 619.9409, 22.1595, 646.3852, 691.8391, 139.6322, 651.1450, 644.8099, 0.0000, 623.2117, 667.2650}
{410.2180, 812.1792, 628.4690, 79.1165, 737.0594, 484.3969, 107.4505, 699.8374, 623.2117, 0.0000, 789.9834}
{431.7153, 83.9376, 647.6590, 740.2214, 91.7462, 633.1072, 718.7968, 99.0512, 667.2650, 789.9834, 0.0000}
]
