12 1 [30]
capacities = [100000, 31, 32, 43, 45, 48, 22, 41, 25, 46, 36, 46, 28]
initial     = [50000, 13, 15, 23, 29, 26, 11, 18, 8, 21, 15, 26, 20]
target      = [0, 10, 19, 21, 25, 30, 7, 16, 12, 19, 18, 30, 18]
weights    = [0.000000, 0.548750, 0.400000, 0.208333, 0.316000, 0.271667, 1.000000, 0.257812, 0.604167, 0.225000, 0.327083, 0.271667, 0.234722]
min_ratio  = [0.0000, 0.7000, 0.5526, 0.7000, 0.7000, 0.6067, 0.7000, 0.7000, 0.4667, 0.7000, 0.5833, 0.6067, 0.7000]
points = [(584400.000, 4511800.000), (584410.459, 4512238.586), (584554.583, 4511672.810), (584169.548, 4511495.125), (584640.107, 4511866.423), (584380.859, 4512279.663), (584596.049, 4511526.855), (584142.704, 4511439.398), (584606.650, 4511890.907), (584324.066, 4512218.928), (584484.876, 4511660.593), (584202.367, 4511548.257), (584769.635, 4511739.649)]
distances = [
{0.0000, 438.7107, 200.1829, 382.1743, 249.1254, 480.0449, 336.2191, 442.9841, 225.7611, 425.7538, 163.2122, 320.0522, 374.5298}
{438.7107, 0.0000, 583.8441, 781.5197, 437.3142, 50.6309, 735.5302, 842.8485, 399.2139, 88.6010, 582.7640, 721.0107, 614.7735}
{200.1829, 583.8441, 0.0000, 424.0573, 211.6605, 631.2293, 151.7312, 473.4196, 224.2251, 592.7750, 70.7700, 373.5910, 225.1991}
{382.1743, 781.5197, 424.0573, 0.0000, 599.4069, 812.4980, 427.6794, 61.8548, 589.6622, 740.1127, 356.1062, 62.4511, 647.9945}
{249.1254, 437.3142, 211.6605, 599.4069, 0.0000, 487.8289, 342.4144, 655.5611, 41.4592, 473.4357, 257.8037, 541.1528, 181.2438}
{480.0449, 50.6309, 631.2293, 812.4980, 487.8289, 0.0000, 782.9603, 873.3628, 449.5698, 83.1517, 627.7478, 752.8706, 665.4044}
{336.2191, 735.5302, 151.7312, 427.6794, 342.4144, 782.9603, 0.0000, 461.7037, 364.2061, 743.5987, 173.9115, 394.2634, 274.6150}
{442.9841, 842.8485, 473.4196, 61.8548, 655.5611, 873.3628, 461.7037, 0.0000, 647.3837, 800.3488, 407.4420, 124.1366, 695.1211}
{225.7611, 399.2139, 224.2251, 589.6622, 41.4592, 449.5698, 364.2061, 647.3837, 0.0000, 432.9562, 260.5249, 529.9561, 222.3587}
{425.7538, 88.6010, 592.7750, 740.1127, 473.4357, 83.1517, 743.5987, 800.3488, 432.9562, 0.0000, 581.0313, 681.6229, 654.4008}
{163.2122, 582.7640, 70.7700, 356.1062, 257.8037, 627.7478, 173.9115, 407.4420, 260.5249, 581.0313, 0.0000, 304.0245, 295.5294}
{320.0522, 721.0107, 373.5910, 62.4511, 541.1528, 752.8706, 394.2634, 124.1366, 529.9561, 681.6229, 304.0245, 0.0000, 598.6856}
{374.5298, 614.7735, 225.1991, 647.9945, 181.2438, 665.4044, 274.6150, 695.1211, 222.3587, 654.4008, 295.5294, 598.6856, 0.0000}
]
