16 2 [30, 30]
capacities = [100000, 46, 30, 27, 45, 46, 42, 34, 47, 41, 32, 37, 39, 39, 22, 39, 25]
initial     = [50000, 28, 15, 15, 14, 21, 18, 16, 19, 16, 24, 12, 22, 25, 16, 22, 15]
target      = [0, 24, 16, 16, 19, 17, 17, 18, 20, 17, 21, 14, 21, 18, 13, 13, 15]
weights    = [0.000000, 0.278704, 0.135764, 0.135764, 0.411111, 0.372876, 0.130719, 0.202469, 0.118611, 0.130719, 0.246032, 0.246032, 0.115344, 0.583642, 0.366667, 1.000000, 0.050000]
min_ratio  = [0.0000, 0.7000, 0.6562, 0.6562, 0.5158, 0.7000, 0.7000, 0.6222, 0.6650, 0.6588, 0.7000, 0.6000, 0.7000, 0.7000, 0.7000, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584179.367, 4511480.909), (584635.739, 4511765.089), (584348.501, 4512279.727), (584490.218, 4511672.501), (584216.681, 4511464.887), (584759.879, 4511727.838), (584229.687, 4512266.483), (584578.126, 4511573.664), (584101.679, 4511540.339), (584700.045, 4511897.868), (584267.071, 4512180.457), (584451.374, 4511636.468), (584090.545, 4511590.724), (584654.160, 4511886.984), (584319.238, 4512307.550), (584547.302, 4511683.303)]
distances = [
{0.0000, 387.9405, 238.3100, 482.4838, 156.1898, 381.9771, 367.0428, 496.6012, 288.0226, 395.4984, 315.6029, 403.0105, 171.4114, 373.5764, 268.6326, 513.9352, 187.9256}
{387.9405, 0.0000, 537.6187, 816.5273, 365.1523, 40.6085, 630.8475, 787.1836, 409.4053, 97.8122, 667.0534, 705.0239, 313.3474, 141.2394, 624.7599, 838.3905, 419.9282}
{238.3100, 537.6187, 0.0000, 589.3710, 172.4784, 515.4911, 129.6088, 645.1927, 199.9072, 579.4242, 147.5309, 555.3793, 224.7972, 572.3989, 123.2784, 628.0417, 120.4577}
{482.4838, 816.5273, 589.3710, 0.0000, 623.5442, 825.4340, 688.3414, 119.5496, 742.4645, 779.4974, 519.0379, 128.3957, 651.4331, 735.7090, 497.6698, 40.3782, 628.6842}
{156.1898, 365.1523, 172.4784, 623.5442, 0.0000, 343.4041, 275.2801, 648.6067, 132.2749, 410.4015, 307.9241, 554.8094, 52.9835, 407.9544, 269.9620, 657.6632, 58.0968}
{381.9771, 40.6085, 515.4911, 825.4340, 343.4041, 0.0000, 603.4962, 801.7013, 377.4590, 137.5439, 648.9323, 717.3417, 290.7250, 178.1718, 607.9090, 848.8807, 396.2524}
{367.0428, 630.8475, 129.6088, 688.3414, 275.2801, 603.4962, 0.0000, 755.8054, 238.3354, 684.3851, 180.2501, 669.1214, 321.7512, 683.2345, 191.0598, 728.1692, 217.1921}
{496.6012, 787.1836, 645.1927, 119.5496, 648.6067, 801.7013, 755.8054, 0.0000, 775.5050, 737.3405, 597.5901, 93.7979, 667.8797, 689.9357, 569.3829, 98.5183, 664.0616}
{288.0226, 409.4053, 199.9072, 742.4645, 132.2749, 377.4590, 238.3354, 775.5050, 0.0000, 477.6110, 346.3700, 681.8746, 141.4587, 487.8803, 322.4132, 778.2106, 113.8898}
{395.4984, 97.8122, 579.4242, 779.4974, 410.4015, 137.5439, 684.3851, 737.3405, 477.6110, 0.0000, 697.0426, 661.1393, 362.6669, 51.6003, 652.2249, 797.4612, 467.9940}
{315.6029, 667.0534, 147.5309, 519.0379, 307.9241, 648.9323, 180.2501, 597.5901, 346.3700, 697.0426, 0.0000, 517.0331, 360.7864, 682.5164, 47.1584, 559.3333, 263.3787}
{403.0105, 705.0239, 555.3793, 128.3957, 554.8094, 717.3417, 669.1214, 93.7979, 681.8746, 661.1393, 517.0331, 0.0000, 574.3613, 615.5866, 485.7615, 137.3828, 570.6935}
{171.4114, 313.3474, 224.7972, 651.4331, 52.9835, 290.7250, 321.7512, 667.8797, 141.4587, 362.6669, 360.7864, 574.3613, 0.0000, 363.7177, 322.3042, 683.9665, 106.7505}
{373.5764, 141.2394, 572.3989, 735.7090, 407.9544, 178.1718, 683.2345, 689.9357, 487.8803, 51.6003, 682.5164, 615.5866, 363.7177, 0.0000, 636.7357, 752.4232, 466.0456}
{268.6326, 624.7599, 123.2784, 497.6698, 269.9620, 607.9090, 191.0598, 569.3829, 322.4132, 652.2249, 47.1584, 485.7615, 322.3042, 636.7357, 0.0000, 537.6325, 230.0094}
{513.9352, 838.3905, 628.0417, 40.3782, 657.6632, 848.8807, 728.1692, 98.5183, 778.2106, 797.4612, 559.3333, 137.3828, 683.9665, 752.4232, 537.6325, 0.0000, 664.6030}
{187.9256, 419.9282, 120.4577, 628.6842, 58.0968, 396.2524, 217.1921, 664.0616, 113.8898, 467.9940, 263.3787, 570.6935, 106.7505, 466.0456, 230.0094, 664.6030, 0.0000}
]
