12 2 [24, 24]
capacities = [100000, 28, 28, 42, 31, 42, 46, 30, 30, 34, 33, 45, 22]
initial     = [50000, 26, 19, 40, 7, 36, 42, 3, 9, 21, 13, 40, 19]
target      = [0, 18, 10, 3, 4, 7, 37, 28, 24, 20, 20, 4, 10]
weights    = [0.000000, 0.084234, 0.119324, 1.000000, 0.107770, 0.369112, 0.060409, 0.118774, 0.098142, 0.053851, 0.076959, 0.743243, 0.119324]
min_ratio  = [0.0000, 0.7000, 0.7000, 0.7000, 0.7000, 0.7000, 0.7000, 0.0750, 0.2625, 0.7000, 0.4550, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584485.077, 4511593.372), (584091.673, 4511446.680), (584645.823, 4511818.796), (584346.181, 4512321.204), (584532.399, 4511614.830), (584093.095, 4511439.277), (584682.112, 4511896.621), (584399.801, 4512299.898), (584428.623, 4511539.200), (584120.425, 4511457.555), (584614.421, 4511881.641), (584368.630, 4512184.154)]
distances = [
{0.0000, 223.4576, 468.9354, 246.5404, 523.9753, 227.6345, 473.6154, 298.1993, 499.8980, 262.3662, 442.0753, 229.4374, 385.4325}
{223.4576, 0.0000, 419.8636, 276.8663, 740.9667, 51.9592, 421.1831, 361.6389, 711.6537, 78.2413, 389.1240, 315.9570, 602.1488}
{468.9354, 419.8636, 0.0000, 667.4969, 910.8055, 471.7134, 7.5384, 742.3376, 907.1514, 349.4213, 30.7400, 680.0414, 787.7641}
{246.5404, 276.8663, 667.4969, 0.0000, 584.9780, 233.3819, 670.4791, 85.8702, 540.3574, 354.0474, 637.6029, 70.2542, 458.6095}
{523.9753, 740.9667, 910.8055, 584.9780, 0.0000, 730.5078, 917.5226, 541.4058, 57.6979, 786.3379, 892.6675, 514.9447, 138.8766}
{227.6345, 51.9592, 471.7134, 233.3819, 730.5078, 0.0000, 473.0817, 319.0931, 697.7826, 128.4106, 440.9735, 279.1342, 592.4105}
{473.6154, 421.1831, 7.5384, 670.4791, 917.5226, 473.0817, 0.0000, 745.7240, 913.6393, 350.0907, 32.8787, 683.7150, 794.2042}
{298.1993, 361.6389, 742.3376, 85.8702, 541.4058, 319.0931, 745.7240, 0.0000, 492.2720, 438.1855, 712.9313, 69.3290, 425.3779}
{499.8980, 711.6537, 907.1514, 540.3574, 57.6979, 697.7826, 913.6393, 492.2720, 0.0000, 761.2439, 887.4640, 470.1067, 119.8683}
{262.3662, 78.2413, 349.4213, 354.0474, 786.3379, 128.4106, 350.0907, 438.1855, 761.2439, 0.0000, 318.8289, 389.5982, 647.7382}
{442.0753, 389.1240, 30.7400, 637.6029, 892.6675, 440.9735, 32.8787, 712.9313, 887.4640, 318.8289, 0.0000, 651.0611, 767.8221}
{229.4374, 315.9570, 680.0414, 70.2542, 514.9447, 279.1342, 683.7150, 69.3290, 470.1067, 389.5982, 651.0611, 0.0000, 389.7784}
{385.4325, 602.1488, 787.7641, 458.6095, 138.8766, 592.4105, 794.2042, 425.3779, 119.8683, 647.7382, 767.8221, 389.7784, 0.0000}
]
