"sample","instance","interval","vehicle","mask","mask_stations","pickup_stations","drop_stations","total_pickup","total_drop","Q","aggregate_pickup_before_drop_sequence_possible","exact_route_duration_checked","best_checked_load_feasible_duration","conclusion"
"V10_M1_final_interval_28","test_data_V10_M1_average.txt","[0.240588,0.242662]","0","566","2 3 5 6 10","3 5","2 6 10","19","19","30","True","no","not_available","sample is not a proved load-order infeasibility; weakness remains branch-price/bound closure"
"V10_M2_low_final_interval_22","test_data_V10_M2_low.txt","[0.617778,0.631208]","0","482","2 6 7 8 9","7 8 9","2 6","19","19","60","True","no","not_available","sample is not a proved load-order infeasibility; weakness remains branch-price/bound closure"
"V10_M2_low_final_interval_22","test_data_V10_M2_low.txt","[0.617778,0.631208]","1","532","3 5 10","10","3 5","23","23","60","True","no","not_available","sample is not a proved load-order infeasibility; weakness remains branch-price/bound closure"
"V12_M2_final_interval_9","test_data_V12_M2_average.txt","[0.233914,0.259905]","0","420","3 6 8 9","6 9","3 8","23","23","60","True","no","not_available","sample is not a proved load-order infeasibility; weakness remains branch-price/bound closure"
"V12_M2_final_interval_9","test_data_V12_M2_average.txt","[0.233914,0.259905]","1","3","1 2","2","1","24","24","60","True","no","not_available","sample is not a proved load-order infeasibility; weakness remains branch-price/bound closure"
"V10_M1_pool_bounds_1200s_summary","test_data_V10_M1_average.txt","remaining final-closure intervals 35/44 and retry interval 41","","","","","","","","30","not_proved_infeasible","no_new_support_sample","not_available","pool/local incumbent routes are exact-load-decoded; unresolved lower-bound intervals did not yield a proved load-order support cut"
"V10_M2_low_pool_bounds_1200s_summary","test_data_V10_M2_low.txt","18 unresolved intervals after 1200s","","","","","","","","60","not_proved_infeasible","no_new_support_sample","not_available","remaining gap is dominated by incumbent quality and interval lower-bound strength, not a documented load-order cut"
"V12_M1_pool_bounds_1200s_summary","test_data_V12_M1_average.txt","15 unresolved intervals after complete V12 masks","","","","","","","","","not_proved_infeasible","no_new_support_sample","not_available","complete route masks improve LB but no general load-order infeasibility certificate was derived"
"V12_M2_pool_bounds_1200s_summary","test_data_V12_M2_average.txt","14 unresolved intervals after complete V12 masks","","","","","","","","","not_proved_infeasible","no_new_support_sample","not_available","low-Gini route-mask bounds remain weak; no unsupported load-order cut added"
"V10_M1_closure3600_certificate","test_data_V10_M1_average.txt","final retry interval 71 [0.245632,0.245636]","","","","","","","","30","not_needed_for_cut","yes_for_incumbent_routes","certificate_closed_by_exact_pricing","final pure-BPC certificate closed by exact pricing/bounds; no load-order infeasibility cut was needed or added"
"V12_M1_closure3600_noncertified","test_data_V12_M1_average.txt","remaining intervals around G=0.47045","","","","","","","","30","not_proved_infeasible","incumbent_routes_verified","not_available","LB nearly reaches compact optimum but 26 intervals remain open; evidence points to route-mask/Gini bound and branch-price closure, not a proved load-order cut"
"V10_M2_low_strong_incumbent_smoke","test_data_V10_M2_low.txt","strong incumbent diagnostic","","","","","","","","60","verified_incumbent_routes_only","yes","not_reported","strong BPC-owned incumbent slightly improved UB to 0.830839158085; no lower-bound certificate and no load-order cut"
"V12_M2_strong_incumbent_smoke","test_data_V12_M2_average.txt","strong incumbent diagnostic","","","","","","","","60","verified_incumbent_routes_only","yes","not_reported","strong BPC-owned incumbent improved UB to 0.375567618892, but the lower bound remains weak; no load-order infeasibility certificate"
"V12_M1_closure7200_certificate","test_data_V12_M1_average.txt","final bound-certified frontier around G=0.47045","","","","","","","","30","not_needed_for_cut","yes_for_improved_incumbent","certificate_closed_by_verified_incumbent_and_valid_frontier_bounds","pure BPC closure came from improved verified incumbent and bound-fathomed frontier intervals; no load-order cut was needed or justified"
