10 3 [30, 30, 30]
capacities = [100000, 23, 41, 28, 26, 37, 22, 48, 20, 37, 40]
initial     = [50000, 5, 36, 26, 10, 23, 4, 10, 5, 5, 4]
target      = [0, 7, 21, 15, 12, 33, 8, 4, 2, 16, 2]
weights    = [0.000000, 0.230952, 0.502381, 0.514444, 0.155556, 0.241919, 0.366667, 1.000000, 1.000000, 0.485417, 0.683333]
min_ratio  = [0.0000, 0.5000, 0.7000, 0.7000, 0.5833, 0.4879, 0.3500, 0.7000, 0.7000, 0.2188, 0.7000]
points = [(584400.000, 4511800.000), (584025.783, 4511405.573), (584774.601, 4511811.427), (584320.924, 4512306.881), (584120.430, 4511579.344), (584697.398, 4511832.895), (584365.102, 4512171.551), (584037.707, 4511387.728), (584729.334, 4511867.167), (584264.924, 4512135.410), (584170.853, 4511450.685)]
distances = [
{0.0000, 543.7009, 374.7751, 513.0118, 356.1579, 299.2117, 373.1867, 548.8388, 336.1131, 361.5875, 417.7668}
{543.7009, 0.0000, 851.7308, 948.4005, 197.8744, 796.0342, 837.7705, 21.4620, 841.4582, 768.0167, 151.9226}
{374.7751, 851.7308, 0.0000, 671.7864, 694.1197, 80.1322, 545.3248, 850.0195, 71.8055, 603.9336, 703.3106}
{513.0118, 948.4005, 671.7864, 0.0000, 754.6574, 605.3056, 142.3576, 961.7967, 600.1223, 180.3838, 869.2483}
{356.1579, 197.8744, 694.1197, 754.6574, 0.0000, 630.2224, 640.7603, 208.7093, 673.5025, 574.5327, 138.1870}
{299.2117, 796.0342, 80.1322, 605.3056, 630.2224, 0.0000, 474.4564, 795.8427, 46.8447, 527.7776, 650.6410}
{373.1867, 837.7705, 545.3248, 142.3576, 640.7603, 474.4564, 0.0000, 849.4501, 474.6736, 106.4980, 746.5793}
{548.8388, 21.4620, 850.0195, 961.7967, 208.7093, 795.8427, 849.4501, 0.0000, 841.5512, 781.4442, 147.2804}
{336.1131, 841.4582, 71.8055, 600.1223, 673.5025, 46.8447, 474.6736, 841.5512, 0.0000, 536.3126, 696.6758}
{361.5875, 768.0167, 603.9336, 180.3838, 574.5327, 527.7776, 106.4980, 781.4442, 536.3126, 0.0000, 691.1566}
{417.7668, 151.9226, 703.3106, 869.2483, 138.1870, 650.6410, 746.5793, 147.2804, 696.6758, 691.1566, 0.0000}
]
