10 1 [30]
capacities = [100000, 44, 27, 39, 20, 31, 48, 47, 40, 39, 49]
initial     = [50000, 15, 24, 14, 5, 26, 23, 25, 21, 10, 29]
target      = [0, 16, 1, 27, 1, 6, 21, 14, 18, 12, 26]
weights    = [0.000000, 0.052582, 1.000000, 0.069887, 0.215217, 0.187681, 0.053934, 0.082453, 0.056884, 0.056884, 0.054766]
min_ratio  = [0.0000, 0.6562, 0.7000, 0.3630, 0.7000, 0.7000, 0.7000, 0.7000, 0.7000, 0.5833, 0.7000]
points = [(584400.000, 4511800.000), (584040.188, 4511434.723), (584657.825, 4511824.379), (584382.597, 4512185.842), (584170.540, 4511461.211), (584617.658, 4511756.396), (584377.186, 4512234.860), (584143.036, 4511494.669), (584762.739, 4511748.095), (584282.304, 4512166.834), (584102.816, 4511473.479)]
distances = [
{0.0000, 512.7296, 258.9750, 386.2346, 409.1821, 221.9826, 435.4581, 399.0712, 366.4338, 385.2525, 441.5139}
{512.7296, 0.0000, 730.2784, 825.4841, 133.0157, 661.0182, 868.2087, 119.0424, 787.5794, 771.1069, 73.6492}
{258.9750, 730.2784, 0.0000, 454.3197, 607.7315, 78.9618, 497.2458, 611.3236, 129.7157, 508.2242, 656.6323}
{386.2346, 825.4841, 454.3197, 0.0000, 755.0226, 489.5686, 49.3155, 731.5128, 579.7678, 102.0790, 765.3360}
{409.1821, 133.0157, 607.7315, 755.0226, 0.0000, 535.7696, 800.7719, 43.3115, 658.0289, 714.4193, 68.8266}
{221.9826, 661.0182, 78.9618, 489.5686, 535.7696, 0.0000, 535.4945, 542.0033, 145.3182, 530.0202, 587.4564}
{435.4581, 868.2087, 497.2458, 49.3155, 800.7719, 535.4945, 0.0000, 776.3438, 620.9603, 116.7484, 809.3083}
{399.0712, 119.0424, 611.3236, 731.5128, 43.3115, 542.0033, 776.3438, 0.0000, 669.5197, 686.4414, 45.4607}
{366.4338, 787.5794, 129.7157, 579.7678, 658.0289, 145.3182, 620.9603, 669.5197, 0.0000, 637.3072, 714.7815}
{385.2525, 771.1069, 508.2242, 102.0790, 714.4193, 530.0202, 116.7484, 686.4414, 637.3072, 0.0000, 716.2100}
{441.5139, 73.6492, 656.6323, 765.3360, 68.8266, 587.4564, 809.3083, 45.4607, 714.7815, 716.2100, 0.0000}
]
