parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason
L0,true,1,1,0,0,0.1624,,0,"normalized_child_disjunction_gain_reaches_rho"
L1,true,1,1,0,0,0.0381645,,0,"normalized_child_disjunction_gain_reaches_rho"
L2,true,1,0,0,0,0.00246125,0.167999,1,"small_positive_disjunction_gain_requires_parent_native_target"
L0.0,true,1,1,0,0,0.0932692,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1,true,1,1,0,0,0.0768269,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0,true,1,1,0,0,0.0494463,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.0.1,true,1,1,0,0,0.0515477,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.1,true,1,1,0,0,0.037835,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.0,true,1,1,0,0,0.0269835,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.1,true,1,1,0,0,0.0255023,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.0.1.1,true,1,1,0,0,0.027197,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.1.0,true,1,1,0,0,0.019546,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.0.1,true,1,1,0,0,0.0144079,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.1.0,true,1,1,0,0,0.0129997,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.0.0,true,1,1,0,0,0.0139267,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.1.1,true,1,1,0,0,0.0131534,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.0,true,1,1,0,0,0.0250668,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.0.1.1.1,true,1,1,0,0,0.0139839,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.1.0.0,true,1,1,0,0,0.0124351,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.1.1,true,1,1,0,0,0.0201857,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.0.1.1.0,true,1,1,0,0,0.0139992,,0,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.0.1.1,true,1,0,0,0,0.0073836,0.139096,1,"small_positive_disjunction_gain_requires_parent_native_target"
