name,requested_time_limit,actual_time_limit,command,reason,usable_for_paper_evidence
"v12_m2_ablation_plus_branching_1200s",1200,0,".\build\ExactEBRP.exe --method gcap-frontier --input reference\regen_candidate_V12_M2_average.txt --algorithm-preset paper-bpc-core --time-limit 1200 ...","user requested stop after current run completed",false
"v12_m2_ablation_full_paper_bpc_core_1200s",1200,0,".\build\ExactEBRP.exe --method gcap-frontier --input reference\regen_candidate_V12_M2_average.txt --algorithm-preset paper-bpc-core --time-limit 1200","user requested stop after current run completed",false
"v12_m2_ablation_paper_bpc_experimental_1200s",1200,0,".\build\ExactEBRP.exe --method gcap-frontier --input reference\regen_candidate_V12_M2_average.txt --algorithm-preset paper-bpc-experimental --time-limit 1200","user requested stop after current run completed",false
"v12_m1_ablation_full_paper_bpc_core_1200s",1200,0,".\build\ExactEBRP.exe --method gcap-frontier --input reference\regen_candidate_V12_M1_average.txt --algorithm-preset paper-bpc-core --time-limit 1200","user requested stop after current run completed",false
"v12_m1_ablation_paper_bpc_experimental_1200s",1200,0,".\build\ExactEBRP.exe --method gcap-frontier --input reference\regen_candidate_V12_M1_average.txt --algorithm-preset paper-bpc-experimental --time-limit 1200","user requested stop after current run completed",false
"v8_m2_paper_bpc_core_300s",300,0,".\build\ExactEBRP.exe --method gcap-frontier --input reference\generated\regen_V8_M2_average.txt --algorithm-preset paper-bpc-core --time-limit 300","user requested stop after current run completed",false
"v10_m2_paper_bpc_core_300s",300,0,".\build\ExactEBRP.exe --method gcap-frontier --input reference\generated\regen_V10_M2_average.txt --algorithm-preset paper-bpc-core --time-limit 300","user requested stop after current run completed",false
"v20_m2_paper_bpc_core_300s",300,0,".\build\ExactEBRP.exe --method gcap-frontier --input reference\generated\regen_V20_M2_average.txt --algorithm-preset paper-bpc-core --time-limit 300","user requested stop after current run completed",false
"v12_m2_plain_cplex_3600s",3600,0,".\build\ExactEBRP.exe --method cplex --input reference\regen_candidate_V12_M2_average.txt --plain-baseline --time-limit 3600","user requested stop after current run completed before CPLEX stage",false
"v12_m2_strengthened_compact_3600s",3600,0,".\build\ExactEBRP.exe --method tailored --input reference\regen_candidate_V12_M2_average.txt --algorithm-preset paper-exact-portfolio --time-limit 3600","user requested stop after current run completed before compact stage",false
"v12_m1_plain_cplex_3600s",3600,0,".\build\ExactEBRP.exe --method cplex --input reference\regen_candidate_V12_M1_average.txt --plain-baseline --time-limit 3600","user requested stop after current run completed before CPLEX stage",false
"v12_m1_strengthened_compact_3600s",3600,0,".\build\ExactEBRP.exe --method tailored --input reference\regen_candidate_V12_M1_average.txt --algorithm-preset paper-exact-portfolio --time-limit 3600","user requested stop after current run completed before compact stage",false
