audit_section,mechanism_name,formula,where_implemented,proof_source,audit_script,paper_safe,conditional_valid,diagnostic_only,audit_passed,failures,file,line,line_text,warning_only
global_optimality_logic,invariant_1,"Gini interval parent closure requires relaxation, exact fixed-interval Tailored-BC proof, or complete child coverage.",docs and audit scripts,docs/paper_strict_algorithm_audit.md,audit_paper_strict_algorithm.py,True,True,False,True,,,,,
global_optimality_logic,invariant_2,S-bucket parent closure requires exact S-domain coverage and closed/fathomed children.,docs and audit scripts,docs/paper_strict_algorithm_audit.md,audit_paper_strict_algorithm.py,True,True,False,True,,,,,
global_optimality_logic,invariant_3,Wrapper checkpoints remain diagnostic unless accepted by audited merge rules.,docs and audit scripts,docs/paper_strict_algorithm_audit.md,audit_paper_strict_algorithm.py,True,True,False,True,,,,,
global_optimality_logic,invariant_4,Plain CPLEX benchmark rows are benchmark-only and excluded from paper-gf-tailored-bc ledger.,docs and audit scripts,docs/paper_strict_algorithm_audit.md,audit_paper_strict_algorithm.py,True,True,False,True,,,,,
global_optimality_logic,invariant_5,"BPC, route-mask enumeration, archive, known-UB, and focus-only evidence are excluded from paper-gf-tailored-bc.",docs and audit scripts,docs/paper_strict_algorithm_audit.md,audit_paper_strict_algorithm.py,True,True,False,True,,,,,
global_optimality_logic,invariant_6,Default paper-facing preset remains paper-gf-tailored-bc.,docs and audit scripts,docs/paper_strict_algorithm_audit.md,audit_paper_strict_algorithm.py,True,True,False,True,,,,,
mechanism,direct Gini interval rows,gamma_L <= G <= gamma_U and H <= V gamma_U S,src/CplexBaseline.cpp,docs/gf_compact_bc_validity_proofs.md; docs/s_range_denominator_refinement.md,audit_low_gini_cut_validity.py,True,True,False,True,,,,,
mechanism,objective cutoff rows,G + lambda P <= UB - epsilon,src/CplexBaseline.cpp,docs/gf_compact_bc_validity_proofs.md,audit_bpc_certificate.py,True,True,False,True,,,,,
mechanism,S-bucket rows,S_L^b <= sum_i r_i <= S_U^b,src/CplexBaseline.cpp; scripts/run_tailored_bc_*s_bucket*.py,docs/s_range_denominator_refinement.md,audit_s_bucket_coverage.py; audit_s_bucket_ledger_merge.py,True,True,False,True,,,,,
mechanism,bucket-tight S*P McCormick,McCormick envelope for W_SP=S*P over bucket-local S and P bounds,src/CplexBaseline.cpp,docs/s_range_denominator_refinement.md,audit_low_gini_cut_validity.py,True,True,False,True,,,,,
mechanism,bucket-tight objective estimator,H + V*S_U^b*lambda*P <= V*S_U^b*(UB-epsilon),src/CplexBaseline.cpp,docs/s_range_denominator_refinement.md,audit_low_gini_cut_validity.py,True,True,False,True,,,,,
mechanism,local centering,V r_i - S <= sum_{j != i} h_ij and symmetric lower row,src/CplexBaseline.cpp,docs/low_gini_strengthening_cuts.md,audit_low_gini_cut_validity.py,True,True,False,True,,,,,
mechanism,local q-centering,q_i dominates |V r_i-S| and V q_i <= sum_{j != i} h_ij,src/CplexBaseline.cpp,docs/low_gini_strengthening_cuts.md,audit_low_gini_cut_validity.py,True,True,False,True,,,,,
mechanism,subset cross-H centering,"|V R_A - |A| S| <= sum_{i in A,j notin A} h_ij",src/CplexBaseline.cpp; src/TailoredBCCplexApi.cpp,docs/low_gini_strengthening_cuts.md,audit_low_gini_cut_validity.py,True,True,False,True,,,,,
mechanism,Gini subset-envelope,|V R_A - |A| S| <= V gamma_U S,src/CplexBaseline.cpp,docs/gf_compact_bc_validity_proofs.md,audit_low_gini_cut_validity.py,True,True,False,True,,,,,
mechanism,variable-S centering,(V-1)(r_max-r_min) <= V gamma_U S,src/CplexBaseline.cpp,docs/variable_s_low_gini_centering.md,audit_low_gini_cut_validity.py,True,True,False,True,,,,,
mechanism,basic transfer cutset,receiver net delivery cannot exceed compatible external pickup support,src/CplexBaseline.cpp; src/TailoredBCCplexApi.cpp,docs/receiver_set_source_cover_round2.md; docs/low_gini_strengthening_cuts.md,audit_transfer_cut_validity.py,True,True,False,True,,,,,
mechanism,compatible-source transfer cuts,"d[k,j] <= sum_{i in Compat_k(j)} p[k,i]",src/CplexBaseline.cpp,docs/receiver_set_source_cover_proof.md,audit_transfer_cut_validity.py,True,True,False,True,,,,,
mechanism,required external-source cuts,required receiver net delivery is covered by compatible outside pickups,src/CplexBaseline.cpp,docs/receiver_set_source_cover_pair_proof.md,audit_transfer_cut_validity.py,True,True,False,True,,,,,
mechanism,subset inventory movement bounds,subset inventory imbalance bounded by reachable pickup/drop movement,src/CplexBaseline.cpp,docs/low_gini_strengthening_cuts.md,audit_low_gini_cut_validity.py,True,True,False,True,,,,,
mechanism,bucket ratio-domain tightening,"r_i in [(1/V-gamma_U)S_L, (1/V+gamma_U)S_U]",src/CplexBaseline.cpp,docs/bucket_ratio_domain_tightening.md,audit_bucket_ratio_domain_tightening.py,True,True,False,True,,,,,
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\compare_main.cpp,619,"out << ""instance,method,method_scope,solves_original_objective,is_bpc,certificate_type,""",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,49,"<< ""Usage: ExactEBRP --method tailored|cplex|interval-cutoff-oracle|primal-heuristic|pricing|pricing-branch|cuts|branching|master|cg|gcap-cg|gcap-branch|gcap-tree|gcap-frontier|dominance-test|support-pruning-test|route-mask-support-test|rou",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,85,"<< ""[--external-incumbent <path>] [--external-incumbent-format auto|route_json|csv|legacy_text] [--export-incumbent <path>] """,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,144,"<< ""[--algorithm-preset paper-gf-tailored-bc|paper-gf-compact-bc|paper-gf-bpc-core|paper-bpc-core|paper-bpc-core-adaptive|paper-exact-v20-certificate|paper-exact-portfolio|paper-bpc-experimental|diagnostic-large] """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,973,"else if (arg == ""--external-incumbent"") opt.external_incumbent_path = requireValue(i, argc, argv);",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,974,"else if (arg == ""--external-incumbent-format"") opt.external_incumbent_format = requireValue(i, argc, argv);",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,2021,"sealed_rejections.push_back(""external_incumbent_json_requested"");",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,2026,if (!opt.external_incumbent_path.empty()) {,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,2027,"sealed_rejections.push_back(""external_incumbent_requested"");",True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2258,result.route_mask_all_subset_enumeration_certifying =,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2265,result.route_mask_all_subset_enumeration_certifying = false;,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2271,result.route_mask_all_subset_enumeration_certifying = false;,True
source_scan,instance-name mention,,,,,True,False,False,True,,src\main.cpp,2338,"name.find(""regen_candidate"") != std::string::npos) {",True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2367,snapshot.route_mask_all_subset_enumeration_certifying =,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2373,snapshot.route_mask_all_subset_enumeration_certifying = false;,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2377,snapshot.route_mask_all_subset_enumeration_certifying = false;,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,2409,"""route_load_bpc_certificate,all_subset_route_mask_enumeration,""",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,2410,"""archive_scanning,known_ub_injection,external_incumbent,""",True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,2422,"""route_load_bpc_certificate,all_subset_route_mask_enumeration,""",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,2423,"""archive_scanning,known_ub_injection,external_incumbent,""",True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2434,"""all_subset_route_mask_enumeration,interval_oracle_certificate,""",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,2435,"""compact_oracle_certificate,archive_scanning,hybrid_ng_dssr,""",True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,2442,"snapshot.preset_certificate_scope = ""core_bpc_certificate_when_frontier_closes"";",True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,2451,"""core_bpc_certificate_with_adaptive_relaxation_portfolio"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,2466,"""archive_scanning,hybrid_ng_dssr,two_track_relaxed_rmp,""",True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,2472,"""bpc_or_compact_module_certificate_when_gap_closes"";",True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2532,result.route_mask_all_subset_enumeration_certifying =,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2533,snapshot.route_mask_all_subset_enumeration_certifying;,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2651,const bool route_mask_in_certificate_text =,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,2711,result.bpc_core_certificate_valid =,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2715,!route_mask_in_certificate_text &&,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2716,!result.route_mask_all_subset_enumeration_certifying &&,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2722,!route_mask_in_certificate_text &&,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2731,!route_mask_in_certificate_text &&,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,2732,!result.route_mask_all_subset_enumeration_certifying &&,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,3139,result.relaxed_rmp_certificate_valid || bpc.relaxed_rmp_certificate_valid;,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,3140,if (!bpc.relaxed_rmp_certificate_rejection_reason.empty()) {,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,3142,bpc.relaxed_rmp_certificate_rejection_reason;,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,3216,if (bpc.relaxed_rmp_certificate_valid) {,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,4215,!result.route_mask_all_subset_enumeration_certifying);,True
