20 3 [30, 30, 30]
capacities = [100000, 35, 41, 22, 35, 33, 44, 33, 41, 40, 27, 21, 40, 32, 44, 49, 45, 45, 24, 39, 47]
initial     = [50000, 10, 32, 9, 7, 8, 26, 23, 11, 13, 8, 18, 15, 23, 26, 35, 14, 19, 2, 21, 19]
target      = [0, 24, 12, 4, 28, 22, 34, 28, 32, 12, 1, 21, 22, 12, 23, 12, 25, 34, 17, 20, 25]
weights    = [0.000000, 0.129167, 0.276190, 0.219643, 0.151786, 0.136364, 0.081933, 0.074235, 0.139063, 0.061310, 1.000000, 0.069388, 0.093182, 0.174405, 0.067702, 0.310119, 0.109714, 0.109874, 0.169748, 0.056786, 0.082571]
min_ratio  = [0.0000, 0.2917, 0.7000, 0.7000, 0.1750, 0.2545, 0.5353, 0.5750, 0.2406, 0.7000, 0.7000, 0.6000, 0.4773, 0.7000, 0.7000, 0.7000, 0.3920, 0.3912, 0.0824, 0.7000, 0.5320]
points = [(584400.000, 4511800.000), (584187.234, 4511430.141), (584657.423, 4511728.190), (584270.806, 4512290.312), (584059.954, 4511473.181), (584695.555, 4511727.589), (584338.943, 4512304.458), (584133.036, 4511517.817), (584704.741, 4511805.743), (584266.169, 4512294.273), (584198.508, 4511567.411), (584678.329, 4511748.926), (584314.583, 4512155.443), (584049.148, 4511582.486), (584726.484, 4511683.695), (584236.608, 4512244.738), (584093.157, 4511575.782), (584773.666, 4511745.849), (584403.508, 4512162.218), (584079.143, 4511568.745), (584768.855, 4511719.033)]
distances = [
{0.0000, 426.6911, 267.2508, 507.0469, 471.6374, 304.2959, 508.1400, 388.4543, 304.7950, 512.0706, 307.7283, 282.9761, 365.5622, 412.8069, 346.5819, 473.8025, 380.0346, 377.5689, 362.2347, 395.5099, 377.6365}
{426.6911, 0.0000, 556.6966, 864.2210, 134.3597, 588.9530, 887.3822, 103.0755, 639.4454, 867.7295, 137.7319, 585.4901, 736.3972, 205.6129, 595.8867, 816.0924, 173.3832, 666.0137, 763.3552, 175.7691, 649.4162}
{267.2508, 556.6966, 0.0000, 682.2409, 649.6139, 38.1370, 658.4177, 565.0114, 90.8481, 688.1342, 486.2636, 29.4458, 547.7988, 625.4819, 82.1549, 666.2627, 584.4859, 117.5768, 502.8441, 599.8584, 111.8076}
{507.0469, 864.2210, 682.2409, 0.0000, 843.8963, 705.0309, 69.5905, 784.6833, 650.4665, 6.0987, 726.5073, 677.6231, 141.7957, 741.7206, 758.7009, 56.9771, 736.2823, 741.1526, 184.4396, 746.5874, 757.8996}
{471.6374, 134.3597, 649.6139, 843.8963, 0.0000, 684.6250, 876.8450, 85.6351, 725.4979, 846.5908, 167.5605, 677.0693, 728.2288, 109.8378, 698.9840, 791.5222, 107.8397, 764.0236, 769.9357, 97.4717, 750.3218}
{304.2959, 588.9530, 38.1370, 705.0309, 684.6250, 0.0000, 678.1964, 600.3593, 78.6919, 710.9874, 522.2184, 27.4230, 572.8862, 662.4927, 53.6967, 691.4298, 621.2312, 80.2169, 523.6349, 636.5492, 73.7974}
{508.1400, 887.3822, 658.4177, 69.5905, 876.8450, 678.1964, 0.0000, 813.1433, 618.4864, 73.4840, 750.3077, 650.9981, 150.9936, 777.9625, 731.8031, 118.4859, 769.0125, 707.8331, 156.2084, 780.2373, 726.3241}
{388.4543, 103.0755, 565.0114, 784.6833, 85.6351, 600.3593, 813.1433, 0.0000, 640.1151, 787.7862, 82.1347, 592.2462, 662.9673, 105.9208, 616.1950, 734.2623, 70.3579, 680.0035, 698.8612, 74.1493, 666.8979}
{304.7950, 639.4454, 90.8481, 650.4665, 725.4979, 78.6919, 618.4864, 640.1151, 0.0000, 656.5114, 559.5297, 62.6553, 523.9403, 692.5645, 123.9697, 641.7671, 653.3886, 91.3117, 466.7072, 668.9848, 107.8384}
{512.0706, 867.7295, 688.1342, 6.0987, 846.5908, 710.9874, 73.4840, 787.7862, 656.5114, 0.0000, 730.0044, 683.5779, 147.0295, 744.1360, 764.6542, 57.6842, 739.0276, 747.2091, 190.5274, 749.2454, 763.9331}
{307.7283, 137.7319, 486.2636, 726.5073, 167.5605, 522.2184, 750.3077, 82.1347, 559.5297, 730.0044, 0.0000, 513.0064, 599.3791, 150.1193, 540.6299, 678.3984, 105.6834, 602.2011, 629.1426, 119.3731, 590.1559}
{282.9761, 585.4901, 29.4458, 677.6231, 677.0693, 27.4230, 650.9981, 592.2462, 62.6553, 683.5779, 513.0064, 0.0000, 545.4968, 650.8233, 81.0810, 664.0379, 610.2499, 95.3864, 496.3226, 625.6909, 95.3336}
{365.5622, 736.3972, 547.7988, 141.7957, 728.2288, 572.8862, 150.9936, 662.9673, 523.9403, 147.0295, 599.3791, 545.4968, 0.0000, 631.4550, 626.2660, 118.5483, 620.5129, 615.2428, 89.1829, 632.1758, 629.9335}
{412.8069, 205.6129, 625.4819, 741.7206, 109.8378, 662.4927, 777.9625, 105.9208, 692.5645, 744.1360, 150.1193, 650.8233, 631.4550, 0.0000, 684.8561, 688.2729, 44.5168, 742.7068, 679.4558, 32.9924, 732.5452}
{346.5819, 595.8867, 82.1549, 758.7009, 698.9840, 53.6967, 731.8031, 616.1950, 123.9697, 764.6542, 540.6299, 81.0810, 626.2660, 684.8561, 0.0000, 744.8142, 642.4552, 78.0336, 577.3196, 657.4683, 55.1726}
{473.8025, 816.0924, 666.2627, 56.9771, 791.5222, 691.4298, 118.4859, 734.2623, 641.7671, 57.6842, 678.3984, 664.0379, 118.5483, 688.2729, 744.8142, 0.0000, 684.1643, 733.0215, 186.1858, 694.0908, 748.0988}
{380.0346, 173.3832, 584.4859, 736.2823, 107.8397, 621.2312, 769.0125, 70.3579, 653.3886, 739.0276, 105.6834, 610.2499, 620.5129, 44.5168, 642.4552, 684.1643, 0.0000, 701.4376, 663.4943, 15.6817, 690.7154}
{377.5689, 666.0137, 117.5768, 741.1526, 764.0236, 80.2169, 707.8331, 680.0035, 91.3117, 747.2091, 602.2011, 95.3864, 615.2428, 742.7068, 78.0336, 733.0215, 701.4376, 0.0000, 557.1168, 716.7480, 27.2445}
{362.2347, 763.3552, 502.8441, 184.4396, 769.9357, 523.6349, 156.2084, 698.8612, 466.7072, 190.5274, 629.1426, 496.3226, 89.1829, 679.4558, 577.3196, 186.1858, 663.4943, 557.1168, 0.0000, 676.3302, 574.3611}
{395.5099, 175.7691, 599.8584, 746.5874, 97.4717, 636.5492, 780.2373, 74.1493, 668.9848, 749.2454, 119.3731, 625.6909, 632.1758, 32.9924, 657.4683, 694.0908, 15.6817, 716.7480, 676.3302, 0.0000, 705.8956}
{377.6365, 649.4162, 111.8076, 757.8996, 750.3218, 73.7974, 726.3241, 666.8979, 107.8384, 763.9331, 590.1559, 95.3336, 629.9335, 732.5452, 55.1726, 748.0988, 690.7154, 27.2445, 574.3611, 705.8956, 0.0000}
]
