10 3 [30, 30, 30]
capacities = [100000, 24, 46, 47, 32, 50, 33, 31, 32, 21, 35]
initial     = [50000, 14, 21, 26, 24, 35, 8, 25, 21, 7, 13]
target      = [0, 14, 26, 26, 18, 29, 13, 19, 12, 12, 22]
weights    = [0.000000, 0.150000, 0.367949, 0.150000, 0.527778, 0.384483, 0.585897, 0.507895, 1.000000, 0.622222, 0.613636]
min_ratio  = [0.000000, 0.650000, 0.525000, 0.650000, 0.650000, 0.650000, 0.400000, 0.650000, 0.650000, 0.379167, 0.384091]
points = [(584400.000, 4511800.000), (584743.373, 4511275.496), (584582.519, 4512217.784), (583568.447, 4511971.288), (584794.033, 4511344.705), (584806.692, 4512751.709), (583553.384, 4511828.967), (584782.653, 4511110.230), (584340.191, 4512434.329), (583406.659, 4511613.898), (584671.031, 4511370.873)]
distances = [
{0.0000, 626.9049, 455.9133, 849.0110, 602.1259, 1034.9631, 847.1110, 788.8006, 637.1425, 1010.6238, 507.5508}
{626.9049, 0.0000, 955.9194, 1365.4954, 85.7686, 1477.5707, 1312.4037, 169.8700, 1226.9681, 1378.8840, 119.7086}
{455.9133, 955.9194, 0.0000, 1043.6002, 898.3353, 579.0762, 1100.1348, 1125.4915, 324.9840, 1321.8643, 851.5240}
{849.0110, 1365.4954, 1043.6002, 0.0000, 1376.4688, 1463.6621, 143.1160, 1488.5286, 899.9970, 392.3050, 1255.4641}
{602.1259, 85.7686, 898.3353, 1376.4688, 0.0000, 1407.0615, 1331.8101, 234.7509, 1180.3619, 1413.2484, 125.7540}
{1034.9631, 1477.5707, 579.0762, 1463.6621, 1407.0615, 0.0000, 1556.3524, 1641.6555, 564.2283, 1804.0805, 1387.4840}
{847.1110, 1312.4037, 1100.1348, 143.1160, 1331.8101, 1556.3524, 0.0000, 1423.9680, 992.7372, 260.3518, 1207.8845}
{788.8006, 169.8700, 1125.4915, 1488.5286, 234.7509, 1641.6555, 1423.9680, 0.0000, 1396.0703, 1465.2788, 283.5391}
{637.1425, 1226.9681, 324.9840, 899.9970, 1180.3619, 564.2283, 992.7372, 1396.0703, 0.0000, 1242.8148, 1113.7299}
{1010.6238, 1378.8840, 1321.8643, 392.3050, 1413.2484, 1804.0805, 260.3518, 1465.2788, 1242.8148, 0.0000, 1287.5167}
{507.5508, 119.7086, 851.5240, 1255.4641, 125.7540, 1387.4840, 1207.8845, 283.5391, 1113.7299, 1287.5167, 0.0000}
]
