10 1 [20]
capacities = [100000, 47, 35, 25, 38, 50, 47, 32, 26, 37, 40]
initial     = [50000, 11, 13, 3, 16, 23, 25, 26, 22, 14, 25]
target      = [0, 18, 22, 9, 16, 30, 25, 18, 14, 14, 18]
weights    = [0.000000, 0.645833, 0.671591, 1.000000, 0.150000, 0.447500, 0.150000, 0.716667, 0.878571, 0.150000, 0.645833]
min_ratio  = [0.000000, 0.397222, 0.384091, 0.216667, 0.650000, 0.498333, 0.650000, 0.650000, 0.650000, 0.650000, 0.650000]
points = [(584400.000, 4511800.000), (584787.158, 4511353.041), (584773.598, 4512376.132), (583820.359, 4511810.985), (584738.478, 4511295.172), (584621.950, 4512241.527), (583875.433, 4511808.128), (584755.649, 4511131.883), (584594.142, 4512301.622), (583783.253, 4511907.484), (584646.690, 4511181.378)]
distances = [
{0.0000, 591.3237, 686.6611, 579.7446, 607.7980, 494.1741, 524.6299, 756.8796, 537.8810, 626.0428, 665.9952}
{591.3237, 0.0000, 1023.1809, 1069.7719, 75.6207, 903.7154, 1018.9927, 223.3911, 968.0194, 1146.8354, 221.8093}
{686.6611, 1023.1809, 0.0000, 1108.1766, 1081.5299, 202.7698, 1062.6992, 1244.3783, 194.3095, 1095.6346, 1201.4753}
{579.7446, 1069.7719, 1108.1766, 0.0000, 1053.0928, 909.8979, 55.1476, 1155.8314, 916.2231, 103.3869, 1038.8589}
{607.7980, 75.6207, 1081.5299, 1053.0928, 0.0000, 953.5021, 1003.9771, 164.1897, 1016.7469, 1134.6276, 146.1992}
{494.1741, 903.7154, 202.7698, 909.8979, 953.5021, 0.0000, 863.2050, 1117.6697, 66.2171, 902.7724, 1060.4380}
{524.6299, 1018.9927, 1062.6992, 55.1476, 1003.9771, 863.2050, 0.0000, 1109.9943, 871.8255, 135.5313, 993.8074}
{756.8796, 223.3911, 1244.3783, 1155.8314, 164.1897, 1117.6697, 1109.9943, 0.0000, 1180.8363, 1243.8289, 119.6736}
{537.8810, 968.0194, 194.3095, 916.2231, 1016.7469, 66.2171, 871.8255, 1180.8363, 0.0000, 901.6023, 1121.4762}
{626.0428, 1146.8354, 1095.6346, 103.3869, 1134.6276, 902.7724, 135.5313, 1243.8289, 901.6023, 0.0000, 1128.1637}
{665.9952, 221.8093, 1201.4753, 1038.8589, 146.1992, 1060.4380, 993.8074, 119.6736, 1121.4762, 1128.1637, 0.0000}
]
