100 5 [30, 30, 30, 30, 30]
capacities = [100000, 50, 35, 52, 50, 54, 41, 36, 56, 57, 29, 54, 43, 37, 27, 54, 46, 36, 35, 54, 55, 58, 26, 57, 39, 46, 55, 41, 49, 36, 56, 50, 32, 51, 27, 58, 29, 47, 29, 37, 33, 51, 39, 52, 32, 26, 54, 53, 39, 54, 56, 29, 26, 26, 41, 58, 33, 32, 50, 24, 36, 31, 43, 48, 44, 39, 30, 55, 24, 47, 56, 46, 50, 37, 50, 57, 36, 27, 29, 54, 50, 32, 25, 30, 55, 46, 37, 50, 31, 38, 39, 43, 43, 24, 26, 45, 52, 29, 36, 29, 40]
initial     = [50000, 20, 13, 36, 32, 26, 8, 27, 27, 18, 17, 21, 29, 5, 18, 33, 20, 21, 21, 33, 23, 29, 9, 23, 12, 24, 23, 23, 12, 5, 47, 29, 25, 28, 9, 17, 10, 25, 16, 21, 9, 23, 17, 23, 19, 9, 36, 24, 14, 22, 9, 15, 13, 7, 18, 21, 18, 16, 28, 13, 14, 15, 38, 19, 35, 20, 17, 43, 19, 24, 31, 30, 15, 15, 27, 28, 22, 14, 18, 29, 28, 5, 14, 15, 21, 10, 29, 16, 17, 25, 9, 30, 21, 10, 8, 16, 15, 18, 28, 21, 32]
target      = [0, 17, 12, 32, 26, 22, 21, 23, 22, 20, 16, 18, 15, 18, 18, 29, 23, 12, 16, 24, 29, 32, 16, 23, 21, 30, 34, 21, 18, 12, 29, 31, 18, 25, 10, 24, 17, 21, 17, 23, 12, 26, 25, 21, 18, 17, 32, 27, 15, 26, 20, 14, 11, 9, 13, 20, 20, 16, 29, 10, 20, 11, 26, 24, 22, 23, 12, 34, 14, 19, 27, 25, 22, 14, 22, 23, 21, 17, 18, 28, 27, 13, 10, 12, 22, 23, 15, 16, 20, 22, 20, 26, 25, 9, 11, 24, 18, 15, 24, 17, 26]
weights    = [0.000000, 0.293599, 0.659364, 0.903694, 0.464777, 0.172165, 0.099012, 0.245318, 0.172165, 0.074140, 0.366752, 0.220446, 0.439905, 0.220446, 0.220446, 0.684236, 0.245318, 0.659364, 0.366752, 0.318471, 0.684236, 0.903694, 0.366752, 0.245318, 0.099012, 0.757388, 1.000000, 0.099012, 0.220446, 0.659364, 0.684236, 0.830541, 0.220446, 0.391624, 0.805669, 0.318471, 0.293599, 0.099012, 0.293599, 0.245318, 0.659364, 0.464777, 0.391624, 0.099012, 0.220446, 0.293599, 0.903694, 0.537930, 0.439905, 0.464777, 0.074140, 0.513058, 0.732516, 0.878822, 0.586211, 0.074140, 0.074140, 0.366752, 0.684236, 0.805669, 0.074140, 0.732516, 0.464777, 0.318471, 0.172165, 0.245318, 0.659364, 1.000000, 0.513058, 0.147293, 0.537930, 0.391624, 0.172165, 0.513058, 0.172165, 0.245318, 0.099012, 0.293599, 0.220446, 0.611083, 0.537930, 0.586211, 0.805669, 0.659364, 0.172165, 0.245318, 0.439905, 0.366752, 0.074140, 0.172165, 0.074140, 0.464777, 0.391624, 0.878822, 0.732516, 0.318471, 0.220446, 0.439905, 0.318471, 0.293599, 0.464777]
min_ratio  = [0.0000, 0.4000, 0.3714, 0.6923, 0.6400, 0.4815, 0.1951, 0.7500, 0.4821, 0.3158, 0.5862, 0.3889, 0.6744, 0.1351, 0.6667, 0.6111, 0.4348, 0.5833, 0.6000, 0.6111, 0.4182, 0.5000, 0.3462, 0.4035, 0.3077, 0.5217, 0.4182, 0.5610, 0.2449, 0.1389, 0.8393, 0.5800, 0.7812, 0.5490, 0.3333, 0.2931, 0.3448, 0.5319, 0.5517, 0.5676, 0.2727, 0.4510, 0.4359, 0.4423, 0.5938, 0.3462, 0.6667, 0.4528, 0.3590, 0.4074, 0.1607, 0.5172, 0.5000, 0.2692, 0.4390, 0.3621, 0.5455, 0.5000, 0.5600, 0.5417, 0.3889, 0.4839, 0.8837, 0.3958, 0.7955, 0.5128, 0.5667, 0.7818, 0.7917, 0.5106, 0.5536, 0.6522, 0.3000, 0.4054, 0.5400, 0.4912, 0.6111, 0.5185, 0.6207, 0.5370, 0.5600, 0.1562, 0.5600, 0.5000, 0.3818, 0.2174, 0.7838, 0.3200, 0.5484, 0.6579, 0.2308, 0.6977, 0.4884, 0.4167, 0.3077, 0.3556, 0.2885, 0.6207, 0.7778, 0.7241, 0.8000]
points = [(584400.000, 4511800.000), (584588.176, 4511835.580), (584414.533, 4512276.405), (584172.642, 4511599.987), (584576.237, 4511746.215), (584316.916, 4512288.774), (584050.324, 4511458.710), (584637.980, 4511771.026), (584380.441, 4512199.364), (584247.188, 4511461.994), (584697.737, 4511857.220), (584343.965, 4512313.342), (584152.159, 4511541.950), (584748.732, 4511835.038), (584284.630, 4512256.131), (584146.281, 4511580.406), (584595.992, 4511733.839), (584404.973, 4512322.317), (584229.509, 4511490.370), (584689.509, 4511775.359), (584476.874, 4512265.482), (584161.671, 4511427.680), (584642.642, 4511798.986), (584359.482, 4512152.056), (584091.133, 4511428.083), (584560.608, 4511756.045), (584460.508, 4512180.482), (584123.444, 4511605.959), (584683.687, 4511768.716), (584280.154, 4512329.891), (584107.264, 4511423.518), (584633.837, 4511756.462), (584378.070, 4512331.318), (584213.198, 4511549.064), (584697.277, 4511845.214), (584441.915, 4512199.710), (584110.786, 4511548.436), (584630.143, 4511832.848), (584341.300, 4512303.295), (584183.986, 4511575.645), (584612.207, 4511885.689), (584414.568, 4512212.332), (584102.723, 4511594.927), (584736.617, 4511754.099), (584427.391, 4512181.527), (584139.647, 4511474.537), (584655.312, 4511714.120), (584459.394, 4512157.510), (584198.405, 4511460.088), (584659.610, 4511814.194), (584281.471, 4512158.378), (584081.319, 4511576.025), (584599.751, 4511864.772), (584410.805, 4512184.188), (584214.376, 4511549.105), (584724.985, 4511898.880), (584406.536, 4512286.918), (584058.042, 4511551.164), (584676.681, 4511771.602), (584440.363, 4512215.309), (584218.045, 4511573.805), (584652.398, 4511753.559), (584464.112, 4512164.427), (584192.128, 4511592.296), (584697.296, 4511784.168), (584291.320, 4512288.050), (584146.611, 4511453.424), (584600.739, 4511818.204), (584393.409, 4512245.898), (584107.444, 4511598.480), (584717.117, 4511848.273), (584417.842, 4512301.940), (584114.105, 4511463.262), (584608.929, 4511866.695), (584325.861, 4512247.432), (584059.060, 4511545.032), (584675.808, 4511717.587), (584442.738, 4512285.330), (584060.378, 4511494.532), (584553.896, 4511889.338), (584282.038, 4512244.357), (584135.457, 4511609.298), (584577.238, 4511732.441), (584452.500, 4512191.840), (584190.143, 4511464.727), (584632.810, 4511739.703), (584333.067, 4512182.638), (584065.713, 4511618.302), (584735.011, 4511908.612), (584471.448, 4512185.838), (584120.986, 4511435.044), (584641.777, 4511875.594), (584476.335, 4512270.769), (584226.073, 4511490.280), (584555.418, 4511799.532), (584328.577, 4512189.089), (584227.969, 4511455.919), (584718.268, 4511774.753), (584358.619, 4512268.572), (584244.178, 4511577.583), (584610.464, 4511834.401)]
distances = [
{0.0000, 127.6732, 317.7513, 201.8767, 122.8408, 330.5231, 325.7485, 159.8245, 266.5617, 247.2959, 202.1237, 344.2608, 238.5276, 233.6586, 313.6633, 223.7012, 137.9053, 348.2274, 235.6438, 193.7036, 314.5248, 294.7109, 161.7624, 236.2529, 322.2981, 111.0097, 256.8424, 225.2256, 190.2714, 362.1834, 317.9329, 158.5704, 354.5139, 208.5548, 200.4637, 267.9347, 255.5422, 154.9833, 337.8046, 207.6292, 152.5698, 275.0597, 240.7661, 226.4883, 255.0061, 277.8570, 179.5789, 241.6068, 263.4649, 173.3321, 251.6467, 259.6773, 139.9933, 256.2268, 208.0643, 226.4630, 324.6409, 281.9414, 185.4228, 278.1774, 193.5308, 171.0901, 246.6823, 195.9045, 198.4784, 333.3357, 286.2176, 134.3754, 297.2976, 236.8305, 213.8467, 334.8379, 294.4889, 146.2104, 302.3554, 283.8219, 191.9053, 324.8053, 304.5244, 118.6314, 306.4989, 217.4092, 126.4518, 263.5610, 263.6899, 160.3280, 258.9657, 253.6504, 234.7849, 261.5981, 306.2617, 168.8794, 317.9450, 236.8093, 103.6127, 263.7266, 256.4597, 212.8451, 313.5968, 181.0461, 142.1714}
{127.6732, 0.0000, 315.8616, 318.4492, 60.1055, 352.1152, 437.8306, 54.3551, 279.2791, 337.2031, 74.4520, 357.7061, 350.4464, 107.0382, 345.7702, 340.1860, 68.0268, 346.7160, 331.8712, 78.5845, 296.0513, 393.4396, 43.7448, 260.3055, 428.4884, 56.1178, 245.1821, 345.5757, 77.7266, 388.2847, 422.2010, 60.8990, 358.9500, 314.6071, 73.0171, 261.6050, 371.3952, 28.0371, 352.5812, 320.3716, 37.0492, 276.5521, 361.2191, 112.8894, 254.3239, 383.8577, 92.5192, 231.1557, 360.8111, 49.7115, 296.8474, 379.6330, 20.9355, 260.7582, 313.9663, 100.4958, 324.3447, 401.0730, 72.8048, 271.6559, 302.2308, 69.4481, 234.3146, 309.8678, 80.4168, 360.7722, 389.3143, 14.2948, 302.7982, 357.3479, 86.3764, 330.9955, 401.8642, 24.9339, 325.5298, 402.4265, 97.9836, 315.1207, 418.9321, 42.5053, 340.4701, 337.4133, 69.1446, 254.1473, 362.6823, 70.5047, 287.1550, 377.2275, 109.3299, 246.1313, 410.2544, 44.5932, 299.5538, 333.5666, 32.4721, 292.3927, 348.8971, 95.7399, 326.7199, 286.6640, 14.8797}
{317.7513, 315.8616, 0.0000, 478.9121, 369.5341, 65.5980, 596.7592, 368.3818, 56.1651, 554.2843, 337.2576, 53.0999, 519.9418, 369.0793, 87.6504, 497.2700, 381.4042, 31.2645, 538.3453, 381.0276, 42.1939, 590.3947, 352.7434, 90.6604, 605.2504, 360.3166, 70.9144, 487.2737, 383.0826, 96.4210, 604.3658, 376.2005, 43.9444, 503.1286, 343.7505, 54.2908, 525.8648, 328.7897, 52.0088, 491.8071, 291.9167, 42.7154, 499.6169, 409.0871, 63.8303, 565.1178, 407.7793, 84.7180, 562.9627, 348.7772, 118.5767, 517.0707, 300.9231, 61.5283, 502.8929, 325.8532, 8.8053, 538.7479, 379.2083, 44.2215, 486.3721, 382.9406, 81.6421, 479.5692, 378.4486, 82.5077, 576.9964, 329.7283, 24.7382, 496.1572, 349.5105, 17.1653, 577.9115, 302.3263, 62.1900, 542.1223, 411.2544, 19.7222, 572.2283, 274.2612, 90.8773, 482.0861, 378.5178, 61.7983, 561.4158, 386.2610, 82.8090, 496.5547, 325.2203, 71.3108, 594.0663, 307.1661, 41.3724, 538.9329, 331.4997, 81.6838, 560.9528, 390.9589, 37.6398, 479.5246, 322.3225}
