20 2 [30, 30]
capacities = [100000, 34, 49, 46, 24, 22, 44, 41, 33, 34, 34, 29, 34, 39, 50, 46, 21, 50, 50, 43, 38]
initial     = [50000, 28, 22, 25, 4, 9, 10, 16, 21, 13, 9, 14, 12, 8, 19, 28, 18, 33, 31, 27, 15]
target      = [0, 11, 33, 28, 22, 15, 21, 13, 9, 24, 13, 18, 27, 27, 21, 33, 21, 16, 21, 15, 15]
weights    = [0.000000, 1.000000, 0.254902, 0.115861, 0.552941, 0.295882, 0.371989, 0.191855, 0.869608, 0.331740, 0.239140, 0.186601, 0.391503, 0.482571, 0.108543, 0.143137, 0.137815, 0.703125, 0.342717, 0.541765, 0.050000]
min_ratio  = [0.0000, 0.7000, 0.4667, 0.6250, 0.1273, 0.4200, 0.3333, 0.7000, 0.7000, 0.3792, 0.4846, 0.5444, 0.3111, 0.2074, 0.6333, 0.5939, 0.6000, 0.7000, 0.7000, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584041.098, 4511526.390), (584693.841, 4511697.005), (584272.158, 4512145.404), (584115.998, 4511442.426), (584724.559, 4511736.076), (584388.375, 4512199.571), (584107.526, 4511584.927), (584658.280, 4511785.205), (584375.710, 4512240.714), (584182.040, 4511500.338), (584640.993, 4511766.396), (584279.829, 4512301.714), (584204.995, 4511568.351), (584673.456, 4511827.939), (584243.690, 4512145.267), (584090.177, 4511517.414), (584691.896, 4511715.594), (584284.517, 4512244.481), (584146.346, 4511481.667), (584634.912, 4511823.282)]
distances = [
{0.0000000000, 300.8676916329, 207.5791718368, 245.5356956897, 304.4239014415, 220.5294863197, 266.4933809196, 242.0261106253, 172.4689349484, 294.2552436204, 247.0302508185, 162.2163916434, 343.9366912265, 201.8670731239, 183.2530389707, 252.6676494167, 279.5592870733, 202.5697659266, 306.1587697401, 271.3556506831, 157.3752758614}
{300.8676916329, 0.0000000000, 449.7816271501, 440.4881412436, 75.0110015515, 476.6023999181, 504.9857967160, 59.0263954254, 446.1682917910, 525.8744960202, 95.5530197627, 430.7496777898, 540.8305527764, 112.7887940257, 467.0514792304, 434.1286340826, 33.2620358634, 451.8289698154, 505.4843634649, 76.2373143777, 442.5983512848}
{207.5791718368, 449.7816271501, 0.0000000000, 410.3538937119, 420.9581662456, 33.1336590530, 392.0782583519, 397.9540773668, 63.3993505786, 419.9612732632, 365.5243858652, 58.1493173170, 488.5711188193, 336.9947335111, 88.3409067976, 423.5168858998, 419.8746649905, 12.4603182765, 455.7173137187, 392.2137904929, 92.9002039705}
{245.5356956897, 440.4881412436, 410.3538937119, 0.0000000000, 480.0759264414, 406.7300914392, 85.4802250765, 389.4372937417, 352.0312602817, 93.8249263348, 434.2203220996, 352.5691870883, 104.3320773958, 387.2989275473, 341.1250087114, 18.9788864327, 435.8840439390, 400.5089122295, 66.5632424755, 450.3704472802, 323.4213264460}
{304.4239014415, 75.0110015515, 420.9581662456, 480.0759264414, 0.0000000000, 450.4697859994, 536.4317420199, 95.1684116245, 427.6900281305, 559.6483236571, 58.5580263331, 411.2724487219, 583.1776796157, 102.7998522134, 451.8503660546, 476.2309048467, 52.8726948433, 424.9335961864, 546.3783289933, 33.0713517180, 429.1195286122}
{220.5294863197, 476.6023999181, 33.1336590530, 406.7300914392, 450.4697859994, 0.0000000000, 381.7196742702, 423.5174105250, 55.0012706195, 408.9852677838, 394.3485598666, 59.2642997501, 479.6902333535, 363.9770601570, 70.0803582499, 420.9366643527, 447.3395887134, 25.7024330282, 448.2621285653, 421.1382526492, 83.3772445505}
{266.4933809196, 504.9857967160, 392.0782583519, 85.4802250765, 536.4317420199, 381.7196742702, 0.0000000000, 450.5125020031, 329.6785579125, 28.6988089101, 486.0273977252, 334.3028796696, 99.3656022862, 438.2119795517, 312.2545400329, 103.0268004854, 496.3243651994, 380.8521054284, 75.4347172179, 505.0694957933, 299.9065809293}
{242.0261106253, 59.0263954254, 397.9540773668, 389.4372937417, 95.1684116245, 423.5174105250, 450.5125020031, 0.0000000000, 390.6924029066, 472.3366253588, 75.1520979731, 375.6582596219, 491.4703233619, 65.9122977466, 410.5993435315, 384.4312107204, 46.4709848306, 399.2004017972, 455.2592877795, 73.5440004350, 385.8319144802}
{172.4689349484, 446.1682917910, 63.3993505786, 352.0312602817, 427.6900281305, 55.0012706195, 329.6785579125, 390.6924029066, 0.0000000000, 357.3571223305, 369.9572019024, 17.0309372093, 426.8784404028, 334.9911763622, 30.2324750486, 366.0780195799, 418.7033095908, 51.5352167705, 394.7619391451, 396.7712678889, 29.7838237450}
{294.2552436204, 525.8744960202, 419.9612732632, 93.8249263348, 559.6483236571, 408.9852677838, 28.6988089101, 472.3366253588, 357.3571223305, 0.0000000000, 510.1915502044, 362.3090364212, 75.7603419005, 462.4647085605, 339.3037846601, 108.6061389895, 518.4129559804, 408.6425229388, 60.8471802980, 528.6293356740, 327.5736737679}
{247.0302508185, 95.5530197627, 365.5243858652, 434.2203220996, 58.5580263331, 394.3485598666, 486.0273977252, 75.1520979731, 369.9572019024, 510.1915502044, 0.0000000000, 353.6631891583, 538.2135808583, 47.8548740994, 393.7354443204, 431.9126133531, 62.2910749626, 368.9554542649, 500.7773246450, 26.8549012866, 370.8164418742}
{162.2163916434, 430.7496777898, 58.1493173170, 352.5691870883, 411.2724487219, 59.2642997501, 334.3028796696, 375.6582596219, 17.0309372093, 362.3090364212, 353.6631891583, 0.0000000000, 430.5060567492, 319.2463890192, 46.3867184922, 365.9950870649, 402.9834858375, 47.9442204280, 397.5706258996, 380.4945659122, 38.1400667540}
{343.9366912265, 540.8305527764, 488.5711188193, 104.3320773958, 583.1776796157, 479.6902333535, 99.3656022862, 491.4703233619, 426.8784404028, 75.7603419005, 538.2135808583, 430.5060567492, 0.0000000000, 491.4474843991, 410.6390498038, 107.0445206027, 537.9361263627, 477.6497400532, 38.2831186063, 553.8932081174, 397.2019444470}
{201.8670731239, 112.7887940257, 336.9947335111, 387.2989275473, 102.7998522134, 363.9770601570, 438.2119795517, 65.9122977466, 334.9911763622, 462.4647085605, 47.8548740994, 319.2463890192, 491.4474843991, 0.0000000000, 357.0506582578, 385.4748149036, 83.7396788811, 339.1185206449, 453.8602454422, 69.7736692039, 333.2122724497}
{183.2530389707, 467.0514792304, 88.3409067976, 341.1250087114, 451.8503660546, 70.0803582499, 312.2545400329, 410.5993435315, 30.2324750486, 339.3037846601, 393.7354443204, 46.3867184922, 410.6390498038, 357.0506582578, 0.0000000000, 356.1497028185, 440.5250238654, 75.8988585045, 379.9302763429, 420.4490985622, 25.8828779527}
{252.6676494167, 434.1286340826, 423.5168858998, 18.9788864327, 476.2309048467, 420.9366643527, 103.0268004854, 384.4312107204, 366.0780195799, 108.6061389895, 431.9126133531, 365.9950870649, 107.0445206027, 385.4748149036, 356.1497028185, 0.0000000000, 430.8986118325, 413.9283380626, 71.5239252121, 447.1344885108, 337.7895423085}
{279.5592870733, 33.2620358634, 419.8746649905, 435.8840439390, 52.8726948433, 447.3395887134, 496.3243651994, 46.4709848306, 418.7033095908, 518.4129559804, 62.2910749626, 402.9834858375, 537.9361263627, 83.7396788811, 440.5250238654, 430.8986118325, 0.0000000000, 422.3432344858, 501.7278846762, 44.3862069164, 416.4887372888}
{202.5697659266, 451.8289698154, 12.4603182765, 400.5089122295, 424.9335961864, 25.7024330282, 380.8521054284, 399.2004017972, 51.5352167705, 408.6425229388, 368.9554542649, 47.9442204280, 477.6497400532, 339.1185206449, 75.8988585045, 413.9283380626, 422.3432344858, 0.0000000000, 445.0613482856, 395.7252940718, 81.2236462560}
{306.1587697401, 505.4843634649, 455.7173137187, 66.5632424755, 546.3783289933, 448.2621285653, 75.4347172179, 455.2592877795, 394.7619391451, 60.8471802980, 500.7773246450, 397.5706258996, 38.2831186063, 453.8602454422, 379.9302763429, 71.5239252121, 501.7278846762, 445.0613482856, 0.0000000000, 516.8177946007, 365.2610960371}
{271.3556506831, 76.2373143777, 392.2137904929, 450.3704472802, 33.0713517180, 421.1382526492, 505.0694957933, 73.5440004350, 396.7712678889, 528.6293356740, 26.8549012866, 380.4945659122, 553.8932081174, 69.7736692039, 420.4490985622, 447.1344885108, 44.3862069164, 395.7252940718, 516.8177946007, 0.0000000000, 397.4348553637}
{157.3752758614, 442.5983512848, 92.9002039705, 323.4213264460, 429.1195286122, 83.3772445505, 299.9065809293, 385.8319144802, 29.7838237450, 327.5736737679, 370.8164418742, 38.1400667540, 397.2019444470, 333.2122724497, 25.8828779527, 337.7895423085, 416.4887372888, 81.2236462560, 365.2610960371, 397.4348553637, 0.0000000000}
]
