12 3 [30, 30, 30]
capacities = [100000, 23, 38, 39, 33, 35, 40, 41, 40, 48, 26, 30, 37]
initial     = [50000, 17, 21, 39, 24, 27, 35, 6, 6, 41, 13, 18, 37]
target      = [0, 8, 28, 10, 20, 35, 3, 16, 4, 26, 2, 17, 16]
weights    = [0.000000, 0.150195, 0.072266, 0.308281, 0.067812, 0.070357, 1.000000, 0.105664, 0.094531, 0.101382, 0.539844, 0.055239, 0.166895]
min_ratio  = [0.0000, 0.7000, 0.5250, 0.7000, 0.7000, 0.5400, 0.7000, 0.2625, 0.7000, 0.7000, 0.7000, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584221.290, 4511533.405), (584754.789, 4511861.337), (584316.497, 4512187.374), (584200.642, 4511405.294), (584687.926, 4511869.575), (584302.122, 4512152.239), (584069.983, 4511613.327), (584648.816, 4511707.507), (584269.626, 4512134.871), (584202.892, 4511557.844), (584641.228, 4511766.834), (584389.233, 4512159.284)]
distances = [
{0.0000, 320.9517, 360.0519, 396.2718, 442.1952, 296.2132, 365.5851, 379.1541, 265.4512, 359.3549, 312.2357, 243.4971, 359.4453}
{320.9517, 0.0000, 626.2270, 660.8627, 129.7646, 575.1168, 624.0907, 171.1177, 461.6166, 603.4050, 30.5895, 480.4546, 648.0193}
{360.0519, 626.2270, 0.0000, 546.2599, 717.6730, 67.3679, 538.0809, 728.3322, 186.7990, 556.9592, 629.8398, 147.7395, 471.5967}
{396.2718, 660.8627, 546.2599, 0.0000, 790.6146, 488.8317, 37.9616, 624.7390, 583.7020, 70.3804, 639.6987, 531.3229, 77.9717}
{442.1952, 129.7646, 717.6730, 790.6146, 0.0000, 673.0550, 753.8072, 245.6610, 540.5490, 732.8312, 152.5662, 569.9363, 777.2178}
{296.2132, 575.1168, 67.3679, 488.8317, 673.0550, 0.0000, 478.2721, 668.9668, 166.7196, 495.3356, 576.5712, 112.8555, 416.1122}
{365.5851, 624.0907, 538.0809, 37.9616, 753.8072, 478.2721, 0.0000, 586.7834, 563.8998, 36.8461, 602.6214, 513.3514, 87.3951}
{379.1541, 171.1177, 728.3322, 624.7390, 245.6610, 668.9668, 586.7834, 0.0000, 586.4446, 558.4492, 144.0250, 591.5105, 632.4471}
{265.4512, 461.6166, 186.7990, 583.7020, 540.5490, 166.7196, 563.8998, 586.4446, 0.0000, 571.3359, 470.3692, 59.8101, 521.0428}
{359.3549, 603.4050, 556.9592, 70.3804, 732.8312, 495.3356, 36.8461, 558.4492, 571.3359, 0.0000, 580.8736, 523.0095, 122.0727}
{312.2357, 30.5895, 629.8398, 639.6987, 152.5662, 576.5712, 602.6214, 144.0250, 470.3692, 580.8736, 0.0000, 485.6079, 629.6454}
{243.4971, 480.4546, 147.7395, 531.3229, 569.9363, 112.8555, 513.3514, 591.5105, 59.8101, 523.0095, 485.6079, 0.0000, 466.3886}
{359.4453, 648.0193, 471.5967, 77.9717, 777.2178, 416.1122, 87.3951, 632.4471, 521.0428, 122.0727, 629.6454, 466.3886, 0.0000}
]
