10 2 [20, 20]
capacities = [100000, 38, 45, 42, 28, 49, 24, 41, 46, 35, 28]
initial     = [50000, 35, 1, 32, 20, 32, 8, 7, 10, 33, 27]
target      = [0, 16, 8, 22, 22, 34, 8, 38, 43, 6, 23]
weights    = [0.000000, 0.955263, 0.346154, 0.734375, 0.433333, 0.922727, 1.000000, 0.456944, 0.915000, 0.603333, 0.500000]
min_ratio  = [0.0000, 0.2653, 0.3007, 0.0680, 0.3819, 0.4488, 0.2353, 0.3093, 0.0958, 0.0864, 0.0893]
points = [(586500.000, 4512500.000), (586617.055, 4512407.081), (586798.308, 4512300.654), (586741.856, 4512335.688), (586677.887, 4512187.602), (586562.258, 4512795.737), (586615.875, 4512766.911), (586392.286, 4512149.625), (586239.123, 4512444.148), (586341.479, 4512659.326), (586378.105, 4512557.239)]
distances = [
{0.0000, 99.6346, 239.1896, 194.9273, 239.6632, 201.4797, 193.9858, 244.3722, 177.8593, 149.8353, 89.7767}
{99.6346, 0.0000, 140.1255, 95.8518, 151.8358, 261.6667, 239.8880, 227.8452, 253.1641, 249.0605, 188.1425}
{239.1896, 140.1255, 0.0000, 44.2931, 110.1150, 365.6512, 333.7847, 288.8012, 384.8684, 387.2056, 328.2316}
{194.9273, 95.8518, 44.2931, 0.0000, 107.5414, 329.2418, 299.4992, 264.0023, 342.8663, 343.2156, 283.9398}
{239.6632, 151.8358, 110.1150, 107.5414, 0.0000, 412.6871, 388.4128, 192.0770, 338.8414, 386.2611, 317.2807}
{201.4797, 261.6667, 365.6512, 329.2418, 412.6871, 0.0000, 40.5828, 445.3971, 318.3508, 173.0145, 200.8804}
{193.9858, 239.8880, 333.7847, 299.4992, 388.4128, 40.5828, 0.0000, 437.6881, 330.7351, 196.4888, 211.3419}
{244.3722, 227.8452, 288.8012, 264.0023, 192.0770, 445.3971, 437.6881, 0.0000, 221.3121, 341.4847, 271.9068}
{177.8593, 253.1641, 384.8684, 342.8663, 338.8414, 318.3508, 330.7351, 221.3121, 0.0000, 158.8545, 119.4532}
{149.8353, 249.0605, 387.2056, 343.2156, 386.2611, 173.0145, 196.4888, 341.4847, 158.8545, 0.0000, 72.3060}
{89.7767, 188.1425, 328.2316, 283.9398, 317.2807, 200.8804, 211.3419, 271.9068, 119.4532, 72.3060, 0.0000}
]
