12 2 [30, 30]
capacities = [100000, 21, 23, 26, 39, 41, 35, 39, 29, 40, 42, 34, 23]
initial     = [50000, 9, 11, 11, 4, 4, 8, 4, 25, 20, 42, 23, 7]
target      = [0, 16, 3, 8, 37, 29, 13, 5, 14, 6, 12, 14, 14]
weights    = [0.000000, 0.019698, 0.468144, 0.037242, 0.421360, 1.000000, 0.315174, 0.004925, 0.000308, 0.444444, 0.241305, 0.044321, 0.517390]
min_ratio  = [0.0000, 0.4918, 0.1974, 0.2975, 0.1172, 0.3653, 0.2561, 0.2252, 0.3344, 0.4614, 0.3201, 0.4483, 0.2914]
points = [(584395.821, 4511833.776), (584170.430, 4511452.041), (584554.733, 4511495.823), (584269.049, 4511558.200), (583976.206, 4511636.158), (584688.985, 4511774.389), (584217.103, 4511782.999), (584467.047, 4511905.677), (584744.053, 4511950.122), (584632.527, 4512009.526), (584362.037, 4512059.225), (584232.985, 4512143.732), (584434.695, 4512237.417)]
distances = [
{0.0000, 295.5390, 248.9669, 202.2244, 309.2136, 199.4125, 123.8608, 67.4717, 244.7694, 196.5457, 151.9776, 233.4175, 270.3393}
{295.5390, 0.0000, 257.8593, 96.5987, 178.4153, 407.0531, 222.8219, 361.3353, 506.4596, 482.7344, 424.4660, 463.0093, 552.4296}
{248.9669, 257.8593, 0.0000, 194.9430, 396.8696, 206.1527, 295.4951, 279.4193, 328.1122, 346.3734, 396.9627, 482.2668, 500.8308}
{202.2244, 96.5987, 194.9430, 0.0000, 202.0280, 314.8784, 153.8152, 266.6196, 410.5452, 386.3283, 339.7207, 391.0944, 466.0826}
{309.2136, 178.4153, 396.8696, 202.0280, 0.0000, 484.0394, 188.0823, 373.3127, 553.0370, 503.3933, 381.7220, 379.2196, 504.0831}
{199.4125, 407.0531, 206.1527, 314.8784, 484.0394, 0.0000, 314.6404, 171.9083, 122.7727, 161.2133, 289.0802, 391.2091, 352.1731}
{123.8608, 222.8219, 295.4951, 153.8152, 188.0823, 314.6404, 0.0000, 185.6184, 368.5445, 315.4479, 207.9601, 240.7216, 335.8849}
{67.4717, 361.3353, 279.4193, 266.6196, 373.3127, 171.9083, 185.6184, 0.0000, 187.0326, 130.2446, 124.0145, 222.5660, 222.2092}
{244.7694, 506.4596, 328.1122, 410.5452, 553.0370, 122.7727, 368.5445, 187.0326, 0.0000, 84.2401, 264.8603, 364.3413, 281.4572}
{196.5457, 482.7344, 346.3734, 386.3283, 503.3933, 161.2133, 315.4479, 130.2446, 84.2401, 0.0000, 183.3452, 280.9864, 201.1874}
{151.9776, 424.4660, 396.9627, 339.7207, 381.7220, 289.0802, 207.9601, 124.0145, 264.8603, 183.3452, 0.0000, 102.8394, 128.2906}
{233.4175, 463.0093, 482.2668, 391.0944, 379.2196, 391.2091, 240.7216, 222.5660, 364.3413, 280.9864, 102.8394, 0.0000, 148.2697}
{270.3393, 552.4296, 500.8308, 466.0826, 504.0831, 352.1731, 335.8849, 222.2092, 281.4572, 201.1874, 128.2906, 148.2697, 0.0000}
]
