50 3 [30, 30, 30]
capacities = [100000, 48, 33, 41, 40, 39, 26, 46, 40, 27, 31, 34, 43, 28, 25, 46, 39, 49, 26, 37, 36, 49, 36, 29, 34, 37, 42, 22, 39, 41, 29, 20, 42, 30, 40, 24, 27, 44, 34, 21, 49, 22, 41, 43, 47, 28, 36, 44, 27, 39, 36]
initial     = [50000, 46, 3, 9, 33, 32, 2, 6, 3, 21, 5, 8, 42, 24, 2, 40, 33, 7, 22, 36, 29, 7, 30, 4, 1, 37, 1, 5, 37, 35, 28, 3, 35, 2, 34, 17, 27, 37, 1, 17, 10, 20, 2, 10, 10, 22, 0, 43, 3, 3, 31]
target      = [0, 2, 31, 39, 7, 6, 20, 40, 40, 3, 26, 23, 3, 5, 25, 11, 12, 38, 1, 10, 2, 36, 12, 28, 32, 6, 38, 14, 5, 10, 3, 16, 8, 27, 6, 6, 2, 13, 25, 3, 42, 1, 28, 36, 31, 3, 25, 14, 18, 29, 3]
weights    = [0.000000, 1.000000, 0.089003, 0.083217, 0.210390, 0.237121, 0.088864, 0.086705, 0.089943, 0.309091, 0.084878, 0.078162, 0.611364, 0.214091, 0.089727, 0.163843, 0.125568, 0.085227, 0.956818, 0.162273, 0.632955, 0.084785, 0.114773, 0.087013, 0.091832, 0.273106, 0.092045, 0.077760, 0.326364, 0.157955, 0.409848, 0.085085, 0.195739, 0.089983, 0.251515, 0.129167, 0.589773, 0.129720, 0.091455, 0.251515, 0.082900, 0.870455, 0.090097, 0.081187, 0.079252, 0.323485, 0.093182, 0.139448, 0.085985, 0.088715, 0.453030]
min_ratio  = [0.0000, 0.7000, 0.0677, 0.1615, 0.7000, 0.7000, 0.0700, 0.1050, 0.0525, 0.7000, 0.1346, 0.2435, 0.7000, 0.7000, 0.0560, 0.7000, 0.7000, 0.1289, 0.7000, 0.7000, 0.7000, 0.1361, 0.7000, 0.1000, 0.0219, 0.7000, 0.0184, 0.2500, 0.7000, 0.7000, 0.7000, 0.1312, 0.7000, 0.0519, 0.7000, 0.7000, 0.7000, 0.7000, 0.0280, 0.7000, 0.1667, 0.7000, 0.0500, 0.1944, 0.2258, 0.7000, 0.0000, 0.7000, 0.1167, 0.0724, 0.7000]
points = [(584400.000, 4511800.000), (584181.131, 4511514.556), (584664.025, 4511769.663), (584297.031, 4512176.164), (584068.032, 4511532.291), (584771.325, 4511675.177), (584399.226, 4512170.326), (584160.018, 4511434.625), (584684.679, 4511826.473), (584325.277, 4512279.262), (584164.547, 4511448.839), (584671.552, 4511710.004), (584335.853, 4512230.758), (584058.604, 4511549.239), (584756.068, 4511774.195), (584390.223, 4512174.191), (584203.909, 4511524.150), (584763.785, 4511691.642), (584279.261, 4512198.266), (584144.532, 4511498.444), (584617.178, 4511761.989), (584324.761, 4512184.763), (584162.802, 4511526.480), (584651.145, 4511774.415), (584377.163, 4512158.945), (584154.654, 4511531.052), (584622.127, 4511740.956), (584381.635, 4512215.141), (584157.573, 4511565.064), (584657.232, 4511754.978), (584369.558, 4512176.772), (584104.447, 4511557.389), (584681.560, 4511750.710), (584242.281, 4512293.884), (584063.720, 4511579.651), (584661.549, 4511767.620), (584404.228, 4512169.622), (584131.387, 4511431.958), (584743.362, 4511702.247), (584354.598, 4512201.103), (584183.528, 4511574.180), (584696.172, 4511734.513), (584264.216, 4512159.093), (584118.849, 4511432.949), (584744.806, 4511840.417), (584333.057, 4512144.473), (584106.304, 4511456.594), (584738.065, 4511764.342), (584283.535, 4512168.393), (584107.412, 4511564.426), (584706.096, 4511818.949)]
distances = [
{0.0000, 359.6968, 265.7624, 390.0020, 426.4632, 391.7432, 370.3272, 437.1384, 285.9069, 485.0517, 422.7908, 286.0762, 435.5081, 423.5946, 357.0019, 374.3187, 338.4450, 379.5802, 416.1654, 395.2216, 220.4788, 392.0507, 362.0441, 252.4445, 359.6706, 364.0438, 229.8407, 415.5472, 337.5887, 261.1426, 378.0002, 382.3765, 285.8420, 518.4562, 402.0424, 263.5458, 369.6467, 455.6407, 357.0054, 403.6646, 312.8180, 303.3259, 383.9078, 462.3551, 347.1670, 350.9169, 451.8678, 339.9403, 386.3640, 375.6365, 306.6823}
{359.6968, 0.0000, 546.1377, 671.6822, 114.4803, 611.6597, 691.0859, 82.6726, 592.3278, 778.1722, 67.7773, 527.9325, 732.7234, 127.3412, 630.8448, 691.9807, 24.7160, 608.9708, 690.7158, 39.9887, 501.3579, 685.4247, 21.8653, 537.0655, 673.5465, 31.1946, 495.7166, 728.7120, 55.7311, 533.3624, 688.5018, 87.8355, 553.3519, 781.7231, 134.2482, 542.9946, 692.0145, 96.4213, 592.7319, 708.1223, 59.6714, 560.0433, 649.8697, 102.6585, 651.0877, 647.9783, 94.6498, 610.3838, 661.8068, 89.0029, 606.8307}
{265.7624, 546.1377, 0.0000, 547.6561, 641.5241, 142.9712, 480.2602, 605.2051, 60.4477, 611.9159, 593.6384, 60.1314, 565.9556, 644.2995, 92.1543, 488.4778, 521.5205, 126.6465, 575.9721, 586.0317, 47.4720, 536.1049, 557.1016, 13.7292, 483.5604, 562.4894, 50.7888, 527.4419, 546.2190, 16.1796, 502.4432, 598.4883, 25.8201, 672.8121, 629.6595, 3.2099, 476.9299, 630.6733, 104.1115, 530.9295, 518.7405, 47.6336, 558.1250, 640.7755, 107.3858, 500.0222, 639.5814, 74.2306, 551.1425, 593.2458, 64.8002}
