10 2 [20, 20]
capacities = [100000, 37, 48, 40, 39, 21, 48, 21, 21, 49, 22]
initial     = [50000, 28, 12, 22, 14, 3, 29, 6, 0, 30, 11]
target      = [0, 26, 15, 14, 27, 7, 22, 3, 10, 18, 1]
weights    = [0.000000, 0.057308, 0.069000, 0.104286, 0.095741, 0.104286, 0.080227, 0.145000, 0.145000, 0.113333, 1.000000]
min_ratio  = [0.0000, 0.7000, 0.5600, 0.7000, 0.3630, 0.3000, 0.7000, 0.7000, 0.0000, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584046.851, 4511469.749), (584747.045, 4511800.950), (584322.305, 4512220.065), (584162.339, 4511458.783), (584644.748, 4511752.903), (584315.201, 4512207.617), (584148.355, 4511565.832), (584701.755, 4511800.793), (584305.636, 4512247.260), (584079.046, 4511451.352)]
distances = [
{0.0000, 483.5079, 347.0458, 427.1901, 415.8269, 249.2380, 416.3445, 343.7435, 301.7562, 457.1060, 473.8847}
{483.5079, 0.0000, 774.5742, 799.2802, 116.0077, 661.5563, 785.1503, 139.7679, 733.8187, 819.4465, 37.0814}
{347.0458, 774.5742, 0.0000, 596.7087, 677.4652, 113.0184, 593.1839, 643.2024, 45.2896, 627.7209, 753.9498}
{427.1901, 799.2802, 596.7087, 0.0000, 777.9076, 567.6355, 14.3323, 676.9633, 565.4834, 31.8965, 806.2847}
{415.8269, 116.0077, 677.4652, 777.9076, 0.0000, 564.9999, 764.2775, 107.9590, 638.7027, 801.3928, 83.6233}
{249.2380, 661.5563, 113.0184, 567.6355, 564.9999, 0.0000, 561.5748, 530.4724, 74.4537, 599.4875, 641.0546}
{416.3445, 785.1503, 593.1839, 14.3323, 764.2775, 561.5748, 0.0000, 663.1181, 561.1861, 40.7800, 792.2793}
{343.7435, 139.7679, 643.2024, 676.9633, 107.9590, 530.4724, 663.1181, 0.0000, 601.2140, 699.3432, 133.8263}
{301.7562, 733.8187, 45.2896, 565.4834, 638.7027, 74.4537, 561.1861, 601.2140, 0.0000, 596.8604, 714.0557}
{457.1060, 819.4465, 627.7209, 31.8965, 801.3928, 599.4875, 40.7800, 699.3432, 596.8604, 0.0000, 827.5340}
{473.8847, 37.0814, 753.9498, 806.2847, 83.6233, 641.0546, 792.2793, 133.8263, 714.0557, 827.5340, 0.0000}
]
