10 2 [20, 20]
capacities = [100000, 29, 36, 44, 34, 50, 34, 28, 25, 29, 48]
initial     = [50000, 6, 26, 3, 5, 18, 3, 0, 1, 6, 24]
target      = [0, 24, 7, 40, 26, 26, 33, 8, 3, 27, 19]
weights    = [0.000000, 0.312500, 1.000000, 0.373750, 0.332692, 0.157692, 0.368182, 0.400000, 0.283333, 0.322222, 0.142105]
min_ratio  = [0.0000, 0.1750, 0.7000, 0.0525, 0.1346, 0.4846, 0.0636, 0.0000, 0.2333, 0.1556, 0.7000]
points = [(584400.000, 4511800.000), (584084.856, 4511399.632), (584802.259, 4511795.721), (584300.462, 4512292.818), (584229.912, 4511593.607), (584789.835, 4511856.695), (584402.945, 4512153.162), (584162.801, 4511457.904), (584655.050, 4511873.567), (584215.588, 4512114.392), (584174.786, 4511549.100)]
distances = [
{0.0000, 509.5191, 402.2816, 502.7693, 267.4474, 393.9356, 353.1738, 416.2849, 265.4479, 364.4858, 337.1532}
{509.5191, 0.0000, 819.4832, 918.8392, 242.2131, 840.1788, 817.9160, 97.3187, 741.4411, 726.6167, 174.4358}
{402.2816, 819.4832, 0.0000, 706.3320, 606.9853, 62.2268, 535.9246, 723.2060, 166.5248, 667.6326, 674.1993}
{502.7693, 918.8392, 706.3320, 0.0000, 702.7610, 655.5062, 173.2241, 846.1864, 549.0932, 197.5837, 754.2613}
{267.4474, 242.2131, 606.9853, 702.7610, 0.0000, 618.6507, 585.6979, 151.3907, 509.0384, 520.9820, 70.8503}
{393.9356, 840.1788, 62.2268, 655.5062, 618.6507, 0.0000, 487.4176, 743.1053, 135.8366, 629.4175, 687.6772}
{353.1738, 817.9160, 535.9246, 173.2241, 585.6979, 487.4176, 0.0000, 735.5626, 376.4702, 191.3260, 645.7142}
{416.2849, 97.3187, 723.2060, 846.1864, 151.3907, 743.1053, 735.5626, 0.0000, 644.2709, 658.6068, 91.9804}
{265.4479, 741.4411, 166.5248, 549.0932, 509.0384, 135.8366, 376.4702, 644.2709, 0.0000, 501.1217, 579.5970}
{364.4858, 726.6167, 667.6326, 197.5837, 520.9820, 629.4175, 191.3260, 658.6068, 501.1217, 0.0000, 566.7623}
{337.1532, 174.4358, 674.1993, 754.2613, 70.8503, 687.6772, 645.7142, 91.9804, 579.5970, 566.7623, 0.0000}
]
